"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1991 Airwalk";"whdload";"0";"1001 Stolen Ideas";"1001StolenIdeas";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"0";"0-9\1001StolenIdeas";"524288";"1001StolenIdeas";"AGA";"";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"Pouet";"";"";"Airwalk";"0\1001-stolen-ideas-airwalk";"demo";"";"http://content.pouet.net/files/screenshots/00019/00019131.jpg";"1991";"1001 Stolen Ideas";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19131";"1001 stolen ideas 1001stolenideas airwalk 1001stolenideasairwalk"
"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"whdload";"0";"The 100 Most Remembered C64 Game-Tunes";"100MostRememberedC64Tunes";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"4096";"0-9\100MostRememberedC64Tunes";"524288";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per hakan sundell ron birk";"Best";"3.355151";"Pouet";"";"";"Sundell & Birk";"t\the-100-most-remembered-c64-game-tunes-sundell-birk";"musicdisk";"";"http://content.pouet.net/files/screenshots/00028/00028589.jpg";"1990";"the 100 most remembered c64 game tunes";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28589";"the 100 most remembered c 64 game tunes the100mostrememberedc64gametunes sundell birk the100mostrememberedc64gametunessundellbirk"
"NoError";"242 ? 1993 Virtual Dreams - 1 disk";"1993 Virtual Dreams";"whdload";"0";"242";"242";"911067";"0-9\242\242.Slave";"0";"0-9\242";"1048576";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Virtual Dreams";;"Demo";"Assembly 1993";;"8/93";"242";;;"242 242 virtual dreams 242virtualdreams"
"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"1992 Quartz";"whdload";"0";"24 Hour E Fix";"24HourEFix";"792619";"0-9\24HourEFix\24HourEFix.Slave";"0";"0-9\24HourEFix";"524288";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz";"Best";"3.244673";"Pouet";"";"";"Quartz";"0\24-hour-e-fix-quartz";"musicdisk";"";"http://content.pouet.net/files/screenshots/00015/00015951.jpg";"n/a";"24 Hour E Fix";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15951";"24 hour e fix 24hourefix quartz 24hourefixquartz"
"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"1993 Remedy";"whdload";"0";"2D";"2D";"433416";"0-9\2D\2D.Slave";"0";"0-9\2D";"524288";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga";"Exact";"100";"Pouet";"";"";"remedy (amiga)";"0\2d-remedy-amiga";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008864.gif";"february 1993";"2d";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8864";"2d 2d remedy amiga 2dremedyamiga"
"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"1993 Scoopex";"whdload";"0";"2 Unlimited";"2Unlimited";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"0";"0-9\2Unlimited";"528384";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex";"Best";"2.593697";"Pouet";"n/a";"n/a";"Scoopex";"p\plays-2-unlimited-scoopex";"musicdisk";"The Gathering 1993";"http://content.pouet.net/files/screenshots/00021/00021401.jpg";"april 1993";"Plays 2 unlimited";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21401";"plays 2 unlimited plays2unlimited scoopex plays2unlimitedscoopex"
"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"1993 Project A";"whdload";"0";"2 Unlimited - No Limit";"2UnlimitedNoLimit";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"786432";"0-9\2UnlimitedNoLimit";"524288";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project";"Best";"4.205204";"Pouet";"";"";"Project A";"0\2-unlimited-no-limit-project-a";"musicdisk";"";"http://content.pouet.net/files/screenshots/00012/00012499.jpg";"february 1993";"2 unlimited No Limit";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12499";"2 unlimited no limit 2unlimitednolimit project a 2unlimitednolimitprojecta"
"NoError";"3D Balls ? 1989 Avenger";"1989 Avenger";"whdload";"0";"3D Balls";"3DBalls";"100693";"0-9\3DBalls\3DBalls.Slave";"4096";"0-9\3DBalls";"524288";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger";"Exact";"100";"Pouet";"n/a";"n/a";"avenger";"0\3d-balls-avenger";"demo";"Piranhas copy party";"http://content.pouet.net/files/screenshots/00019/00019629.png";"april 1989";"3D balls";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19629";"3d balls 3dballs avenger 3dballsavenger"
"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"1991 Anarchy";"whdload";"0";"3D Demo";"3DDemo";"1820203";"0-9\3DDemo\3DDemo.Slave";"0";"0-9\3DDemo";"524288";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy";"Exact";"100";"Pouet";"amiga demo";"5th";"Anarchy";"0\3d-demo-anarchy";"demo";"The Party 1991";"http://content.pouet.net/files/screenshots/00003/00003098.png";"december 1991";"3D DEMO";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3098";"3d demo 3ddemo anarchy 3ddemoanarchy"
"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"1989 Doctor Mabuse Orgasm Crackings";"whdload";"0";"3D-Net Analyzer";"3DNetAnalyzer";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"0";"0-9\3DNetAnalyzer";"524288";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"Pouet";"";"";"Doctor Mabuse Orgasm Crackings";"0\3d-net-analyzer-doctor-mabuse-orgasm-crackings";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067014.png";"october 1988";"3D-Net-Analyzer";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67014";"3d net analyzer 3dnetanalyzer doctor mabuse orgasm crackings 3dnetanalyzerdoctormabuseorgasmcrackings"
"NoError, EmulTrap, ClearMem";"5 Yards 1991 Vision.";"1991 Vision";"whdload";"0";"5 Yards";"5Yards";"92702";"0-9\5Yards\5Yards.Slave";"0";"0-9\5Yards";"524288";"5Yards";"OCS/ECS";"";"";"";"";"";"5 yards vision";"Exact";"100";"Pouet";"n/a";"n/a";"Vision";"0\5-yards-vision";"intro";"RAF Conference 1991";"http://content.pouet.net/files/screenshots/00048/00048887.png";"march 1991";"5 Yards";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=48887";"5 yards 5yards vision 5yardsvision"
"NoError, EmulTrap";"8-Bit Jungle ? 2011 Unstable Label.";"2011 Unstable Label";"whdload";"0";"8-Bit Jungle";"8BitJungle";"2594214";"0-9\8BitJungle\8BitJungle.slave";"0";"0-9\8BitJungle";"1048576";"8BitJungle";"OCS/ECS";"";"";"";"";"";"8 bit jungle unstable label";"Exact";"100";"Pouet";"oldskool demo";"2nd";"Unstable Label";"0\8-bit-jungle-unstable-label";"musicdisk";"Sunrise 2011";"http://content.pouet.net/files/screenshots/00057/00057727.jpg";"september 2011";"8-Bit Jungle";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=57727";"8 bit jungle 8bitjungle unstable label 8bitjungleunstablelabel"
"Disk, NoError";"9 fingers ? 1990 Spaceballs.";"1990 Spaceballs";"whdload";"1024";"9 fingers";"9Fingers";"1814297";"0-9\9Fingers\9Fingers.Slave";"0";"0-9\9Fingers";"1028096";"9Fingers";"OCS/ECS";"";"";"";"";"";"9 fingers spaceballs";"Exact";"100";"Pouet";"amiga demo";"4th";"Spaceballs";"0\9-fingers-spaceballs";"demo";"The Party 1993";"http://content.pouet.net/files/screenshots/00000/00000100.gif";"december 1993";"9 Fingers";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=100";"9 fingers 9fingers spaceballs 9fingersspaceballs"
"Disk, NoError, EmulTrap";":";"1993 Essence";"whdload";"0";"Antediluvian Sloppy Spectacle";"A.S.S";"914711";"A\A.S.S\A.S.S.slave";"524288";"A\A.S.S";"524288";"A.S.S";"OCS/ECS";"";"";"";"";"";"antediluvian sloppy spectacle essence";"Exact";"100";"Pouet";"";"";"essence";"a\antediluvian-sloppy-spectacle-essence";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008679.gif";"july 1993";"Antediluvian Sloppy Spectacle";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8679";"antediluvian sloppy spectacle antediluviansloppyspectacle essence antediluviansloppyspectacleessence"
"Disk, NoError, Req68020, ReqAGA";"A1200 Demo ? 1993 Complex (1 disk)";"1993 Complex";"whdload";"0";"A1200 Demo";"A1200DemoAGA";"912458";"A\A1200DemoAGA\A1200DemoAGA.slave";"4096";"A\A1200DemoAGA";"2097152";"A1200";"AGA";"";"";"Demo";"";"";"official commodore france a1200 demo digital";"Exact";"100";"Pouet";"";"";"Digital";"o\official-commodore-france-a1200-demo-digital";"demo";"";"http://content.pouet.net/files/screenshots/00012/00012336.jpg";"april 1992";"Official Commodore France A1200 demo";"Amiga AGA";"http://www.pouet.net/prod.php?which=12336";"official commodore france a 1200 demo officialcommodorefrancea1200demo digital officialcommodorefrancea1200demodigital"
"NoError, EmulTrap, ClearMem";"Absence of Light ? 1991 Animators.";"1991 Animators";"whdload";"0";"Absence of Light";"AbsenceOfLight";"456895";"A\AbsenceOfLight\AbsenceOfLight.Slave";"0";"A\AbsenceOfLight";"524288";"AbsenceOfLight";"OCS/ECS";"";"";"";"";"";"absence of light animators";"Exact";"100";"Pouet";"n/a";"n/a";"animators";"a\absence-of-light-animators";"musicdisk";"CeBIT 1991";"http://content.pouet.net/files/screenshots/00031/00031944.gif";"march 1991";"Absence of Light";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=31944";"absence of light absenceoflight animators absenceoflightanimators"
"NoError, EmulTrap";"Absolute Inebriation ? 1992 Virtual Dreams.";"1992 Fairlight/Virtual Dreams";"whdload";"0";"Absolute Inebriation";"AbsoluteInebriation";"1817244";"A\AbsoluteInebriation\AbsoluteInebriation.Slave";"524288";"A\AbsoluteInebriation";"524288";"AbsoluteInebriation";"OCS/ECS";"";"";"";"";"";"absolute inebriation fairlight virtual dreams";"Best";"4.833653";"Pouet";"amiga demo";"6th";"Virtual Dreams,Fairlight";"a\absolute-inebriation-virtual-dreams-fairlight";"demo";"The Party 1992";"http://content.pouet.net/files/screenshots/00001/00001468.gif";"december 1992";"Absolute Inebriation";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=1468";"absolute inebriation absoluteinebriation virtual dreams fairlight absoluteinebriationvirtualdreamsfairlight"
"NoError, EmulTrap, ClearMem";"Absolute Swedish ? 1993 Phew! Productions.";"1993 Phew! Productions";"whdload";"0";"Absolute Swedish";"AbsoluteSwedish";"925128";"A\AbsoluteSwedish\AbsoluteSwedish.slave";"0";"A\AbsoluteSwedish";"524288";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";"";"absolute swedish phew productions";"Best";"6.662787";"Janeway Amiga Scene Demo Database";;;"Phew! Productions";;"Musicdisk";"";;"";"Absolute Swedish 1";;;"absolute swedish 1 absoluteswedish1 phew productions absoluteswedish1phewproductions"
"NoError, ClearMem";"Acid in the House ? 1989 North Star & The Silents.";"1989 North Star & The Silents";"whdload";"0";"Acid in the House";"AcidInTheHouse";"921836";"A\AcidInTheHouse\AcidInTheHouse.Slave";"0";"A\AcidInTheHouse";"524288";"AcidInTheHouse";"OCS/ECS";"";"";"";"";"";"acid in the house north star silents";"Best";"1.452182";"Pouet";"";"";"Northstar,The Silents";"a\acid-in-the-house-northstar-the-silents_#2";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067513.png";"1989";"Acid In The House";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67513";"acid in the house acidinthehouse northstar the silents acidinthehousenorthstarthesilents"
"NoError, EmulTrap, ClearMem";"Acme 1991 Slideshow ? 1991 Acme.";"1991 Acme";"whdload";"0";"Acme 1991 Slideshow";"Acme1991Slideshow";"922192";"A\Acme1991Slideshow\Acme1991Slideshow.Slave";"0";"A\Acme1991Slideshow";"524288";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";"";"acme 1991 slideshow";"Best";"4.742514";"Pouet";"none";"n/a";"Acme (Amiga)";"a\acme-slideshow-1991-reflection-of-perfection-acme-amiga";"slideshow";"Anarchy Easter Party 1991";"http://content.pouet.net/files/screenshots/00032/00032140.gif";"march 1991";"Acme Slideshow 1991 (Reflection of Perfection)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=32140";"acme slideshow 1991 reflection of perfection acmeslideshow1991reflectionofperfection acme amiga acmeslideshow1991reflectionofperfectionacmeamiga"
"NoError, EmulTrap, ClearMem";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"1990 Crusaders";"whdload";"0";"A few Tunes by Dr. Awesome & Fleshbrain";"AFewTunes";"920410";"A\AFewTunes\AFewTunes.Slave";"0";"A\AFewTunes";"524288";"AFewTunes";"OCS/ECS";"";"";"";"";"";"afew tunes few by dr awesome fleshbrain crusaders";"Best";"4.258955";"Janeway Amiga Scene Demo Database";;;"The Crusaders";;"Musicdisk";"";;"";"A Few Tunes by Dr. Awesome and Fleshbrain";;;"a few tunes by dr awesome and fleshbrain afewtunesbydrawesomeandfleshbrain the crusaders afewtunesbydrawesomeandfleshbrainthecrusaders"
"NoError, EmulTrap, ClearMem";"Alchemy 1993 Rage.";"1993 Rage";"whdload";"0";"Alchemy";"Alchemy";"1822528";"A\Alchemy\Alchemy.Slave";"524288";"A\Alchemy";"524288";"Alchemy";"OCS/ECS";"";"";"";"";"";"alchemy rage";"Exact";"100";"Pouet";"amiga demo";"1st";"Rage";"a\alchemy-rage";"demo";"The Computer Crossroad 1993";"http://content.pouet.net/files/screenshots/00015/00015957.jpg";"may 1993";"Alchemy";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15957";"alchemy alchemy rage alchemyrage"
"NoError, EmulTrap, ClearMem";"Alfred - The Music Disk ? 1991 Relay.";"1991 Relay";"whdload";"0";"Alfred";"AlfredTheMusicDisk";"925593";"A\AlfredTheMusicDisk\AlfredTheMusicDisk.slave";"0";"A\AlfredTheMusicDisk";"524288";"AlfredTheMusicDisk";"OCS/ECS";"";"";"";"";"";"alfred the music disk relay";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Relay";;"Musicdisk";"";;"";"Alfred The Music Disk";;;"alfred the music disk alfredthemusicdisk relay alfredthemusicdiskrelay"
"NoError, EmulTrap, ClearMem";"Aloha ? 1989 Rebels.";"1989 Rebels";"whdload";"0";"Aloha";"Aloha";"90505";"A\Aloha\Aloha.Slave";"0";"A\Aloha";"524288";"Aloha";"OCS/ECS";"";"";"";"";"";"aloha rebels";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Rebels";;"Demo";"";;"7/89";"Aloha";;;"aloha aloha rebels aloharebels"
"Disk, NoError";"Alpha and Omega ? 1991 Pure Metal Coders.";"1991 Pure Metal Coders";"whdload";"0";"Alpha and Omega";"Alpha&Omega";"907924";"A\Alpha&Omega\Alpha&Omega.Slave";"0";"A\Alpha&Omega";"524288";"Alpha&Omega";"OCS/ECS";"";"";"";"";"";"alpha omega and pure metal coders";"Best";"4.601851";"Pouet";"amiga demo";"2nd";"Pure Metal Coders";"a\alpha-omega-pure-metal-coders";"demo";"Amega 1991";"http://content.pouet.net/files/screenshots/00003/00003205.gif";"june 1991";"Alpha & Omega";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3205";"alpha omega alphaomega pure metal coders alphaomegapuremetalcoders"
"NoError, EmulTrap, ClearMem";"Alternative Reality 1992 Suspect.";"1992 Suspect";"whdload";"0";"Alternative Reality";"AlternativeReality";"921744";"A\AlternativeReality\AlternativeReality.Slave";"524288";"A\AlternativeReality";"524288";"AlternativeReality";"OCS/ECS";"";"";"";"";"";"alternative reality suspect";"Exact";"100";"Pouet";"amiga demo";"3rd";"suspect";"a\alternative-reality-suspect";"demo";"Warszawa 2 1992";"http://content.pouet.net/files/screenshots/00051/00051592.png";"october 1992";"Alternative Reality";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=51592";"alternative reality alternativereality suspect alternativerealitysuspect"
"NoError, EmulTrap, ClearMem";"Amazing Tunes ? 1988 Share and Enjoy.";"1988 Share and Enjoy";"whdload";"0";"Amazing Tunes";"AmazingTunes";"741947";"A\AmazingTunes\AmazingTunes.Slave";"0";"A\AmazingTunes";"524288";"AmazingTunes";"OCS/ECS";"";"";"";"";"";"amazing tunes share and enjoy megaforce";"Exact";"100";"Pouet";"";"";"Share And Enjoy,Megaforce";"a\amazing-tunes-share-and-enjoy-megaforce";"musicdisk";"";"http://content.pouet.net/files/screenshots/00030/00030544.png";"january 1989";"Amazing Tunes";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=30544";"amazing tunes amazingtunes share and enjoy megaforce amazingtunesshareandenjoymegaforce"
"NoError, EmulTrap, ClearMem";"Amazing Tunes 2 ? 1990 Share and Enjoy.";"1990 Share and Enjoy";"whdload";"0";"Amazing Tunes 2";"AmazingTunes2";"2726771";"A\AmazingTunes2\AmazingTunes2.Slave";"524288";"A\AmazingTunes2";"524288";"AmazingTunes2";"OCS/ECS";"";"";"";"";"";"amazing tunes 2 share and enjoy";"Best";"4.67305";"Pouet";"none";"n/a";"Share And Enjoy";"a\amazing-tunes-ii-share-and-enjoy";"musicdisk";"Dexion X-Mas Conference 1990";"http://content.pouet.net/files/screenshots/00019/00019695.gif";"december 1990";"Amazing Tunes II";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19695";"amazing tunes 2 amazingtunes2 share and enjoy amazingtunesiishareandenjoy"
"NoError, EmulTrap, ClearMem";"Amplifier I ? 1991 Dimension 4.";"1991 Dimension 4";"whdload";"0";"Amplifier I";"Amplifier1";"691999";"A\Amplifier1\Amplifier1.Slave";"0";"A\Amplifier1";"524288";"Amplifier1";"OCS/ECS";"";"";"";"";"";"amplifier 1 dimension 4";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Dimension 4";;"Musicdisk";"";;"";"Amplifier 1";;;"amplifier 1 amplifier1 dimension 4 amplifier1dimension4"
"NoError, EmulTrap, ClearMem";"Amplifier II ? 1991 Dimension 4.";"1991 Dimension 4";"whdload";"0";"Amplifier II";"Amplifier2";"1444096";"A\Amplifier2\Amplifier2.slave";"0";"A\Amplifier2";"524288";"Amplifier2";"OCS/ECS";"";"";"";"";"";"the amplifier 2 dimension 4";"Exact";"100";"Pouet";"";"";"Dimension4";"t\the-amplifier-2-dimension4";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067641.png";"august 1991";"The Amplifier 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67641";"the amplifier 2 theamplifier2 dimension 4 theamplifier2dimension4"
"NoError, ClearMem";"Analogia ? 1991 Analog";"1991 Analog";"whdload";"0";"Analogia";"Analogia";"929897";"A\Analogia\Analogia.Slave";"4096";"A\Analogia";"524288";"Analogia";"OCS/ECS";"";"";"";"";"";"analogia analog";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Analog";;"Demo";"";;"";"Analogia";;;"analogia analogia analog analogiaanalog"
"NoError";"Anarchy - Announcetro ? 1991 The Silents & Anarchy";"1991 The Silents & Anarchy";"whdload";"0";"Anarchy - Announcetro";"AnarchyAnnouncetro";"195247";"A\AnarchyAnnouncetro\AnarchyAnnouncetro.Slave";"4096";"A\AnarchyAnnouncetro";"364544";"AnarchyAnnouncetro";"OCS/ECS";"";"";"";"";"";"anarchy announcetro the silents";"Best";"2.99802";"Pouet";"";"";"The Silents,Anarchy";"a\anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_#2";"demo";"";"http://content.pouet.net/files/screenshots/00010/00010252.gif";"december 1991";"Anarchy (announcetro/Silents fr last demo)";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=10252";"anarchy announcetro silents fr last demo anarchyannouncetrosilentsfrlastdemo the silents anarchy anarchyannouncetrosilentsfrlastdemothesilentsanarchy"
"NoError, EmulTrap, ClearMem";"Anarchy Party 1991 Slideshow ? 1991 Razor 1911.";"1991 Razor 1911";"whdload";"0";"Anarchy Party 1991 Slideshow";"AnarchyParty1991Slideshow";"924973";"A\AnarchyParty1991Slideshow\AnarchyPartySlide.Slave";"0";"A\AnarchyParty1991Slideshow";"524288";"AnarchyParty1991Slideshow";"OCS/ECS";"";"";"";"";"";"anarchy party slide razor 1911";"Exact";"100";"Pouet";"";"";"Razor 1911";"a\anarchy-party-slide-razor-1911";"slideshow";"";"http://content.pouet.net/files/screenshots/00011/00011507.jpg";"january 1991";"anarchy party slide";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=11507";"anarchy party slide anarchypartyslide razor 1911 anarchypartysliderazor1911"
"Disk, NoError, Req68020, ReqAGA, ClearMem";"Animatunes ? 1994 NGC.";"1994 NGC";"whdload";"0";"Animatunes";"AnimatunesAGA";"1821719";"A\AnimatunesAGA\AnimatunesAGA.slave";"4096";"A\AnimatunesAGA";"2097152";"Animatunes";"AGA";"";"";"";"";"";"the animatunes";"Exact";"100";"Pouet";"";"";"New Generation Crew";"t\the-animatunes-new-generation-crew";"demo";"";"http://content.pouet.net/files/screenshots/00003/00003026.gif";"august 1994";"The Animatunes";"Amiga AGA";"http://www.pouet.net/prod.php?which=3026";"the animatunes theanimatunes new generation crew theanimatunesnewgenerationcrew"
"NoError, EmulTrap, ClearMem";"Animotion ? 1990 Phenomena.";"1990 Phenomena";"whdload";"0";"Animotion";"Animotion";"219165";"A\Animotion\Animotion.slave";"0";"A\Animotion";"524288";"Animotion";"OCS/ECS";"";"";"";"";"";"animotion phenomena";"Exact";"100";"Pouet";"amiga demo";"1st";"Phenomena";"a\animotion-phenomena";"demo";"Dexion X-Mas Conference 1990";"http://content.pouet.net/files/screenshots/00001/00001627.png";"december 1990";"Animotion";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=1627";"animotion animotion phenomena animotionphenomena"
"NoError";"Announce ? 1993 Lemon.";"1993 Lemon.";"whdload";"0";"Announce";"Announce";"345406";"A\Announce\Announce.Slave";"528384";"A\Announce";"466944";"Announce";"OCS/ECS";"";"";"";"";"";"announce lemon";"Exact";"100";"Pouet";"";"";"Lemon.";"a\announce-lemon";"demo";"";"http://content.pouet.net/files/screenshots/00000/00000411.gif";"march 1993";"Announce";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=411";"announce announce lemon announcelemon"
"NoError, EmulTrap, ClearMem";"Apocalypse 1992 Gods.";"1992 Gods";"whdload";"0";"Apocalypse";"Apocalypse";"394645";"A\Apocalypse\Apocalypse.Slave";"0";"A\Apocalypse";"524288";"Apocalypse";"OCS/ECS";"";"";"";"";"";"apocalypse gods";"Exact";"100";"Pouet";"n/a";"n/a";"gods";"a\apocalypse-gods";"demo";"Abstract - Oxygen Summer Conference 1992";"http://content.pouet.net/files/screenshots/00019/00019574.gif";"1992";"Apocalypse";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19574";"apocalypse apocalypse gods apocalypsegods"
"NoError, EmulTrap, ClearMem";"Aquarium 1993 Carillon & Cyberiad.";"1993 Carillon & Cyberiad";"whdload";"0";"Aquarium";"Aquarium";"727468";"A\Aquarium\Aquarium.Slave";"524288";"A\Aquarium";"524288";"Aquarium";"OCS/ECS";"";"";"";"";"";"aquarium carillon cyberiad";"Exact";"100";"Pouet";"amiga demo";"6th";"Carillon & Cyberiad";"a\aquarium-carillon-cyberiad";"demo";"ECC 1993";"http://content.pouet.net/files/screenshots/00006/00006533.jpg";"august 1993";"Aquarium";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=6533";"aquarium aquarium carillon cyberiad aquariumcarilloncyberiad"
"NoError, ClearMem";"Art and Go ? 1993 Impulse.";"1993 Impulse";"whdload";"0";"Art and Go";"Art&Go";"917773";"A\Art&Go\Art&Go.Slave";"0";"A\Art&Go";"524288";"Art&Go";"OCS/ECS";"";"";"";"";"";"art go and impulse";"Best";"3.469036";"Pouet";"";"";"Impulse (.hu)";"a\art-go-impulse-hu";"slideshow";"";"http://content.pouet.net/files/screenshots/00012/00012432.jpg";"july 1993";"Art & Go!";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12432";"art go artgo impulse hu artgoimpulsehu"
"Disk, NoError, EmulTrap";"Arte ? 1993 Sanity.";"1993 Sanity";"whdload";"0";"Arte";"Arte";"898402";"A\Arte\Arte.Slave";"499712";"A\Arte";"495616";"Arte";"OCS/ECS";"";"";"";"";"";"arte sanity";"Exact";"100";"Pouet";"amiga demo";"3rd";"sanity";"a\arte-sanity";"demo";"The Party 1993";"http://content.pouet.net/files/screenshots/00001/00001477.gif";"december 1993";"ARTE";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=1477";"arte arte sanity artesanity"
"NoError, Req68020, ReqAGA, ClearMem";"Artificial Paradise ? 1994 NGC.";"1994 NGC";"whdload";"0";"Artificial Paradise";"ArtificialParadiseAGA";"1825148";"A\ArtificialParadiseAGA\ArtificialParadiseAGA.slave";"4293160960";"A\ArtificialParadiseAGA";"2097152";"ArtificialParadise";"AGA";"";"";"";"";"";"artificial paradise new generation crew";"Exact";"100";"Pouet";"amiga demo";"2nd";"New Generation Crew";"a\artificial-paradise-new-generation-crew";"demo";"Saturne 1994";"http://content.pouet.net/files/screenshots/00033/00033775.gif";"april 1994";"Artificial Paradise";"Amiga AGA";"http://www.pouet.net/prod.php?which=33775";"artificial paradise artificialparadise new generation crew artificialparadisenewgenerationcrew"
"NoError, EmulTrap, ClearMem";"Art of Noise 3 ? 1991 Northtech.";"1991 Northtech";"whdload";"0";"Art of Noise 3";"ArtOfNoise3";"683031";"A\ArtOfNoise3\ArtOfNoise3.Slave";"0";"A\ArtOfNoise3";"524288";"ArtOfNoise3";"OCS/ECS";"";"";"";"";"";"art of noise 3 northtech";"Exact";"100";"Pouet";"";"";"Northtech";"a\art-of-noise-3-northtech";"musicdisk";"";"http://content.pouet.net/files/screenshots/00065/00065557.png";"january 1991";"Art of Noise 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=65557";"art of noise 3 artofnoise3 northtech artofnoise3northtech"
