"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"NoError, EmulTrap, ClearMem";"Sounddisk ? 1991 Possessed.";"1991 Possessed";"whdload";"0";"Sounddisk";"SounddiskPossessed";"737475";"S\SounddiskPossessed\SounddiskPossessed.Slave";"0";"S\SounddiskPossessed";"524288";"SounddiskPossessed";"OCS/ECS";"";"";"";"";"";"sounddisk possessed";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Possessed";;"Musicdisk";"";;"91";"Sounddisk";;;"sounddisk sounddisk possessed sounddiskpossessed"
"NoError, EmulTrap, ClearMem";"Sound Engine ? 1990 Absence.";"1990 Absence";"whdload";"0";"Sound Engine";"SoundEngine";"846230";"S\SoundEngine\SoundEngine.Slave";"0";"S\SoundEngine";"524288";"SoundEngine";"OCS/ECS";"";"";"";"";"";"sound engine absence";"Exact";"100";"Pouet";"";"";"Absence";"s\sound-engine-absence";"musicdisk";"";"http://content.pouet.net/files/screenshots/00012/00012402.png";"october 1990";"sound engine";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12402";"sound engine soundengine absence soundengineabsence"
"NoError, EmulTrap, ClearMem";"Sound Engine 2 ? 1990 Absence.";"1990 Absence";"whdload";"0";"Sound Engine 2";"SoundEngine2";"924423";"S\SoundEngine2\SoundEngine2.Slave";"0";"S\SoundEngine2";"524288";"SoundEngine2";"OCS/ECS";"";"";"";"";"";"sound engine 2 absence";"Exact";"100";"Pouet";"";"";"Absence";"s\sound-engine-2-absence";"musicdisk";"";"http://content.pouet.net/files/screenshots/00033/00033382.gif";"n/a";"Sound Engine 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33382";"sound engine 2 soundengine2 absence soundengine2absence"
"NoError, EmulTrap, ClearMem";"Sound Erection ? 1989 Shining 8.";"1989 Shining 8";"whdload";"0";"Sound Erection";"SoundErection";"702429";"S\SoundErection\SoundErection.Slave";"0";"S\SoundErection";"524288";"SoundErection";"OCS/ECS";"";"";"";"";"";"sound erection shining 8";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Shining 8";;"Musicdisk";"Amiga Expo";;"";"Sound Erection";;;"sound erection sounderection shining 8 sounderectionshining8"
"NoError, EmulTrap, ClearMem";"Sound Highlights 1 ? 1991 Timex.";"1991 Timex";"whdload";"0";"Sound Highlights 1";"SoundHighlights1";"919729";"S\SoundHighlights1\SoundHighlights1.Slave";"0";"S\SoundHighlights1";"524288";"SoundHighlights1";"OCS/ECS";"";"";"";"";"";"sound highlights 1 timex";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Timex";;"Musicdisk";"";;"";"Sound Highlights 1";;;"sound highlights 1 soundhighlights1 timex soundhighlights1timex"
"NoError, EmulTrap, ClearMem";"Sound Mania 2 ? 1990 Pussy.";"1990 Pussy";"whdload";"0";"Sound Mania 2";"SoundMania2Pussy";"918780";"S\SoundMania2Pussy\SoundMania2Pussy.Slave";"0";"S\SoundMania2Pussy";"524288";"SoundMania2Pussy";"OCS/ECS";"";"";"";"";"";"sound mania 2 pussy";"Exact";"100";"Pouet";"";"";"Pussy";"s\sound-mania-2-pussy";"musicdisk";"";"http://content.pouet.net/files/screenshots/00032/00032800.png";"1990";"Sound Mania 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=32800";"sound mania 2 soundmania2 pussy soundmania2pussy"
"NoError, EmulTrap, ClearMem";"Sound of Music 7 ? 1990 Cave.";"1990 Cave";"whdload";"0";"Sound of Music 7";"SoundOfMusic7";"922447";"S\SoundOfMusic7\SoundOfMusic7.Slave";"0";"S\SoundOfMusic7";"524288";"SoundOfMusic7";"OCS/ECS";"";"";"";"";"";"sound of music 7 cave";"Exact";"100";"Pouet";"";"";"cave";"s\sound-of-music-7-cave";"musicdisk";"";"http://content.pouet.net/files/screenshots/00048/00048773.png";"september 1990";"Sound of Music 7";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=48773";"sound of music 7 soundofmusic7 cave soundofmusic7cave"
"NoError, ClearMem";"Sound of Silents ? 1990 The Silents";"1990 The Silents";"whdload";"0";"Sound of Silents";"SoundOfSilents";"923287";"S\SoundOfSilents\SoundOfSilents.Slave";"4096";"S\SoundOfSilents";"524288";"SoundOfSilents";"OCS/ECS";"";"";"";"";"";"sound of silents the";"Best";"2.661402";"Pouet";"none";"n/a";"The Silents";"s\sound-of-silents-the-silents";"musicdisk";"Bounty Copy-Party 1990";"http://content.pouet.net/files/screenshots/00003/00003616.jpg";"august 1990";"Sound of Silents";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3616";"sound of silents soundofsilents the silents soundofsilentsthesilents"
"NoError, EmulTrap, ClearMem";"Sound Quest 1 ? 1988 Quest.";"1988 Quest";"whdload";"0";"Sound Quest 1";"SoundQuest1";"582698";"S\SoundQuest1\SoundQuest1.Slave";"0";"S\SoundQuest1";"524288";"SoundQuest1";"OCS/ECS";"";"";"";"";"";"sound quest 1";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Quest";;"Musicdisk";"";;"88";"Soundquest 1";;;"soundquest 1 soundquest1 quest soundquest1quest"
"NoError, EmulTrap, ClearMem";"Sound Quest 2 ? 1988 Quest.";"1988 Quest";"whdload";"0";"Sound Quest 2";"SoundQuest2";"785572";"S\SoundQuest2\SoundQuest2.Slave";"0";"S\SoundQuest2";"524288";"SoundQuest2";"OCS/ECS";"";"";"";"";"";"sound quest 2 quest";"Exact";"100";"Pouet";"";"";"quest";"s\sound-quest-2-quest";"musicdisk";"";"http://content.pouet.net/files/screenshots/00026/00026151.jpg";"october 1988";"Sound Quest #2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=26151";"sound quest #2 soundquest#2 quest soundquest2quest"
