"Compo";"Rank";"Groups";"ProductionPath";"Type";"Party";"ScreenshotUrl";"Date";"Name";"Platform";"ProductionUrl"
"";"";"2000AD";"g\guerilla-in-bolivia-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00028/00028002.png";"1993";"Guerilla in Bolivia";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28002"
"";"";"2000AD";"i\intertalk-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00058/00058609.png";"1992";"Intertalk";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=58609"
"";"";"2000AD";"k\kinabums-2000ad";"bbstro";"";"http://content.pouet.net/files/screenshots/00055/00055494.png";"n/a";"Kinabums";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55494"
"";"";"2000AD";"p\pac-mag-10-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00007/00007934.jpg";"november 1992";"Pac-Mag #10";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7934"
"";"";"2000AD";"p\pacmag-09-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00055/00055497.png";"october 1992";"pacmag #09";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55497"
"";"";"2000AD";"p\pacmag-11-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00055/00055517.png";"february 1993";"pacmag #11";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55517"
"";"";"2000AD";"p\pacmag-14-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00055/00055518.png";"may 1993";"pacmag #14";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55518"
"";"";"2000AD";"p\pacmag-15-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033092.jpg";"june 1993";"PacMag #15";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33092"
"";"";"2000AD";"p\pacmag-16-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00055/00055495.png";"july 1993";"pacmag #16";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55495"
"";"";"2000AD";"p\pacmag-17-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00055/00055496.png";"august 1993";"pacmag #17";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55496"
"";"";"2000AD";"p\pacmag-18-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00033/00033093.jpg";"september 1993";"PacMag #18";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33093"
"";"";"2000AD";"p\pacmag-19-2000ad";"diskmag";"";"http://content.pouet.net/files/screenshots/00055/00055519.png";"october 1993";"pacmag #19";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55519"
"";"";"2000AD";"p\plasma-sumpen-2000ad";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033098.jpg";"n/a";"Plasma-Sumpen";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33098"
"";"";"2000AD";"r\runaway-2000ad";"demo";"";"http://content.pouet.net/files/screenshots/00013/00013363.png";"n/a";"runaway";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=13363"
"";"";"2000AD";"s\solitaire-sampler-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00055/00055493.png";"n/a";"Solitaire Sampler";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55493"
"";"";"2000AD";"t\tetris-pro-intro-2000ad";"intro";"";"http://content.pouet.net/files/screenshots/00055/00055498.png";"december 1993";"Tetris Pro Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55498"
"";"";"2000AD";"t\trash-city-bbstro-2000ad";"bbstro";"";"http://content.pouet.net/files/screenshots/00007/00007930.jpg";"n/a";"Trash City BBStro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7930"
"";"";"2000AD";"w\warez-depot-2000ad";"bbstro";"";"http://content.pouet.net/files/screenshots/00033/00033100.jpg";"n/a";"Warez Depot";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33100"
"";"";"2000AD";"w\wizkid_trainer-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00026/00026989.gif";"september 1992";"WizKid_Trainer";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=26989"
"";"";"23 celsius crew";"b\bash-2-dentro-23-celsius-crew";"intro";"";"http://content.pouet.net/files/screenshots/00033/00033087.jpg";"february 1992";"Bash 2 Dentro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33087"
"";"";"23 celsius crew";"c\contact-23-celsius-crew";"intro";"";"http://content.pouet.net/files/screenshots/00053/00053238.png";"n/a";"Contact";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=53238"
"";"";"23 celsius crew";"d\digi-movie-1-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033074.jpg";"n/a";"Digi-Movie 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33074"
"";"";"23 celsius crew";"f\first-member-intro-23-celsius-crew";"intro";"";"http://content.pouet.net/files/screenshots/00033/00033094.jpg";"1989";"First Member Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33094"
"";"";"23 celsius crew";"i\inside-anarchy-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033075.jpg";"1992";"Inside Anarchy";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33075"
"";"";"23 celsius crew,Moonlight Productions";"m\moonlight-shadow-23-celsius-crew-moonlight-productions";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033089.jpg";"1993";"Moonlight Shadow";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33089"
"";"";"23 celsius crew";"m\more-vectors-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033076.jpg";"1991";"More Vectors";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33076"
"";"";"23 celsius crew";"p\party-demo-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033101.jpg";"february 1990";"Party Demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33101"
"";"";"23 celsius crew";"t\the-seventh-attempt-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00032/00032162.png";"october 1990";"The seventh attempt";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=32162"
"";"";"23 celsius crew";"v\villed-factors-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033095.jpg";"1993";"Villed Factors";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33095"
"";"";"23 celsius crew";"w\waves-of-the-dark-blue-lake-on-a-sunny-afternoon-23-celsius-crew";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033088.jpg";"n/a";"Waves of the dark blue lake on a sunny afternoon";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33088"
"";"";"ESG,242";"a\antro-esg-242";"demo";"";"http://content.pouet.net/files/screenshots/00029/00029388.png";"n/a";"Antro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=29388"
"";"";"ESG,242";"c\city-esg-242";"demo";"";"http://content.pouet.net/files/screenshots/00029/00029389.png";"n/a";"City";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=29389"
"";"";"2D Team";"0\2d-team-intro-2d-team";"cracktro";"";"http://content.pouet.net/files/screenshots/00054/00054815.gif";"1991";"2D Team - intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=54815"
"n/a";"n/a";"3 Amigos";"m\manure-3-amigos";"64k";"The Gathering 2001";"http://content.pouet.net/files/screenshots/00016/00016212.png";"april 2001";"Manure";"Amiga AGA";"http://www.pouet.net/prod.php?which=16212"
"amiga demo";"7th";"3 Amigos";"t\the-squirt-3-amigos";"demo";"Mekka &amp";"";"april 2001";"The Squirt";"Amiga AGA";"http://www.pouet.net/prod.php?which=15787"
"n/a";"n/a";"3 Amigos";"u\urine-3-amigos";"4k";"The Gathering 2001";"http://content.pouet.net/files/screenshots/00016/00016213.jpg";"april 2001";"Urine";"Amiga AGA";"http://www.pouet.net/prod.php?which=16213"
"combined demo";"5th";"3 Little Elks";"b\bills-confession-3-little-elks";"demo";"compusphere 1996";"http://content.pouet.net/files/screenshots/00030/00030894.jpg";"may 1996";"Bill's Confession";"Amiga AGA";"http://www.pouet.net/prod.php?which=30894"
"n/a";"n/a";"3 Little Elks";"b\bratwurst-3-little-elks";"game";"compusphere 1995";"http://content.pouet.net/files/screenshots/00014/00014551.png";"may 1995";"Bratwurst";"Amiga AGA";"http://www.pouet.net/prod.php?which=14551"
"none";"n/a";"3 Little Elks";"c\compusphere-97-slideshow-3-little-elks";"report";"compusphere 1997";"http://content.pouet.net/files/screenshots/00013/00013713.gif";"december 1997";"compusphere '97 slideshow";"Amiga AGA";"http://www.pouet.net/prod.php?which=13713"
"";"";"3 Little Elks";"c\compusphere-5-invitation-3-little-elks";"invitation";"";"http://content.pouet.net/files/screenshots/00052/00052616.gif";"n/a";"Compusphere 5 Invitation";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=52616"
"";"";"3 Little Elks";"c\compusphere-7-invitation-3-little-elks";"invitation";"";"http://content.pouet.net/files/screenshots/00052/00052614.jpg";"october 1996";"Compusphere 7 Invitation";"Amiga AGA";"http://www.pouet.net/prod.php?which=52614"
"";"";"3 Little Elks,BODYWORKS";"d\domestic-subway-3-little-elks-bodyworks";"bbstro";"";"http://content.pouet.net/files/screenshots/00067/00067008.gif";"1995";"Domestic Subway";"Amiga AGA";"http://www.pouet.net/prod.php?which=67008"
