Year;Url;License;Languages;Disks;Players;Name;Publisher;Developer;Hardware;Genre
1987;http://www.mobygames.com/game/hellowoon-das-geheimnis-des-zauberstabs;;German;;;Hellowoon: Das Geheimnis des Zauberstabs;ariolasoft GmbH;Dragonware Games;ECS/OCS;Adventure
1989;http://hol.abime.net/2264;Commercial;English,German;3;1;Quest For The Time-Bird, The;Infogrames;;ECS/OCS;Adventure - Clicker
1993;http://hol.abime.net/5184;Commercial;French;5;1;Short Grey, The;Accrosoft;Alcatraz;ECS/OCS;Adventure - Point and Click
1993;http://hol.abime.net/4700;;German;1;1;Erbe 2: Das Schmutzige Erbe;Comad;Comad;ECS/OCS;Adventure - Point and Click
1991;http://hol.abime.net/5003;;English,French;2;;Raiders, The;Silmarils;;ECS/OCS;Compilation (Targhan, Starblade, Fetiche Maya, Le, Colorado)
Year;Url;License;Languages;Disks;Players;Name;Publisher;Developer;Hardware;Genre
1994;http://hol.abime.net/3429;Commercial;English;CD32;1 or 2, Simultaneous;Emerald Mines;Almathera - Worldwide;Almathera;ECS/OCS;Maze game, Boulder Dash
1994;;Shareware;English;1;1 or 2, Simultaneous;Mega Block 2;;D. Ramsey;ECS/OCS;Tetris
1989;http://hol.abime.net/2304;Commercial;English;1;1 or 2;One To One Match;Electronic Arts;Computer Sight;ECS/OCS;Puzzler
1993;http://hol.abime.net/3610;Commercial;English;1;1;Neutralizer II;;InBetween;ECS/OCS;Shooter
1988;http://hol.abime.net/4358;Commercial;English;1;1 or 2, Simultaneous;Magic Johnson's Fast Break;Arcadia (Mastertronic);;ECS/OCS;Sport
2016;;;English;;1 - 2 (1 simultaneous);The Great Giana Sisters Special Edition;Reimagine Games;;ECS/OCS;Platformer - Scrolling Screen
1992;http://hol.abime.net/27;Commercial;English;1;1;Lost Treasures Of Infocom, The;Activision;;ECS/OCS;Compilation (The Hitchhiker's Guide To The Galaxy, Zork I: The Great Underground Empire, ...)
1992;http://hol.abime.net/1867;Commercial;English;2;2;Sensible Soccer: European Champions v1.1 (92/93 Edition);Renegade;Sensible;ECS/OCS;Sport
1990;http://hol.abime.net/3255;Commercial;English;1;1;Amazing Spider-Man, The;Empire, Paragon;Oxford Digital Enterprises (ODE);ECS/OCS;Platform
1996;http://hol.abime.net/5541;PD/Freeware;English;2;1;BreakOut Revolution;;Unknown;AGA;Reaction & Navigation
1985;http://hol.abime.net/6288;Commercial;English;1;1;Monkey Business;Other Valley;Unknown;ECS/OCS;Platform
1986;http://hol.abime.net/5945;Commercial;English;1;2;Fraction Action;Unicorn Educational Software;Unicorn Educational Software;ECS/OCS;Platform
2017;http://www.lemonamiga.com/games/details.php?id=2035;Commercial;English;4;1 or 2;Project-X 2017;Team 17;Team 17;ECS/OCS;Shooter
1994;http://hol.abime.net/2251;Commercial;English;1;1;Syndicate: American Revolt Mission Disk;Amiga Format, Amiga Game Zone;Bullfrog;ECS/OCS;Strategy - Company
1997;http://hol.abime.net/1781;Commercial;English;3;8;Worms: The Director's Cut;Ocean, Team 17;Team 17;AGA;Puzzler
1989;http://hol.abime.net/3796;Commercial;English;1;1;Kinderama: Five Early Learning Games;Unicorn Educational Software;Unicorn Educational Software;ECS/OCS;Multi Type, Games & Activities
1989;http://hol.abime.net/2481;Commercial;English;1;1;Millennium 2.2;Electric Dreams (Activision);Software Studios (Activision);ECS/OCS;Strategy
1989;http://hol.abime.net/2040;Commercial;English;3;1;Spacewrecked: 14 Billion Light Years From Earth;Gremlin, Konami;Unknown;ECS/OCS;RPG, Dungeon Crawler
2018;http://hol.abime.net/6292;PD/Freeware;English;1;1;Bomb Jack Beer Edition;Unknown;Unknown;ECS/OCS;Platform
1990;https://hol.abime.net/2054;Commercial;English;1;1;Spellfire the Sorceror;Codemasters;Codemasters;ECS/OCS;Platform
1989;https://hol.abime.net/2540;Promotional;English;1;1;Myth;Magnetic Scrolls;Magnetic Scrolls;ECS/OCS;Adventure
1992;https://hol.abime.net/751;Commercial;English;2;4;Hoyle Book Of Games Volume 3: Great Board Games;Sierra;Sierra;ECS/OCS;Board Game
2016;https://hol.abime.net/6139;PD/Freeware;English;3;4;Center Court 2;Unknown;Gernot Fritsche;AGA;Sport, Tennis
1993;https://hol.abime.net/1363;Commercial;Italian;1;1;Tex 04: San Francisco;Simulmondo;Unknown;ECS/OCS;Action, Adventure
1993;;PD/Freeware;Polish;1;1;AmiRobbo;Unknown;Artur Szafranski, Bernard Krzymowski;ECS/OCS;Puzzler
2021;;PD/Freeware;English;1;1;Pacman;Unknown;JOTD;ECS/OCS;Maze Game
1988;https://hol.abime.net/399;Commercial;English;2;8;Down At The Trolls;U.S. GOLD / Rainbow Arts;Unknown;ECS/OCS;Platform
;https://hol.abime.net/6416;Commercial;English;1;1;Blork;Unknown;2nd Generation;ECS/OCS;Shooter
1989;https://hol.abime.net/3894;Commercial;English;1;1;Chinese Karate;Turtle Byte;Unknown;ECS/OCS;Beat-'em-up
2020;;Commercial;English;1;1;Inviyya demo;Unknown;Tigerskunk;ECS/OCS;Shooter
1988;https://hol.abime.net/399;Commercial;French,German;1;1;Mewilo;Coktel;Coktel;ECS/OCS;Adventure
1988;https://hol.abime.net/1044;Commercial;English;1;1;Phantasm;Exocet / Scorpion;Unknown;ECS/OCS;Shooter
2019;https://hol.abime.net/6317;PD/Freeware;English;1;1;Rygar: Legendary Warrior;Unknown;Seismic Minds;AGA;Platform
1989;https://hol.abime.net/3451;Commercial;English;1;1;Sci-Fi;Digital Magic;Light Source / Lightsource;ECS/OCS;Shooter
1992;https://hol.abime.net/6225;Commercial;English;1;2;Snakes;Victrix;Excellent Design;ECS/OCS;Reaction & Navigation
;https://hol.abime.net/6214;Commercial;English;1;1;Spirilon;Unknown;Zephyr Studio;AGA;Shooter
2018;https://hol.abime.net/2111;Reverse Engineered Modification;English;1;1;Starquake;Fusion Retro Books / Psytronik;TOS Brothers;ECS/OCS;Platform
1997;https://hol.abime.net/1367;Coverdisk;English;1;1;TFX (Tactical Fighter Experiment);CU Amiga [EMAP];Digital Image Design;AGA;Simulation
2021;https://hol.abime.net/6418;PD/Freeware;English;1;1;Tinyus;Unknown;Abyss;AGA;Platform
1988;https://hol.abime.net/2203;Commercial;English,French;1;6;SuperSki;Loriciels / Microids;Unknown;ECS/OCS;Sport
1994;;PD/Freeware;English;1;1;Apple Hunt;Unknown;Ecthelion;ECS/OCS;Maze Game
1993;http://www.lemonamiga.com/games/details.php?id=1931;Commercial;French;1;1;Bomb'X New Levels;Mediagogo;Unknown;ECS/OCS;Arcade - Miscellaneous
1988;https://hol.abime.net/3785;Commercial;French;1;1;Bosse Des Maths 3ème, La;Coktel;Unknown;ECS/OCS;Adventure
1988;https://hol.abime.net/3786;Commercial;French;1;1;Bosse Des Maths 4ème, La;Coktel;Unknown;ECS/OCS;Adventure
1988;https://hol.abime.net/5404;Commercial;French;1;1;Bosse Des Maths 5ème, La;Coktel;Unknown;ECS/OCS;Adventure
1995;https://hol.abime.net/4273;Commercial;English;1;1;Candy Puzzle;Gevin;C.D. Express;CD32;Puzzler
1994;https://hol.abime.net/4465;Commercial;French;5;4;Carton Rouge: League Edition;Sports (Ascon);Ascon;ECS/OCS;Sport
1994;https://hol.abime.net/2938;Commercial;French;5;4;Carton Rouge: League Edition AGA;Sports (Ascon);Ascon;AGA;Sport
;https://hol.abime.net/5933;PD/Freeware;English;1;1;Cave Runner;Unknown;Unknown;ECS/OCS;Maze Game
1994;https://hol.abime.net/6127;PD/Freeware;English;1;1;Dr. Cube's Magic Lands;Unknown;2nd Generation;ECS/OCS;Platform
1992;https://hol.abime.net/5171;Game & Mini Mag;English;1;1;Gordian Tomb;Amigo! (CompuTec Verlag);X-Ample;ECS/OCS;Platform
1989;https://hol.abime.net/4185;Commercial;English;1;1;Hostage: Rescue Mission;Mindscape;Infogrames;ECS/OCS;Multi Type
1989;;Commercial;French;1;1;Picsou: Chasseur De Trésor;Coktel;Cedic-Nathan;ECS/OCS;Unknown
;https://hol.abime.net/3814;PD/Freeware;English;3;1;Scuba Diver;Unknown;Surreal;AGA;Sport
1993;https://hol.abime.net/1947;Commercial;Italian;1;1;Simulman 05: I Rapitori Di Sogni;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/1948;Commercial;Italian;1;1;Simulman 06: Luna Park (Moon Park);Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/5703;Commercial;Italian;1;1;Simulman 07: Il Grande Freddo;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/5704;Commercial;Italian;1;1;Simulman 08: Il Giardino Virtuale;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/5705;Commercial;Italian;1;1;Simulman 09: Il Giocattolaio;Simulmondo;Unknown;ECS/OCS;Action Adventure
1994;https://hol.abime.net/5706;Commercial;Italian;1;1;Simulman 10: Pentagram;Simulmondo;Unknown;ECS/OCS;Action Adventure
1994;https://hol.abime.net/1949;Commercial;Italian;1;1;Simulman 11: Jailhouse Rock;Simulmondo;Unknown;ECS/OCS;Action Adventure
2020;https://hol.abime.net/6378;PD/Freeware;English;1;1;Smarty And The Nasty Gluttons;Unknown;Unknown;ECS/OCS;Platform
1998;https://hol.abime.net/5290;Commercial;English;1;4;Super Silly Skidmarks;Acid;Acid;AGA,ECS/OCS;Racing
1998;https://hol.abime.net/2205;Commercial;English;7;4;Super Skidmarks;Acid;Acid;AGA,ECS/OCS;Racing
1998;https://hol.abime.net/5289;Commercial;English;1;4;Super Skidmarks Plus;Acid;Acid;AGA,ECS/OCS;Racing
1998;https://hol.abime.net/5291;Commercial;English;1;4;Super Skidmarks Farm Yard Edition;Acid;Acid;AGA,ECS/OCS;Racing
1989;https://hol.abime.net/1339;Commercial;English;1;1;Temple Of The Enlightened Souls, The;Softsell;Dynamic;ECS/OCS;Racing
1993;https://hol.abime.net/1361;Commercial;Italian;1;1;Tex 02: Il Drago Rosso;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/1362;Commercial;Italian;1;1;Tex 03: Spettri (Ghosts);Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/4023;Commercial;Italian;1;1;Tex 05: Diabolico Intrigo (Diabolic Plot);Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/3387;Commercial;Italian;1;1;Tex 06: Lotta Sul Mare (Battle On The Sea);Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/4746;Commercial;Italian;1;1;Tex 07: El Morisco;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/4246;Commercial;Italian;1;1;Tex 08: Dramma Al Circo;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/4747;Commercial;Italian;1;1;Tex 09: Il Fiore Della Morte;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/3830;Commercial;Italian;1;1;Tex 10: Kento Non Perdona;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/1364;Commercial;Italian;1;1;Tex 11: Duello All'Alba;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/1365;Commercial;Italian;1;1;Tex 12: La Mano Rossa;Simulmondo;Unknown;ECS/OCS;Action Adventure
1993;https://hol.abime.net/1366;Commercial;Italian;8;1;Tex: Piombo Caldo (Burning Lead);Simulmondo;Unknown;ECS/OCS;Action Adventure
2020;;PD/Freeware;English;1;1;Tiny Bobble;Unknown;Abyss;ECS/OCS;Platform
2020;;PD/Freeware;English;1;1;Tiny Galaga;Unknown;Abyss;ECS/OCS;Shooter
2020;;PD/Freeware;English;1;1;Tiny Invaders;Unknown;Abyss;ECS/OCS;Shooter
1991;https://hol.abime.net/3604;Unknown;English;1;1;Vac-Suit Jack;Mutation;Mutation;ECS/OCS;Platform
1992;https://hol.abime.net/5758;Commercial;English;1;1;Wind In The Willows;LeisureLand (School Software);Unknown;ECS/OCS;Adventure
1989;https://hol.abime.net/2858;Commercial;English;1;1;Enigme A Oxford;Coktel;Inférence;ECS/OCS;Adventure
2021;https://hol.abime.net/6422;Reverse Engineered Modification;English,Japanese,Spanish;1;1;Metal Gear;Unknown;Unknown;ECS/OCS;Action Adventure
1994;https://hol.abime.net/2297;Commercial;English;5;4;On The Ball: League Edition;Sports (Ascon);Ascon;ECS/OCS;Sport
1994;https://hol.abime.net/2298;Commercial;English;4;4;On The Ball: League Edition AGA;Sports (Ascon);Ascon;AGA;Sport
