"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName";"AppendName"
"AddamsFamily\AddamsFamily.slave";"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"Addams Family";"1992 Ocean";"0";"A\AddamsFamily_v1.4_BETA_0419.lha";"AddamsFamily";"AddamsFamily";"0";"whdload";"524288";"800893";"AddamsFamily";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"ApidyaSpecialEdition\ApidyaSE.slave";"EmulTrap, ClearMem";"";"Apidya";"1992 Play Byte";"0";"A\ApidyaSpecialEdition_v1.1_Hack_by_Earok.lha";"ApidyaSpecialEdition";"ApidyaSpecialEdition";"0";"whdload";"524288";"2161235";"ApidyaSpecialEdition";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Area88\Area88.slave";"NoError";"";"UN Squadron";"1990 US Gold";"0";"A\Area88_v1.2_Hack_by_Earok.lha";"Area88";"Area88";"0";"whdload";"524288";"776834";"Area88";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Armalyte\Armalyte.Slave";"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"Armalyte";"1991 Thalamus";"0";"A\Armalyte_v1.3_BETA.lha";"Armalyte";"Armalyte";"0";"whdload";"524288";"1349840";"Armalyte";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"BuggyBoy\BuggyBoy.slave";"NoError, EmulTrap";"Buggy Boy (c) 1988 Elite - 1 disk.";"Buggy Boy";"1988 Elite";"0";"B\BuggyBoy_v1.3_BETA_0465.lha";"BuggyBoy";"BuggyBoy";"0";"whdload";"524288";"426063";"BuggyBoy";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Cobra\Cobra.slave";"NoError, NoKbd";"";"Cobra";"1991 Bytec";"0";"C\Cobra_v1.0.lha";"Cobra";"Cobra";"0";"whdload";"524288";"1055546";"Cobra";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"GhostBattle\GhostBattle.slave";"NoError, EmulTrap, ClearMem";"Ghost Battle by Thalion (c) 1991 - 1 disk.";"Ghost Battle";"1991 Thalion";"4096";"G\GhostBattle_v1.3.lha";"GhostBattle";"GhostBattle";"0";"whdload";"524288";"1014200";"GhostBattle";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Giana2\Giana2.slave";"Disk, NoError, EmulTrap, NoKbd";"Hard'n'Heavy (c) 1989 Reline.";"Hard";"1989 Reline";"0";"G\Giana2_v1.02_HardNHeavyHack.lha";"Giana2";"Giana2";"0";"whdload";"524288";"704627";"Giana2";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"GianaSistersSE\GianaSistersSE.slave";"NoError, EmulTrap, ClearMem";"Great Giana Sisters (c) 1988 Timewarp/Rainbow Arts.";"The Great Giana Sisters";"1988 Timewarp/Rainbow Arts";"4096";"G\GianaSistersSE_v1.2.lha";"GianaSistersSE";"GianaSistersSE";"0";"whdload";"524288";"3615411";"GianaSistersSE";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"HeroQuestDeFix\HeroQuestDeFix.slave";"Disk, NoError, EmulTrap";"";"Hero Quest & Return of the Witchlord";"1991 Gremlin Graphics Ltd.";"0";"H\HeroQuest_v1.2_German_fix_by_Viddi.lha";"HeroQuestDeFix";"HeroQuestDeFix";"0";"whdload";"524288";"1865374";"HeroQuest";"OCS/ECS";"De";"";"";"Fix";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Hybris\Hybris.slave";"NoError, ClearMem";"Hybris (c) 1988 Discovery International.";"Hybris";"1988 Discovery Software";"4096";"H\Hybris_v2.4b3_BETA_1457.lha";"Hybris";"Hybris";"0";"whdload";"524288";"736288";"Hybris";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Netherworld\Netherworld.slave";"Disk, NoError, EmulTrap, ClearMem";"Netherworld ? 1986 Hewson.";"Netherworld";"1988 Hewson";"0";"N\Netherworld_v1.5_2033_BETA.lha";"Netherworld";"Netherworld";"0";"whdload";"524288";"422157";"Netherworld";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Neutralizer2Demo\Neutralizer2Demo.slave";"NoError";"Neutralizer 2 Demo (c) 1993 Willi Baecker/InBetween";"Neutralizer 2 Demo";"1993 Willi Baecker/InBetween Software";"0";"N\Neutralizer2Demo_v0.1_BETA.lha";"Neutralizer2Demo";"Neutralizer2Demo";"0";"whdload";"524288";"86334";"Neutralizer2";"OCS/ECS";"";"";"Demo";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Snakes\Snakes.Slave";"NoError, NoKbd";"Snakes ? 1993 Victrix.";"Snakes";"1993 Victrix";"4096";"S\Snakes_v0.9.lha";"Snakes";"Snakes";"0";"whdload";"524288";"908795";"Snakes";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"StuntCarRacer\StuntCarRacer.slave";"NoError, EmulTrap";"Stunt Car Racer (c) 1989 Microstyle - 1 disk.";"Stunt Car Racer";"1989 Geoff Crammond/Microstyle";"4096";"S\StuntCarRacer_v1.4_BETA_0222.lha";"StuntCarRacer";"StuntCarRacer";"0";"whdload";"524288";"535168";"StuntCarRacer";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"StuntCarRacerTNT\StuntCarRacerTNT.slave";"NoError, EmulTrap";"Stunt Car Racer (c) 1989 Microstyle - 1 disk.";"Stunt Car Racer";"1989 Geoff Crammond/Microstyle";"4096";"S\StuntCarRacerTNT_v1.4_BETA.lha";"StuntCarRacerTNT";"StuntCarRacerTNT";"0";"whdload";"524288";"514911";"StuntCarRacerTNT";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"SuperMonacoGP\SuperMonacoGP.Slave";"NoError, EmulTrap";"Super Monaco GP (c) 1991 US Gold (1 disk).";"Super Monaco GP";"1991 US Gold";"4096";"S\SuperMonacoGP_v1.2_BETA.lha";"SuperMonacoGP";"SuperMonacoGP";"0";"whdload";"524288";"923425";"SuperMonacoGP";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"UNSquadronEarok\UNSquadronEarok.slave";"NoError";"UN Squadron by US Gold (c) 1990 - 1 disk.";"UN Squadron";"1990 US Gold";"0";"U\UNSquadron_v1.2_Hack_by_Earok.lha";"UNSquadronEarok";"UNSquadronEarok";"0";"whdload";"524288";"1128501";"UNSquadronEarok";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"UntouchablesSE\UntouchablesSE.Slave";"NoError, EmulTrap";"";"Untouchables";"1989 Ocean/Special FX";"4096";"U\UntouchablesSpecialEdition_v2.0_Hack_by_Earok.lha";"UntouchablesSE";"UntouchablesSE";"0";"whdload";"524288";"1333585";"UntouchablesSE";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"WonderboyInMonsterlandSE\WonderboyInMonsterlandSE.Slave";"NoError, NoKbd";"";"Wonderboy in Monsterland";"1989 Activision/Sega";"0";"W\WonderboyInMonsterlandSE_v1.1_Hack_by_Earok.lha";"WonderboyInMonsterlandSE";"WonderboyInMonsterlandSE";"0";"whdload";"524288";"918362";"WonderboyInMonsterlandSE";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"ZiriaxUltimateEdition\ZiriaxUltimateEdition.slave";"NoError, EmulTrap, NoKbd, ClearMem";"";"Ziriax";"1990 The Whiz Kids";"0";"Z\Ziriax_v1.3_UltimateEdition_Ross.lha";"ZiriaxUltimateEdition";"ZiriaxUltimateEdition";"0";"whdload";"524288";"912286";"ZiriaxUltimateEdition";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
