"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"MusicMadness2\MusicMadness2.Slave";"NoError, EmulTrap, ClearMem";"Music Madness 2 ? 1990 Ipec Elite.";"Music Madness 2";"1990 Ipec Elite";"0";"M\MusicMadness2_v1.0_IpecElite.lha";"MusicMadness2";"MusicMadness2";"0";"whdload";"524288";"921513";"MusicMadness2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusicMegaDemo2\MusicMegaDemo2.Slave";"NoError, EmulTrap, ClearMem";"Music Megademo 2 ? 1993 Ghostbusters.";"Music Megademo 2";"1993 Ghostbusters";"0";"M\MusicMegaDemo2_v1.0_Ghostbusters.lha";"MusicMegaDemo2";"MusicMegaDemo2";"0";"whdload";"524288";"526696";"MusicMega";"OCS/ECS";"";"";"Demo2";"";"";"A-Demos";"Demos"
"MusicParty1990\MusicParty1990.slave";"NoError, EmulTrap";"Music Party 1990 ? 1990 Cryptoburners.";"Music Party 1990";"1990 Cryptoburners";"0";"M\MusicParty1990_v1.01_Cryptoburners.lha";"MusicParty1990";"MusicParty1990";"0";"whdload";"524288";"923452";"MusicParty1990";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusicRip2\MusicRip2.Slave";"NoError, ClearMem";"Music Rip 2 ? 1989 Silicon League";"Music Rip #2";"1989 Silicon League";"4096";"M\MusicRip2_v1.0_SiliconLeague.lha";"MusicRip2";"MusicRip2";"0";"whdload";"524288";"917813";"MusicRip2";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusicRip3\MusicRip3.Slave";"NoError, ClearMem";"Music Rip 3 ? 1989 Spreadpoint";"Music Rip #3";"1989 Spreadpoint";"4096";"M\MusicRip3_v1.0_Spreadpoint.lha";"MusicRip3";"MusicRip3";"0";"whdload";"524288";"917486";"MusicRip3";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"Musics3\Musics3.Slave";"NoError, EmulTrap, ClearMem";"Musics 3 ? 1990 Enemies.";"Musics 3";"1990 Enemies";"0";"M\Musics3_v1.0_Enemies.lha";"Musics3";"Musics3";"0";"whdload";"524288";"920335";"Musics3";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusicSelector\MusicSelector.Slave";"NoError, EmulTrap, ClearMem";"Music Selector ? 1990 Deadlock.";"Music Selector";"1990 Deadlock";"0";"M\MusicSelector_v1.0_Deadlock.lha";"MusicSelector";"MusicSelector";"0";"whdload";"524288";"761442";"MusicSelector";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusicThingy\MusicThingy.slave";"NoError, ClearMem";"Music Thingy ? 1990 Exit.";"Music Thingy";"1990 Exit";"0";"M\MusicThingy_v1.01_Exit.lha";"MusicThingy";"MusicThingy";"0";"whdload";"524288";"890627";"MusicThingy";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusicWithAMessage\MusicWithAMessage.Slave";"NoError, EmulTrap, ClearMem";"Music With A Message ? 1990 Magnetic Fields.";"Music With A Message";"1990 Magnetic Fields";"0";"M\MusicWithAMessage_v1.0_MagneticFields.lha";"MusicWithAMessage";"MusicWithAMessage";"0";"whdload";"524288";"211678";"MusicWithAMessage";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
"MusiqueDisk\MusiqueDisk.Slave";"NoError, EmulTrap, ClearMem";"Sunwind ? 1991 Accession.";"Sunwind";"1991 Accession";"0";"M\MusiqueDisk_v1.0_Accession.lha";"MusiqueDisk";"MusiqueDisk";"0";"whdload";"524288";"919945";"MusiqueDisk";"OCS/ECS";"";"";"";"";"";"A-Demos";"Demos"
