"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"AdventuresOfRobinHood\AdventuresOfRobinHood.slave";"NoError, EmulTrap";"Adventures of Robin Hood by Millennium (c) 1991 - 1 disk.";"Adventures of Robin Hood";"1991 Millenium";"0";"A\AdventuresOfRobinHood_v1.1.lha";"AdventuresOfRobinHood";"AdventuresOfRobinHood";"0";"whdload";"524288";"965092";"AdventuresOfRobinHood";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AfterBurner\AfterBurner.Slave";"Disk, NoError, EmulTrap, NoDivZero";"";"After Burner";"1988 Sega Enterprises Ltd.";"0";"A\AfterBurner_v1.0_0095.lha";"AfterBurner";"AfterBurner";"0";"whdload";"524288";"1364993";"AfterBurner";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AfterBurnerNTSC\AfterBurnerNTSC.slave";"NoError, EmulTrap, ClearMem";"After Burner 2 ? 1989 Sega.";"After Burner 2";"1989 Sega";"0";"A\AfterBurner_v1.4_NTSC_0947.lha";"AfterBurnerNTSC";"AfterBurnerNTSC";"0";"whdload";"524288";"910110";"AfterBurner";"OCS/ECS";"";"";"";"NTSC";"";"A-Games";"Games"
"AfterTheWar\AfterTheWar.Slave";"NoError, EmulTrap, NoKbd";"After The War by Dinamic (c) 1989 - 1 disk.";"After The War";"1989 Dinamic";"0";"A\AfterTheWar_v1.3_1084.lha";"AfterTheWar";"AfterTheWar";"0";"whdload";"524288";"913501";"AfterTheWar";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Agony\Agony.slave";"NoError, EmulTrap";"Agony ? 1992 Psygnosis.";"Agony";"1992 Psygnosis & Art And Magic";"0";"A\Agony_v2.1_0960.lha";"Agony";"Agony";"0";"whdload";"524288";"2580117";"Agony";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AgonyNTSC\AgonyNTSC.slave";"NoError, EmulTrap";"Agony ? 1992 Psygnosis.";"Agony";"1992 Psygnosis & Art And Magic";"0";"A\Agony_v2.1_NTSC_2701.lha";"AgonyNTSC";"AgonyNTSC";"0";"whdload";"524288";"2580130";"Agony";"OCS/ECS";"";"";"";"NTSC";"";"A-Games";"Games"
"AgonyDemo\AgonyDemo.slave";"Disk, NoError, ClearMem";"Agony Demo ? 1991 Psygnosis (1 disk)";"Agony Demo";"1991 Psygnosis";"4096";"A\AgonyDemo_v1.1.lha";"AgonyDemo";"AgonyDemo";"0";"whdload";"524288";"923254";"Agony";"OCS/ECS";"";"";"Demo";"";"";"A-Games";"Games"
"Airball\Airball.slave";"Disk, NoError, EmulTrap";"Airball ? 1987-89 Microdeal.";"Airball";"1987-89 Microdeal";"0";"A\Airball_v1.1.lha";"Airball";"Airball";"0";"whdload";"524288";"826347";"Airball";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AirborneRanger\AirborneRanger.Slave";"NoError, EmulTrap, ClearMem";"Airborne Ranger ? 1989 Microprose.";"Airborne Ranger";"1989 Microprose";"0";"A\AirborneRanger_v1.1_0100.lha";"AirborneRanger";"AirborneRanger";"0";"whdload";"524288";"762319";"AirborneRanger";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AlbedoFr\AlbedoFr.slave";"NoError, EmulTrap, NoKbd, ClearMem";"Albedo ? 1988 Myriad.";"Albedo";"1988 Myriad ";"0";"A\Albedo_v1.0_Fr.lha";"AlbedoFr";"AlbedoFr";"0";"whdload";"524288";"489656";"Albedo";"OCS/ECS";"Fr";"";"";"";"";"A-Games";"Games"
"Alcatraz\Alcatraz.slave";"NoError, EmulTrap, ClearMem";"Alcatraz ? 1992 Infogrames.";"Alcatraz";"1992 Infogrames";"0";"A\Alcatraz_v1.3_2073.lha";"Alcatraz";"Alcatraz";"0";"whdload";"524288";"1836668";"Alcatraz";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
