"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"Exit2\Exit2.Slave";"NoError, EmulTrap";"Exit 2 (c) 1993 Vectors - 1 disk.";"Exit 2 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit2_v1.0_Vectors.lha";"Exit2";"Exit2";"0";"whdload";"524288";"920055";"Exit2";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Exit3\Exit3.Slave";"NoError, EmulTrap";"Exit 3 (c) 1993 Vectors - 1 disk.";"Exit 3 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit3_v1.0_Vectors.lha";"Exit3";"Exit3";"0";"whdload";"524288";"923521";"Exit3";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Exit4\Exit4.Slave";"NoError, EmulTrap";"Exit 4 (c) 1994 Vectors - 1 disk.";"Exit 4 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit4_v1.0_Vectors.lha";"Exit4";"Exit4";"0";"whdload";"524288";"924150";"Exit4";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"FourthDimension3\FourthDimension3.Slave";"NoError, ClearMem";"4th Dimension #3 1990 Cryptoburners.";"4th Dimension #3";"1990 Cryptoburners";"0";"F\FourthDimension3_v1.0_Cryptoburners.lha";"FourthDimension3";"FourthDimension3";"0";"whdload";"524288";"557438";"FourthDimension3";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"McDisk2\McDisk2.Slave";"NoError, EmulTrap, ClearMem";"McDisk #2 ? 1991 Coma.";"McDisk #2";"1991 Coma";"0";"M\McDisk2_v1.0_Coma.lha";"McDisk2";"McDisk2";"0";"whdload";"524288";"965734";"McDisk2";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"PENIS1\PENIS1.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #1 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #1";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS1_v1.0_DMOC.lha";"PENIS1";"PENIS1";"0";"whdload";"524288";"570236";"PENIS1";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"PENIS2\PENIS2.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #2 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #2";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS2_v1.0_DMOC.lha";"PENIS2";"PENIS2";"0";"whdload";"524288";"639457";"PENIS2";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"PENIS3\PENIS3.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #3 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #3";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS3_v1.0_DMOC.lha";"PENIS3";"PENIS3";"0";"whdload";"524288";"723543";"PENIS3";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Scene2Abel\Scene2Abel.Slave";"NoError";"";"The Scene #2";"Abel 1990";"0";"S\Scene2_v1.0_Abel.lha";"Scene2Abel";"Scene2Abel";"0";"whdload";"524288";"140433";"Scene2Abel";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"Scene3Decay\Scene3Decay.slave";"NoError";"";"The Scene #3";"Decay";"0";"S\Scene3_v1.0_Decay.lha";"Scene3Decay";"Scene3Decay";"0";"whdload";"524288";"105856";"Scene3Decay";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
