EntryName;QueryPatch
CC2AGA;center court 2
GianaSistersSE;the great giana sisters se
Sqrxz2;sqrxz 2 two seconds until death
MonstersOfTerrorAGA;monsters of terror
OnEscapeeAGA;on escapee
HeartOfTheAlienReduxAGA;heart of the alien
SWOS1617;sensible world of soccer 2016 2017
