"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords";"AssignName"
"NoError, EmulTrap";"460385";"0-9\3DGalax\3DGalax.Slave";"3D Galax (c) 1989 Gremlin - 1 disk.";"0";"3DGalax";"3D Galax";"1989 Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DGalax";"OCS/ECS";"";"";"";"";"";"3d galax";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1498";"1498";"Commercial";"English";"1";"1 Only";"3D Galax";"Gremlin Graphics";"0\3d-galax";"OCS";"";"3d galax 3dgalax 1498 gremlin graphics 3dgalax english";"A-Games"
"NoError";"481908";"0-9\3DPool\3DPool.Slave";"3D Pool (c) 1989 Aardvark Software/Firebird.";"0";"3DPool";"3D Pool";"1989 Aardvark Software/Firebird";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1287";"1287";"Commercial";"English";"1";"1 or 2";"3D Pool";"Firebird";"0\3d-pool";"OCS";"Sports - Snooker/Pool";"3d pool 3dpool 1287 firebird 3dpool english";"A-Games"
"NoError, ClearMem";"481908";"0-9\3DPool\3DPictures.Slave";"3D Pool (c) 1989 Aardvark Software/Firebird.";"0";"3DPool";"3D Pool (Pictures)";"1989 Aardvark Software/Firebird";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool pictures";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1287";"1287";"Commercial";"English";"1";"1 or 2";"3D Pool";"Firebird";"0\3d-pool";"OCS";"Sports - Snooker/Pool";"3d pool 3dpool 1287 firebird 3dpool english";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"1565979";"0-9\3DWorldSoccer\3DWorldSoccer.Slave";"3D World Soccer ? 1992 Simulmondo.";"0";"3DWorldSoccer";"3D World Soccer";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DWorldSoccer";"OCS/ECS";"";"";"";"";"";"3d world soccer";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1496";"1496";"Commercial";"English,German,French,Italian";"2";"";"3D World Soccer";"Simulmondo";"0\3d-world-soccer";"OCS,ECS";"Sports - Football/Soccer";"3d world soccer 3dworldsoccer 1496 simulmondo 3dworldsoccer english,german,french,italian";"A-Games"
"NoError, EmulPriv, Examine";"730208";"0-9\3DWorldTennis\3DWorldTennis.Slave";"3D World Tennis ? 1992 Simulmondo.";"0";"3DWorldTennis";"3D World Tennis";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DWorldTennis";"OCS/ECS";"";"";"";"";"";"3d world tennis";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=2130";"2130";"Commercial";"English,German,French,Italian";"1";"1 or 2, Simultaneous";"3D World Tennis";"Simulmondo";"0\3d-world-tennis";"OCS,ECS";"Sports - Tennis";"3d world tennis 3dworldtennis 2130 simulmondo 3dworldtennis english,german,french,italian";"A-Games"
"NoError, EmulPriv, Examine";"1126562";"0-9\4DSportsBoxing\4DSportsBoxing.Slave";"4D Sports Boxing ? 1991 Mindscape";"0";"4DSportsBoxing";"4D Sports Boxing";"1991 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsBoxing";"OCS/ECS";"";"";"";"";"";"4d sports boxing";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=10";"10";"Commercial";"English";"2";"1 or 2, Simultaneous";"4D Sports Boxing";"Mindscape";"0\4d-sports-boxing";"OCS,ECS";"Sports - Boxing";"4d sports boxing 4dsportsboxing 10 mindscape 4dsportsboxing english";"A-Games"
"NoError, EmulPriv, Examine";"1258913";"0-9\4DSportsDriving\4DSportsDriving.Slave";"4D Sports Driving ? 1992 Mindscape";"0";"4DSportsDriving";"4D Sports Driving";"1992 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsDriving";"OCS/ECS";"";"";"";"";"";"4d sports driving";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=11";"11";"Commercial";"English";"2";"1 Only";"4D Sports Driving";"Mindscape";"0\4d-sports-driving";"OCS,ECS";"Racing - Cars";"4d sports driving 4dsportsdriving 11 mindscape 4dsportsdriving english";"A-Games"
"NoError, EmulPriv, Examine";"1280583";"0-9\4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"4D Sports Driving ? 1992 Mindscape";"0";"4DSportsDriving&MstrTrcks";"4D Sports Driving";"1992 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsDriving";"OCS/ECS";"";"";"";"";"&MstrTrcks";"4d sports driving";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=11";"11";"Commercial";"English";"2";"1 Only";"4D Sports Driving";"Mindscape";"0\4d-sports-driving";"OCS,ECS";"Racing - Cars";"4d sports driving 4dsportsdriving 11 mindscape 4dsportsdriving english";"A-Games"
"NoError, EmulPriv, Examine";"251010";"0-9\4th&Inches\4th&Inches.Slave";"4th & Inches ? 1988 Accolade.";"0";"4th&Inches";"4th & Inches";"1988 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4th&Inches";"OCS/ECS";"";"";"";"";"";"4 th inches";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=12";"12";"Commercial";"English";"1";"1 or 2, Simultaneous";"4th & Inches";"Accolade";"0\4th-inches";"OCS";"Sports - American Football";"4 th inches 4thinches 12 accolade 4thinches english";"A-Games"
"EmulPriv, ClearMem, Examine";"734821";"0-9\4x4OffRoadRacing\4x4OffRoadRacing.Slave";"";"0";"4x4OffRoadRacing";"4x4 Off Road Racing";"1989 Epyx / U.S. Gold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4x4OffRoadRacing";"OCS/ECS";"";"";"";"";"";"4 off road racing";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=13";"13";"Commercial";"English";"1";"1 Only";"4x4 Off-Road Racing";"Epyx";"0\4x4-off-road-racing";"OCS";"Racing - Cars";"4 x 4 off road racing 4x4offroadracing 13 epyx 4x4offroadracing english";"A-Games"
"NoError, EmulTrap";"925429";"0-9\5thGear\5thGear.Slave";"5th Gear (c) 1988 Hewson - 1 disk.";"0";"5thGear";"5th Gear";"1988 Hewson";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"5thGear";"OCS/ECS";"";"";"";"";"";"5 th gear";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=14";"14";"Commercial";"English";"1";"1 Only";"5th Gear";"Hewson";"0\5th-gear";"OCS";"Racing - Miscellaneous";"5 th gear 5thgear 14 hewson 5thgear english";"A-Games"
"NoError, EmulPriv, Examine";"820377";"0-9\688AttackSub\688AttackSub.slave";"688 Attack Sub ? 1990 Electronic Arts";"0";"688AttackSub";"688 Attack Sub";"1990 Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"688AttackSub";"OCS/ECS";"";"";"";"";"";"688 attack sub";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=17";"17";"Commercial";"English";"1";"1 Only";"688 Attack Sub";"Electronic Arts";"0\688-attack-sub";"OCS";"Simulation - Marine";"688 attack sub 688attacksub 17 electronic arts 688attacksub english";"A-Games"
"NoError, ClearMem";"835860";"0-9\7Colors\7Colors.Slave";"7 Colors ? 1991 Infogrames";"0";"7Colors";"7 Colors";"1991 Infogrames";"458752";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"7Colors";"OCS/ECS";"";"";"";"";"";"7 colors";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=1500";"1500";"Commercial";"English,German,French,Italian,Spanish";"1";"1 or 2";"7 Colors";"Infogrames";"0\7-colors";"OCS,ECS";"Brain - Puzzle";"7 colors 7colors 1500 infogrames 7colors english,german,french,italian,spanish";"A-Games"
"NoError, EmulTrap, ClearMem";"577648";"0-9\9Lives\9Lives.Slave";"9 Lives (c) 1990 ARC - 1 disk.";"0";"9Lives";"9 Lives";"1990 ARC";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"9Lives";"OCS/ECS";"";"";"";"";"";"9 lives";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=16";"16";"Commercial";"English";"1";"1 Only";"9 Lives";"Arc Developments";"0\9-lives";"OCS";"Platformer - Scrolling Screen";"9 lives 9lives 16 arc developments 9lives english";"A-Games"
"NoError, EmulPriv, Examine";"1341340";"A\A10TankKiller2Disk\A10TankKiller2Disk.Slave";"A10 Tank Killer ? 1989-1991 Dynamix.";"0";"A10TankKiller2Disk";"A-10 Tank Killer";"1989-1991 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"A10TankKiller";"OCS/ECS";"";"";"";"2Disk";"";"10 tank killer";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=21";"21";"Commercial";"English";"2";"1 Only";"A-10 Tank Killer";"Dynamix";"a\a-10-tank-killer";"OCS,ECS";"Simulation - Flight";"a 10 tank killer a10tankkiller 21 dynamix a10tankkiller english";"A-Games"
"NoError, EmulPriv, Examine";"2341564";"A\A10TankKiller3Disk\A10TankKiller3Disk.Slave";"A10 Tank Killer ? 1989-1991 Dynamix.";"0";"A10TankKiller3Disk";"A-10 Tank Killer";"1989-1991 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"A10TankKiller";"OCS/ECS";"";"";"";"3Disk";"";"10 tank killer";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=21";"21";"Commercial";"English";"2";"1 Only";"A-10 Tank Killer";"Dynamix";"a\a-10-tank-killer";"OCS,ECS";"Simulation - Flight";"a 10 tank killer a10tankkiller 21 dynamix a10tankkiller english";"A-Games"
"Disk, NoError, EmulTrap";"4519401";"A\AbandonedPlaces\AbandonedPlaces.slave";"Abandoned Places ? 1992 ArtGame.";"0";"AbandonedPlaces";"";"";"1040384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AbandonedPlaces";"OCS/ECS";"";"";"";"";"";"abandoned places a time for heroes";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=25";"25";"Commercial";"English";"5";"1 Only";"Abandoned Places: A Time for Heroes";"Electronic Zoo";"a\abandoned-places-a-time-for-heroes";"OCS";"Adventure - RPG 3D";"abandoned places a time for heroes abandonedplacesatimeforheroes 25 electronic zoo abandonedplacesatimeforheroes english";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"3339108";"A\AbandonedPlaces2\AbandonedPlaces2.Slave";"Abandoned Places 2 ? 1993 ICE Ltd.";"0";"AbandonedPlaces2";"Abandoned Places 2";"1993 ICE Ltd";"1044480";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AbandonedPlaces2";"OCS/ECS";"";"";"";"";"";"abandoned places 2";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=26";"26";"Commercial";"English,German";"5";"1 Only";"Abandoned Places 2";"ICE";"a\abandoned-places-2";"OCS";"Adventure - RPG 3D";"abandoned places 2 abandonedplaces2 26 ice abandonedplaces2 english,german";"A-Games"
