"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"DinoWars\DinoWars.slave";"NoError, ClearMem";"DinoWars ?1991 DigiTek";"DinoWars";"1991 DigiTek";"4096";"DinoWars_v1.1.lha";"DinoWars";"DinoWars";"0";"whdload";"524288";"1865497";"DinoWars";"OCS/ECS";"";"";"";"";""
"FastLane\FastLane.Slave";"NoError, EmulTrap, ClearMem";"Fast Lane ? 1989 Artronic.";"Fast Lane";"1989 Artronic";"0";"FastLane_v1.0.lha";"FastLane";"FastLane";"0";"whdload";"524288";"710438";"FastLane";"OCS/ECS";"";"";"";"";""
"OsWALDOfTheIceFloes\OsWALDOfTheIceFloes.Slave";"NoError";"OsWALD Of The Ice Floes ? 1989 Centaur.";"OsWALD Of The Ice Floes";"1989 Centaur ";"0";"OsWALDOfTheIceFloes_v1.0.zip";"OsWALDOfTheIceFloes";"OsWALDOfTheIceFloes";"0";"whdload";"524288";"487448";"OsWALDOfTheIceFloes";"OCS/ECS";"";"";"";"";""
