"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1991 Airwalk";"whdload";"0";"1001 Stolen Ideas";"1001StolenIdeas";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"0";"0-9\1001StolenIdeas";"524288";"1001StolenIdeas";"AGA";"";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"1001-stolen-ideas-airwalk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\1001-stolen-ideas-airwalk\screen.jpg";"1001-stolen-ideas-airwalk"
"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"whdload";"0";"The 100 Most Remembered C64 Game-Tunes";"100MostRememberedC64Tunes";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"4096";"0-9\100MostRememberedC64Tunes";"524288";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per hakan sundell ron birk";"Best";"4.27611";"the-100-most-remembered-c64-game-tunes-sundell-birk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-100-most-remembered-c64-game-tunes-sundell-birk\screen.jpg";"the-100-most-remembered-c64-game-tunes-sundell-birk"
"NoError";"242 ? 1993 Virtual Dreams - 1 disk";"1993 Virtual Dreams";"whdload";"0";"242";"242";"911067";"0-9\242\242.Slave";"0";"0-9\242";"1048576";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams";"Exact";"100";"242-virtual-dreams";"C:\Work\First Realize\amiga-demo-database\jasdd\0\242-virtual-dreams\screen_001.png";"242-virtual-dreams"
"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"1992 Quartz";"whdload";"0";"24 Hour E Fix";"24HourEFix";"792619";"0-9\24HourEFix\24HourEFix.Slave";"0";"0-9\24HourEFix";"524288";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz";"Best";"3.497898";"24-hour-e-fix-quartz";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\24-hour-e-fix-quartz\screen.jpg";"24-hour-e-fix-quartz"
"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"1993 Remedy";"whdload";"0";"2D";"2D";"433416";"0-9\2D\2D.Slave";"0";"0-9\2D";"524288";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga";"Exact";"100";"2d-remedy-amiga";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\2d-remedy-amiga\screen.gif";"2d-remedy-amiga"
"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"1993 Scoopex";"whdload";"0";"2 Unlimited";"2Unlimited";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"0";"0-9\2Unlimited";"528384";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex";"Best";"3.392933";"scoopex-plays-2-unlimited-scoopex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\scoopex-plays-2-unlimited-scoopex\screen_001.png";"scoopex-plays-2-unlimited-scoopex"
"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"1993 Project A";"whdload";"0";"2 Unlimited - No Limit";"2UnlimitedNoLimit";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"786432";"0-9\2UnlimitedNoLimit";"524288";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project";"Best";"5.688716";"2-unlimited-no-limit-project-a";"C:\Work\First Realize\amiga-demo-database\jasdd\0\2-unlimited-no-limit-project-a\screen_001.png";"2-unlimited-no-limit-project-a"
"NoError";"3D Balls ? 1989 Avenger";"1989 Avenger";"whdload";"0";"3D Balls";"3DBalls";"100693";"0-9\3DBalls\3DBalls.Slave";"4096";"0-9\3DBalls";"524288";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger";"Exact";"100";"3d-balls-avenger";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-balls-avenger\screen.png";"3d-balls-avenger"
"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"1991 Anarchy";"whdload";"0";"3D Demo";"3DDemo";"1820203";"0-9\3DDemo\3DDemo.Slave";"0";"0-9\3DDemo";"524288";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy";"Exact";"100";"3d-demo-anarchy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-demo-anarchy\screen.png";"3d-demo-anarchy"
"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"1989 Doctor Mabuse Orgasm Crackings";"whdload";"0";"3D-Net Analyzer";"3DNetAnalyzer";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"0";"0-9\3DNetAnalyzer";"524288";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"3d-net-analyzer-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-net-analyzer-doctor-mabuse-orgasm-crackings\screen.png";"3d-net-analyzer-doctor-mabuse-orgasm-crackings"
"NoError, EmulTrap, ClearMem";"5 Yards 1991 Vision.";"1991 Vision";"whdload";"0";"5 Yards";"5Yards";"92702";"0-9\5Yards\5Yards.Slave";"0";"0-9\5Yards";"524288";"5Yards";"OCS/ECS";"";"";"";"";"";"5 yards vision";"Exact";"100";"5-yards-vision";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\5-yards-vision\screen.png";"5-yards-vision"
"NoError, EmulTrap";"8-Bit Jungle ? 2011 Unstable Label.";"2011 Unstable Label";"whdload";"0";"8-Bit Jungle";"8BitJungle";"2594214";"0-9\8BitJungle\8BitJungle.slave";"0";"0-9\8BitJungle";"1048576";"8BitJungle";"OCS/ECS";"";"";"";"";"";"8 bit jungle unstable label";"Exact";"100";"8-bit-jungle-unstable-label";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\8-bit-jungle-unstable-label\screen.jpg";"8-bit-jungle-unstable-label"
"Disk, NoError";"9 fingers ? 1990 Spaceballs.";"1990 Spaceballs";"whdload";"1024";"9 fingers";"9Fingers";"1814297";"0-9\9Fingers\9Fingers.Slave";"0";"0-9\9Fingers";"1028096";"9Fingers";"OCS/ECS";"";"";"";"";"";"9 fingers spaceballs";"Exact";"100";"9-fingers-spaceballs";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\9-fingers-spaceballs\screen.gif";"9-fingers-spaceballs"
"Disk, NoError, EmulTrap";":";"1993 Essence";"whdload";"0";"Antediluvian Sloppy Spectacle";"A.S.S";"914711";"A\A.S.S\A.S.S.slave";"524288";"A\A.S.S";"524288";"A.S.S";"OCS/ECS";"";"";"";"";"";"antediluvian sloppy spectacle essence";"Exact";"100";"antediluvian-sloppy-spectacle-essence";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\antediluvian-sloppy-spectacle-essence\screen.gif";"antediluvian-sloppy-spectacle-essence"
"Disk, NoError, Req68020, ReqAGA";"A1200 Demo ? 1993 Complex (1 disk)";"1993 Complex";"whdload";"0";"A1200 Demo";"A1200DemoAGA";"912458";"A\A1200DemoAGA\A1200DemoAGA.slave";"4096";"A\A1200DemoAGA";"2097152";"A1200";"AGA";"";"";"Demo";"";"";"official commodore france a1200 demo digital";"Exact";"100";"official-commodore-france-a1200-demo-digital";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\o\official-commodore-france-a1200-demo-digital\screen.jpg";"official-commodore-france-a1200-demo-digital"
"NoError, EmulTrap, ClearMem";"Absence of Light ? 1991 Animators.";"1991 Animators";"whdload";"0";"Absence of Light";"AbsenceOfLight";"456895";"A\AbsenceOfLight\AbsenceOfLight.Slave";"0";"A\AbsenceOfLight";"524288";"AbsenceOfLight";"OCS/ECS";"";"";"";"";"";"absence of light animators";"Exact";"100";"absence-of-light-animators";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\absence-of-light-animators\screen.gif";"absence-of-light-animators"
"NoError, EmulTrap";"Absolute Inebriation ? 1992 Virtual Dreams.";"1992 Fairlight/Virtual Dreams";"whdload";"0";"Absolute Inebriation";"AbsoluteInebriation";"1817244";"A\AbsoluteInebriation\AbsoluteInebriation.Slave";"524288";"A\AbsoluteInebriation";"524288";"AbsoluteInebriation";"OCS/ECS";"";"";"";"";"";"absolute inebriation fairlight virtual dreams";"Best";"6.041654";"absolute-inebriation-virtual-dreams-fairlight";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\absolute-inebriation-virtual-dreams-fairlight\screen.gif";"absolute-inebriation-virtual-dreams-fairlight"
"NoError, EmulTrap, ClearMem";"Absolute Swedish ? 1993 Phew! Productions.";"1993 Phew! Productions";"whdload";"0";"Absolute Swedish";"AbsoluteSwedish";"925128";"A\AbsoluteSwedish\AbsoluteSwedish.slave";"0";"A\AbsoluteSwedish";"524288";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";"";"absolute swedish phew productions";"Best";"7.766579";"absolute-swedish-1-phew-productions";"C:\Work\First Realize\amiga-demo-database\jasdd\a\absolute-swedish-1-phew-productions\screen_001.png";"absolute-swedish-1-phew-productions"
"NoError, ClearMem";"Acid in the House ? 1989 North Star & The Silents.";"1989 North Star & The Silents";"whdload";"0";"Acid in the House";"AcidInTheHouse";"921836";"A\AcidInTheHouse\AcidInTheHouse.Slave";"0";"A\AcidInTheHouse";"524288";"AcidInTheHouse";"OCS/ECS";"";"";"";"";"";"acid in the house north star silents";"Best";"2.047306";"acid-in-the-house-northstar-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\acid-in-the-house-northstar-the-silents\screen.png";"acid-in-the-house-northstar-the-silents"
"NoError, EmulTrap, ClearMem";"Acme 1991 Slideshow ? 1991 Acme.";"1991 Acme";"whdload";"0";"Acme 1991 Slideshow";"Acme1991Slideshow";"922192";"A\Acme1991Slideshow\Acme1991Slideshow.Slave";"0";"A\Acme1991Slideshow";"524288";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";"";"acme 1991 slideshow";"Best";"6.580111";"the-acme-1991-slideshow-acme-factories";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-acme-1991-slideshow-acme-factories\screen_001.png";"the-acme-1991-slideshow-acme-factories"
"NoError, EmulTrap, ClearMem";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"1990 Crusaders";"whdload";"0";"A few Tunes by Dr. Awesome & Fleshbrain";"AFewTunes";"920410";"A\AFewTunes\AFewTunes.Slave";"0";"A\AFewTunes";"524288";"AFewTunes";"OCS/ECS";"";"";"";"";"";"afew tunes few by dr awesome fleshbrain crusaders";"Best";"5.134813";"a-few-tunes-by-dr-awesome-and-fleshbrain-the-crusaders";"C:\Work\First Realize\amiga-demo-database\jasdd\a\a-few-tunes-by-dr-awesome-and-fleshbrain-the-crusaders\screen_001.PNG";"a-few-tunes-by-dr-awesome-and-fleshbrain-the-crusaders"
"NoError, EmulTrap, ClearMem";"Alchemy 1993 Rage.";"1993 Rage";"whdload";"0";"Alchemy";"Alchemy";"1822528";"A\Alchemy\Alchemy.Slave";"524288";"A\Alchemy";"524288";"Alchemy";"OCS/ECS";"";"";"";"";"";"alchemy rage";"Exact";"100";"alchemy-rage";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\alchemy-rage\screen.jpg";"alchemy-rage"
"NoError, EmulTrap, ClearMem";"Alfred - The Music Disk ? 1991 Relay.";"1991 Relay";"whdload";"0";"Alfred";"AlfredTheMusicDisk";"925593";"A\AlfredTheMusicDisk\AlfredTheMusicDisk.slave";"0";"A\AlfredTheMusicDisk";"524288";"AlfredTheMusicDisk";"OCS/ECS";"";"";"";"";"";"alfred the music disk relay";"Exact";"100";"alfred-the-music-disk-relay";"C:\Work\First Realize\amiga-demo-database\jasdd\a\alfred-the-music-disk-relay\screen_001.PNG";"alfred-the-music-disk-relay"
"NoError, EmulTrap, ClearMem";"Aloha ? 1989 Rebels.";"1989 Rebels";"whdload";"0";"Aloha";"Aloha";"90505";"A\Aloha\Aloha.Slave";"0";"A\Aloha";"524288";"Aloha";"OCS/ECS";"";"";"";"";"";"aloha rebels";"Exact";"100";"aloha-rebels";"C:\Work\First Realize\amiga-demo-database\jasdd\a\aloha-rebels\screen_001.png";"aloha-rebels"
"Disk, NoError";"Alpha and Omega ? 1991 Pure Metal Coders.";"1991 Pure Metal Coders";"whdload";"0";"Alpha and Omega";"Alpha&Omega";"907924";"A\Alpha&Omega\Alpha&Omega.Slave";"0";"A\Alpha&Omega";"524288";"Alpha&Omega";"OCS/ECS";"";"";"";"";"";"alpha omega and pure metal coders";"Best";"5.547513";"alpha-and-omega-pure-metal-coders";"C:\Work\First Realize\amiga-demo-database\jasdd\a\alpha-and-omega-pure-metal-coders\screen_001.PNG";"alpha-and-omega-pure-metal-coders"
"NoError, EmulTrap, ClearMem";"Alternative Reality 1992 Suspect.";"1992 Suspect";"whdload";"0";"Alternative Reality";"AlternativeReality";"921744";"A\AlternativeReality\AlternativeReality.Slave";"524288";"A\AlternativeReality";"524288";"AlternativeReality";"OCS/ECS";"";"";"";"";"";"alternative reality suspect";"Exact";"100";"alternative-reality-suspect";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\alternative-reality-suspect\screen.png";"alternative-reality-suspect"
"NoError, EmulTrap, ClearMem";"Amazing Tunes ? 1988 Share and Enjoy.";"1988 Share and Enjoy";"whdload";"0";"Amazing Tunes";"AmazingTunes";"741947";"A\AmazingTunes\AmazingTunes.Slave";"0";"A\AmazingTunes";"524288";"AmazingTunes";"OCS/ECS";"";"";"";"";"";"amazing tunes share and enjoy megaforce";"Exact";"100";"amazing-tunes-share-and-enjoy-megaforce";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\amazing-tunes-share-and-enjoy-megaforce\screen.png";"amazing-tunes-share-and-enjoy-megaforce"
"NoError, EmulTrap, ClearMem";"Amazing Tunes 2 ? 1990 Share and Enjoy.";"1990 Share and Enjoy";"whdload";"0";"Amazing Tunes 2";"AmazingTunes2";"2726771";"A\AmazingTunes2\AmazingTunes2.Slave";"524288";"A\AmazingTunes2";"524288";"AmazingTunes2";"OCS/ECS";"";"";"";"";"";"amazing tunes 2 share and enjoy";"Best";"5.53457";"amazing-tunes-ii-share-and-enjoy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\amazing-tunes-ii-share-and-enjoy\screen.gif";"amazing-tunes-ii-share-and-enjoy"
"NoError, EmulTrap, ClearMem";"Amplifier I ? 1991 Dimension 4.";"1991 Dimension 4";"whdload";"0";"Amplifier I";"Amplifier1";"691999";"A\Amplifier1\Amplifier1.Slave";"0";"A\Amplifier1";"524288";"Amplifier1";"OCS/ECS";"";"";"";"";"";"amplifier 1 dimension 4";"Exact";"100";"amplifier-1-dimension-4";"C:\Work\First Realize\amiga-demo-database\jasdd\a\amplifier-1-dimension-4\screen_001.PNG";"amplifier-1-dimension-4"
"NoError, EmulTrap, ClearMem";"Amplifier II ? 1991 Dimension 4.";"1991 Dimension 4";"whdload";"0";"Amplifier II";"Amplifier2";"1444096";"A\Amplifier2\Amplifier2.slave";"0";"A\Amplifier2";"524288";"Amplifier2";"OCS/ECS";"";"";"";"";"";"the amplifier 2 dimension 4";"Exact";"100";"the-amplifier-2-dimension4";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-amplifier-2-dimension4\screen.png";"the-amplifier-2-dimension4"
"NoError, ClearMem";"Analogia ? 1991 Analog";"1991 Analog";"whdload";"0";"Analogia";"Analogia";"929897";"A\Analogia\Analogia.Slave";"4096";"A\Analogia";"524288";"Analogia";"OCS/ECS";"";"";"";"";"";"analogia analog";"Exact";"100";"analogia-analog";"C:\Work\First Realize\amiga-demo-database\jasdd\a\analogia-analog\screen_001.png";"analogia-analog"
"NoError";"Anarchy - Announcetro ? 1991 The Silents & Anarchy";"1991 The Silents & Anarchy";"whdload";"0";"Anarchy - Announcetro";"AnarchyAnnouncetro";"195247";"A\AnarchyAnnouncetro\AnarchyAnnouncetro.Slave";"4096";"A\AnarchyAnnouncetro";"364544";"AnarchyAnnouncetro";"OCS/ECS";"";"";"";"";"";"anarchy announcetro the silents";"Best";"3.229087";"anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_#2";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_#2\screen.gif";"anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_-2"
"NoError, EmulTrap, ClearMem";"Anarchy Party 1991 Slideshow ? 1991 Razor 1911.";"1991 Razor 1911";"whdload";"0";"Anarchy Party 1991 Slideshow";"AnarchyParty1991Slideshow";"924973";"A\AnarchyParty1991Slideshow\AnarchyPartySlide.Slave";"0";"A\AnarchyParty1991Slideshow";"524288";"AnarchyParty1991Slideshow";"OCS/ECS";"";"";"";"";"";"anarchy party slide razor 1911";"Exact";"100";"anarchy-party-slide-razor-1911";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\anarchy-party-slide-razor-1911\screen.jpg";"anarchy-party-slide-razor-1911"
"Disk, NoError, Req68020, ReqAGA, ClearMem";"Animatunes ? 1994 NGC.";"1994 NGC";"whdload";"0";"Animatunes";"AnimatunesAGA";"1821719";"A\AnimatunesAGA\AnimatunesAGA.slave";"4096";"A\AnimatunesAGA";"2097152";"Animatunes";"AGA";"";"";"";"";"";"the animatunes";"Best";"2.511805";"the-animatunes-new-generation-crew";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-animatunes-new-generation-crew\screen.gif";"the-animatunes-new-generation-crew"
"NoError, EmulTrap, ClearMem";"Animotion ? 1990 Phenomena.";"1990 Phenomena";"whdload";"0";"Animotion";"Animotion";"219165";"A\Animotion\Animotion.slave";"0";"A\Animotion";"524288";"Animotion";"OCS/ECS";"";"";"";"";"";"animotion phenomena";"Exact";"100";"animotion-phenomena";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\animotion-phenomena\screen.png";"animotion-phenomena"
"NoError";"Announce ? 1993 Lemon.";"1993 Lemon.";"whdload";"0";"Announce";"Announce";"345406";"A\Announce\Announce.Slave";"528384";"A\Announce";"466944";"Announce";"OCS/ECS";"";"";"";"";"";"announce lemon";"Exact";"100";"announce-lemon";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\announce-lemon\screen.gif";"announce-lemon"
"NoError, EmulTrap, ClearMem";"Apocalypse 1992 Gods.";"1992 Gods";"whdload";"0";"Apocalypse";"Apocalypse";"394645";"A\Apocalypse\Apocalypse.Slave";"0";"A\Apocalypse";"524288";"Apocalypse";"OCS/ECS";"";"";"";"";"";"apocalypse gods";"Exact";"100";"apocalypse-gods";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\apocalypse-gods\screen.gif";"apocalypse-gods"
"NoError, EmulTrap, ClearMem";"Aquarium 1993 Carillon & Cyberiad.";"1993 Carillon & Cyberiad";"whdload";"0";"Aquarium";"Aquarium";"727468";"A\Aquarium\Aquarium.Slave";"524288";"A\Aquarium";"524288";"Aquarium";"OCS/ECS";"";"";"";"";"";"aquarium carillon cyberiad";"Exact";"100";"aquarium-carillon-cyberiad";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\aquarium-carillon-cyberiad\screen.jpg";"aquarium-carillon-cyberiad"
"NoError, ClearMem";"Art and Go ? 1993 Impulse.";"1993 Impulse";"whdload";"0";"Art and Go";"Art&Go";"917773";"A\Art&Go\Art&Go.Slave";"0";"A\Art&Go";"524288";"Art&Go";"OCS/ECS";"";"";"";"";"";"art go and impulse";"Best";"4.808847";"art-go-impulse-hu";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\art-go-impulse-hu\screen.jpg";"art-go-impulse-hu"
"Disk, NoError, EmulTrap";"Arte ? 1993 Sanity.";"1993 Sanity";"whdload";"0";"Arte";"Arte";"898402";"A\Arte\Arte.Slave";"499712";"A\Arte";"495616";"Arte";"OCS/ECS";"";"";"";"";"";"arte sanity";"Exact";"100";"arte-sanity";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\arte-sanity\screen.gif";"arte-sanity"
"NoError, Req68020, ReqAGA, ClearMem";"Artificial Paradise ? 1994 NGC.";"1994 NGC";"whdload";"0";"Artificial Paradise";"ArtificialParadiseAGA";"1825148";"A\ArtificialParadiseAGA\ArtificialParadiseAGA.slave";"4293160960";"A\ArtificialParadiseAGA";"2097152";"ArtificialParadise";"AGA";"";"";"";"";"";"artificial paradise aga ngc";"Best";"1.129257";"artificial-paradise-new-generation-crew";"C:\Work\First Realize\amiga-demo-database\jasdd\a\artificial-paradise-new-generation-crew\screen_001.png";"artificial-paradise-new-generation-crew"
"NoError, EmulTrap, ClearMem";"Art of Noise 3 ? 1991 Northtech.";"1991 Northtech";"whdload";"0";"Art of Noise 3";"ArtOfNoise3";"683031";"A\ArtOfNoise3\ArtOfNoise3.Slave";"0";"A\ArtOfNoise3";"524288";"ArtOfNoise3";"OCS/ECS";"";"";"";"";"";"art of noise 3 northtech";"Exact";"100";"art-of-noise-3-northtech";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\art-of-noise-3-northtech\screen.png";"art-of-noise-3-northtech"
"NoError, EmulTrap, ClearMem";"Art of Noise 4 ? 1991 Northtech.";"1991 Northtech";"whdload";"0";"Art of Noise 4";"ArtOfNoise4";"751379";"A\ArtOfNoise4\ArtOfNoise4.Slave";"0";"A\ArtOfNoise4";"524288";"ArtOfNoise4";"OCS/ECS";"";"";"";"";"";"art of noise 4 northtech";"Exact";"100";"art-of-noise-4-northtech";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\art-of-noise-4-northtech\screen.png";"art-of-noise-4-northtech"
"NoError, EmulTrap, ClearMem";"Assemblo ? 1992 World Industries.";"1992 World Industries";"whdload";"0";"Assembblo";"Assemblo";"364154";"A\Assemblo\Assemblo.Slave";"0";"A\Assemblo";"524288";"Assemblo";"OCS/ECS";"";"";"";"";"";"assemblo assembblo world industries";"Best";"3.176029";"assemblo-world-industries";"C:\Work\First Realize\amiga-demo-database\jasdd\a\assemblo-world-industries\screen_001.PNG";"assemblo-world-industries"
"NoError, EmulTrap, ClearMem";"Assembly '92 Slideshow ? 1992 World Industries.";"1992 World Industries";"whdload";"0";"Assembly ";"Assembly92Slideshow";"919999";"A\Assembly92Slideshow\Assembly92Slideshow.Slave";"0";"A\Assembly92Slideshow";"524288";"Assembly92Slideshow";"OCS/ECS";"";"";"";"";"";"assembly 92 slideshow world industries";"Best";"3.494854";"assembly-1992-slideshow-world-industries";"C:\Work\First Realize\amiga-demo-database\jasdd\a\assembly-1992-slideshow-world-industries\screen_001.PNG";"assembly-1992-slideshow-world-industries"
"NoError, EmulTrap, ClearMem";"Astrogate ? 1990 Byterapers.";"1990 Byterapers";"whdload";"0";"Astrogate";"Astrogate";"96978";"A\Astrogate\Astrogate.Slave";"0";"A\Astrogate";"524288";"Astrogate";"OCS/ECS";"";"";"";"";"";"astrogate byterapers";"Exact";"100";"astrogate-byterapers";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\astrogate-byterapers\screen.gif";"astrogate-byterapers"
"NoError, ClearMem";"Atmospherical Melodies ? 1997 Carnage.";"1997 Carnage";"whdload";"0";"Atmospherical Melodies";"AtmosphericalMelodies";"919602";"A\AtmosphericalMelodies\AtmosphericalMelodies.Slave";"0";"A\AtmosphericalMelodies";"524288";"AtmosphericalMelodies";"OCS/ECS";"";"";"";"";"";"atmospherical melodies carnage";"Exact";"100";"atmospherical-melodies-carnage";"C:\Work\First Realize\amiga-demo-database\jasdd\a\atmospherical-melodies-carnage\screen_001.png";"atmospherical-melodies-carnage"
"NoError, NoDivZero, Req68020, ReqAGA, ClearMem";"Atome ? 1996 Skarla";"1996 Skarla";"whdload";"0";"Atome";"AtomeAGA";"1244357";"A\AtomeAGA\AtomeAGA.Slave";"1224704";"A\AtomeAGA";"946176";"Atome";"AGA";"";"";"";"";"";"atome aga skarla";"Best";"3.961073";"atome-skarla";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\atome-skarla\screen.jpg";"atome-skarla"
"NoError, EmulTrap, ClearMem";"The Audience is Listening ? 1991 Taipan";"1991 Taipan";"whdload";"0";"The Audience is Listening";"AudienceIsListening";"336712";"A\AudienceIsListening\AudienceIsListening.Slave";"0";"A\AudienceIsListening";"524288";"AudienceIsListening";"OCS/ECS";"";"";"";"";"";"audience is listening the taipan";"Best";"6.307151";"the-audience-is-listening-taipan";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-audience-is-listening-taipan\screen_001.png";"the-audience-is-listening-taipan"
"NoError, EmulTrap";"Audio Dreams ? 1993 Chaos.";"1993 Chaos";"whdload";"0";"Audio Dreams";"AudioDreams";"1822380";"A\AudioDreams\AudioDreams.Slave";"0";"A\AudioDreams";"524288";"AudioDreams";"OCS/ECS";"";"";"";"";"";"audio dreams chaos";"Exact";"100";"audio-dreams-chaos";"C:\Work\First Realize\amiga-demo-database\jasdd\a\audio-dreams-chaos\screen_001.png";"audio-dreams-chaos"
"NoError, EmulTrap, ClearMem";"AudiOmega ? 1993 Rebels.";"1993 Rebels";"whdload";"0";"AudiOmega";"AudiOmega";"919453";"A\AudiOmega\AudiOmega.Slave";"0";"A\AudiOmega";"524288";"AudiOmega";"OCS/ECS";"";"";"";"";"";"audiomega rebels";"Exact";"100";"audiomega-rebels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\audiomega-rebels\screen.png";"audiomega-rebels"
"NoError, EmulTrap, ClearMem";"Audio Rhythm 2 ? 1993 Tronix.";"1993 Tronix";"whdload";"0";"Audio Rhythm 2";"AudioRhythm2";"958238";"A\AudioRhythm2\AudioRhythm2.Slave";"524288";"A\AudioRhythm2";"524288";"AudioRhythm2";"OCS/ECS";"";"";"";"";"";"audio rhythm 2 tronix";"Exact";"100";"audio-rhythm-2-tronix";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\audio-rhythm-2-tronix\screen.png";"audio-rhythm-2-tronix"
"NoError, EmulTrap, ClearMem";"Audio Violation ? 1993 Defekt.";"1993 Defekt";"whdload";"0";"Audio Violation";"AudioViolation";"819433";"A\AudioViolation\AudioViolation.slave";"524288";"A\AudioViolation";"524288";"AudioViolation";"OCS/ECS";"";"";"";"";"";"audio violation defekt";"Exact";"100";"audio-violation-defekt";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\audio-violation-defekt\screen.png";"audio-violation-defekt"
