"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"Sound Highlights 1 ? 1991 Timex.";"1991 Timex";"whdload";"0";"Sound Highlights 1";"SoundHighlights1";"919729";"S\SoundHighlights1\SoundHighlights1.Slave";"0";"S\SoundHighlights1";"524288";"SoundHighlights1";"OCS/ECS";"";"";"";"";"";"sound highlights 1 timex";"Exact";"100";"sound-highlights-1-timex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\sound-highlights-1-timex\screen_001.PNG";"sound-highlights-1-timex"
"NoError, EmulTrap, ClearMem";"Sound Mania 2 ? 1990 Pussy.";"1990 Pussy";"whdload";"0";"Sound Mania 2";"SoundMania2Pussy";"918780";"S\SoundMania2Pussy\SoundMania2Pussy.Slave";"0";"S\SoundMania2Pussy";"524288";"SoundMania2Pussy";"OCS/ECS";"";"";"";"";"";"sound mania 2 pussy";"Exact";"100";"sound-mania-2-pussy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-mania-2-pussy\screen.png";"sound-mania-2-pussy"
"NoError, EmulTrap, ClearMem";"Sound of Music 7 ? 1990 Cave.";"1990 Cave";"whdload";"0";"Sound of Music 7";"SoundOfMusic7";"922447";"S\SoundOfMusic7\SoundOfMusic7.Slave";"0";"S\SoundOfMusic7";"524288";"SoundOfMusic7";"OCS/ECS";"";"";"";"";"";"sound of music 7 cave";"Exact";"100";"sound-of-music-7-cave";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-of-music-7-cave\screen.png";"sound-of-music-7-cave"
"NoError, ClearMem";"Sound of Silents ? 1990 The Silents";"1990 The Silents";"whdload";"0";"Sound of Silents";"SoundOfSilents";"923287";"S\SoundOfSilents\SoundOfSilents.Slave";"4096";"S\SoundOfSilents";"524288";"SoundOfSilents";"OCS/ECS";"";"";"";"";"";"sound of silents the";"Best";"3.419374";"sound-of-silents-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-of-silents-the-silents\screen.jpg";"sound-of-silents-the-silents"
"NoError, EmulTrap, ClearMem";"Sound Quest 1 ? 1988 Quest.";"1988 Quest";"whdload";"0";"Sound Quest 1";"SoundQuest1";"582698";"S\SoundQuest1\SoundQuest1.Slave";"0";"S\SoundQuest1";"524288";"SoundQuest1";"OCS/ECS";"";"";"";"";"";"sound quest 1";"Best";"5.26484";"sound-quest-1-quest";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-quest-1-quest\screen.jpg";"sound-quest-1-quest"
"NoError, EmulTrap, ClearMem";"Sound Quest 2 ? 1988 Quest.";"1988 Quest";"whdload";"0";"Sound Quest 2";"SoundQuest2";"785572";"S\SoundQuest2\SoundQuest2.Slave";"0";"S\SoundQuest2";"524288";"SoundQuest2";"OCS/ECS";"";"";"";"";"";"sound quest 2 quest";"Exact";"100";"sound-quest-2-quest";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-quest-2-quest\screen.jpg";"sound-quest-2-quest"
"NoError, EmulTrap, ClearMem";"Soundrevolution 6 ? 1990 Celtic.";"1990 Celtic";"whdload";"0";"Soundrevolution 6";"Soundrevolution6";"861851";"S\Soundrevolution6\Soundrevolution6.Slave";"0";"S\Soundrevolution6";"524288";"Soundrevolution6";"OCS/ECS";"";"";"";"";"";"soundrevolution 6 celtic";"Exact";"100";"soundrevolution-6-celtic";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\soundrevolution-6-celtic\screen.jpg";"soundrevolution-6-celtic"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"SoundsOfGnome";"914724";"S\SoundsOfGnome\SoundsOfGnome.slave";"";"S\SoundsOfGnome";"524288";"SoundsOfGnome";"OCS/ECS";"";"";"";"";"";"sounds of gnome";"Best";"3.346205";"sounds-of-gnome-mahoney-kaktus-northstar";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sounds-of-gnome-mahoney-kaktus-northstar\screen.gif";"sounds-of-gnome-mahoney-kaktus-northstar"
"NoError, EmulTrap, ClearMem";"Soundtracker Injury 2 ? 1989 Electronic Artists.";"1989 Electronic Artists";"whdload";"0";"Soundtracker Injury 2";"SoundtrackerInjury2";"511543";"S\SoundtrackerInjury2\SoundtrackerInjury2.Slave";"0";"S\SoundtrackerInjury2";"524288";"SoundtrackerInjury2";"OCS/ECS";"";"";"";"";"";"soundtracker injury 2 electronic artists";"Exact";"100";"soundtracker-injury-2-electronic-artists";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\soundtracker-injury-2-electronic-artists\screen.png";"soundtracker-injury-2-electronic-artists"
"NoError, EmulTrap, ClearMem";"Soundtracker Injury 3 ? 1989 Electronic Artists.";"1989 Electronic Artists";"whdload";"0";"Soundtracker Injury 3";"SoundtrackerInjury3";"540348";"S\SoundtrackerInjury3\SoundtrackerInjury3.Slave";"0";"S\SoundtrackerInjury3";"524288";"SoundtrackerInjury3";"OCS/ECS";"";"";"";"";"";"soundtracker injury 3 electronic artists";"Exact";"100";"soundtracker-injury-3-electronic-artists";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\soundtracker-injury-3-electronic-artists\screen.png";"soundtracker-injury-3-electronic-artists"
"NoError, EmulTrap, ClearMem";"Soundtrip ? 1991 Shadows.";"1991 Shadows";"whdload";"0";"Soundtrip";"Soundtrip";"840447";"S\Soundtrip\Soundtrip.Slave";"0";"S\Soundtrip";"524288";"Soundtrip";"OCS/ECS";"";"";"";"";"";"soundtrip shadows";"Exact";"100";"soundtrip-shadows";"C:\Work\First Realize\amiga-demo-database\jasdd\s\soundtrip-shadows\screen_001.png";"soundtrip-shadows"
"Disk, NoError";"Sound Vision ? 1992 Reflect.";"1992 Reflect";"whdload";"0";"Sound Vision";"SoundVision";"909829";"S\SoundVision\SoundVision.Slave";"507904";"S\SoundVision";"524288";"SoundVision";"OCS/ECS";"";"";"";"";"";"sound vision reflect";"Exact";"100";"sound-vision-reflect";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-vision-reflect\screen.png";"sound-vision-reflect"
"NoError, EmulTrap, ClearMem";"Sozzled Somersault ? 1993 The Silents.";"1993 The Silents";"whdload";"0";"Sozzled Somersault";"SozzledSomersault";"610429";"S\SozzledSomersault\SozzledSomersault.Slave";"1048576";"S\SozzledSomersault";"524288";"SozzledSomersault";"OCS/ECS";"";"";"";"";"";"sozzled somersault the silents";"Exact";"100";"sozzled-somersault-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sozzled-somersault-the-silents\screen.gif";"sozzled-somersault-the-silents"
"NoError, EmulTrap, ClearMem";"Spaced Out Vol. 1 ? 1991 Magnetic Fields.";"1991 Magnetic Fields";"whdload";"0";"Spaced Out Vol. 1";"SpacedOutVol1";"922089";"S\SpacedOutVol1\SpacedOutVol1.Slave";"0";"S\SpacedOutVol1";"524288";"SpacedOutVol1";"OCS/ECS";"";"";"";"";"";"spaced out vol 1 magnetic fields";"Exact";"100";"spaced-out-vol-1-magnetic-fields";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\spaced-out-vol-1-magnetic-fields\screen.png";"spaced-out-vol-1-magnetic-fields"
