"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"42Issue1\42Issue1.Slave";"NoError, EmulTrap, ClearMem";"42 Issue #1 ? 1993 Talent.";"42 #1";"1993 Talent";"0";"0\42Issue1_v1.0_Talent.lha";"42Issue1";"42Issue1";"0";"whdload";"524288";"660242";"42Issue1";"OCS/ECS";"";"";"";"";"";"42 issue 1 talent";"Exact";"100";"42-issue-1-talent";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\0\42-issue-1-talent\screen.jpg";"42-issue-1-talent"
"42Issue1AGA\42Issue1AGA.Slave";"NoError, EmulTrap, ReqAGA, ClearMem";"42 Issue #1 ? 1993 Talent.";"42 #1";"1993 Talent";"0";"0\42Issue1_v1.0_Talent_AGA.lha";"42Issue1AGA";"42Issue1AGA";"0";"whdload";"524288";"1095761";"42Issue1";"AGA";"";"";"";"";"";"42 issue 1 aga talent";"Best";"4.832811";"42-issue-1-talent";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\0\42-issue-1-talent\screen.jpg";"42-issue-1-talent"
"42Issue2\42Issue2.Slave";"NoError, EmulTrap, ClearMem";"42 Issue #2 ? 1994 Talent.";"42 #2";"1994 Talent";"524288";"0\42Issue2_v1.0_Talent.lha";"42Issue2";"42Issue2";"0";"whdload";"524288";"492510";"42Issue2";"OCS/ECS";"";"";"";"";"";"42 issue 2 talent";"Exact";"100";"42-issue-2-talent";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\0\42-issue-2-talent\screen.gif";"42-issue-2-talent"
"Almighty\Almighty.Slave";"NoError, EmulTrap, ClearMem";"Almighty ? 1993 Manitou.";"Almighty Issue 1";"1993 Manitou";"524288";"A\Almight_v1.0_Manitou.lha";"Almighty";"Almighty";"0";"whdload";"524288";"924780";"Almighty";"OCS/ECS";"";"";"";"";"";"almighty issue 1 manitou";"Best";"7.845874";"the-almighty-issue-1-manitou";"D:\Work2\amiga-demo-database\pouet_new\amiga\productions\t\the-almighty-issue-1-manitou\screen.jpg";"the-almighty-issue-1-manitou"
"Compass1\Compass1.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Compass #1 ? 1994 Alcatraz.";"Compass #1";"1994 Alcatraz";"786432";"C\Compass1_v1.0_Alcatraz.lha";"Compass1";"Compass1";"0";"whdload";"524288";"796026";"Compass1";"OCS/ECS";"";"";"";"";"";"compass 1 alcatraz";"Exact";"100";"compass-1-alcatraz";"D:\Work2\amiga-demo-database\jasdd\c\compass-1-alcatraz\screen_001.png";"compass-1-alcatraz"
"CrackerJournal01\CrackerJournal01.Slave";"NoError, EmulPriv, Examine";"Cracker Journal #1 ? 1988 Alpha Flight.";"Cracker Journal #1";"1988 Alpha Flight";"319488";"C\CrackerJournal01_v1.1_AlphaFlight.lha";"CrackerJournal01";"CrackerJournal01";"0";"whdload";"479232";"183748";"CrackerJournal01";"OCS/ECS";"";"";"";"";"";"cracker journal 1 alpha flight";"Exact";"100";"cracker-journal-1-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-1-alpha-flight\screen_001.png";"cracker-journal-1-alpha-flight"
"CrackerJournal02\CrackerJournal02.Slave";"NoError, EmulPriv, Examine";"Cracker Journal #2 ? 1988 Alpha Flight.";"Cracker Journal #2";"1988 Alpha Flight";"319488";"C\CrackerJournal02_v1.0_AlphaFlight.lha";"CrackerJournal02";"CrackerJournal02";"0";"whdload";"483328";"336019";"CrackerJournal02";"OCS/ECS";"";"";"";"";"";"cracker journal 2 alpha flight";"Exact";"100";"cracker-journal-2-alpha-flight";"D:\work2\amiga-whdload-game-scripts\screenshots\Magazines Custom\cracker-journal-2-alpha-flight\screen_001.png";"cracker-journal-2-alpha-flight"
"CrackerJournal03\CrackerJournal03.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #3 1988 Alpha Flight.";"Cracker Journal #3";"1988 Alpha Flight";"0";"C\CrackerJournal03_v1.0_AlphaFlight.lha";"CrackerJournal03";"CrackerJournal03";"0";"whdload";"524288";"379147";"CrackerJournal03";"OCS/ECS";"";"";"";"";"";"cracker journal 3 alpha flight";"Exact";"100";"cracker-journal-3-alpha-flight";"D:\work2\amiga-whdload-game-scripts\screenshots\Magazines Custom\cracker-journal-3-alpha-flight\screen_001.png";"cracker-journal-3-alpha-flight"
"CrackerJournal04\CrackerJournal04.slave";"NoError, EmulTrap, EmulPriv, Examine";"Cracker Journal #4 1988 Alpha Flight.";"Cracker Journal #4";"1988 Alpha Flight";"262144";"C\CrackerJournal04_v1.01_AlphaFlight.lha";"CrackerJournal04";"CrackerJournal04";"0";"whdload";"524288";"720797";"CrackerJournal04";"OCS/ECS";"";"";"";"";"";"cracker journal 04 4 alpha flight";"Best";"3.82623";"cracker-journal-4-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-4-alpha-flight\screen_001.png";"cracker-journal-4-alpha-flight"
"CrackerJournal05\CrackerJournal05.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #5 1988 Alpha Flight.";"Cracker Journal #5";"1988 Alpha Flight";"0";"C\CrackerJournal05_v1.0_AlphaFlight.lha";"CrackerJournal05";"CrackerJournal05";"0";"whdload";"524288";"754535";"CrackerJournal05";"OCS/ECS";"";"";"";"";"";"cracker journal 05 5 alpha flight";"Best";"3.87185";"cracker-journal-5-alpha-flight";"D:\Work2\amiga-demo-database\jasdd\c\cracker-journal-5-alpha-flight\screen_001.png";"cracker-journal-5-alpha-flight"
