"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"Upstream01\Upstream01.Slave";"NoError, EmulTrap, ClearMem";"Upstream #1 ? 1993 Frogs.";"Upstream #1";"1993 Frogs";"0";"U\Upstream01_v1.0_Frogs.lha";"Upstream01";"Upstream01";"0";"whdload";"524288";"1105080";"Upstream01";"OCS/ECS";"";"";"";"";"";"upstream 01 1 frogs"
"VisualIntensity1\VisualIntensity1.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Visual Intensity #1 ? 1993 Dual Format.";"Visual Intensity #1";"1993 Dual Format";"786432";"V\VisualIntensity1_v1.0_Dual4Mat.lha";"VisualIntensity1";"VisualIntensity1";"0";"whdload";"524288";"895062";"VisualIntensity1";"OCS/ECS";"";"";"";"";"";"visual intensity 1 dual format"
"WorldCharts09\WorldCharts09.Slave";"NoError, ClearMem";"Worldcharts 9 ? 1993 The Silents.";"Worldcharts 9";"1993 The Silents";"0";"W\WorldCharts09_v1.0_Silents.lha";"WorldCharts09";"WorldCharts09";"0";"whdload";"524288";"336203";"WorldCharts09";"OCS/ECS";"";"";"";"";"";"world charts 09 worldcharts 9 the silents"
"Zine01\Zine01.Slave";"NoError, EmulTrap, ClearMem";"Zine #1 1989 Brainstorm.";"Zine #1";"1989 Brainstorm";"0";"Z\Zine01_v1.0_Brainstorm.lha";"Zine01";"Zine01";"0";"whdload";"524288";"315199";"Zine01";"OCS/ECS";"";"";"";"";"";"zine 01 1 brainstorm"
"Zine02\Zine02.Slave";"NoError, ClearMem";"Zine #2 1989 Brainstorm.";"Zine #2";"1989 Brainstorm";"0";"Z\Zine02_v1.0_Brainstorm.lha";"Zine02";"Zine02";"0";"whdload";"524288";"374408";"Zine02";"OCS/ECS";"";"";"";"";"";"zine 02 2 brainstorm"
"Zine03\Zine03.Slave";"NoError, ClearMem";"Zine #3 1990 Brainstorm.";"Zine #3";"1990 Brainstorm";"0";"Z\Zine03_v1.0_Brainstorm.lha";"Zine03";"Zine03";"0";"whdload";"524288";"369413";"Zine03";"OCS/ECS";"";"";"";"";"";"zine 03 3 brainstorm"
"Zine04\Zine04.Slave";"NoError, ClearMem";"Zine #4 1990 Brainstorm.";"Zine #4";"1990 Brainstorm";"0";"Z\Zine04_v1.0_Brainstorm.lha";"Zine04";"Zine04";"0";"whdload";"524288";"564248";"Zine04";"OCS/ECS";"";"";"";"";"";"zine 04 4 brainstorm"
"Zine05\Zine05.slave";"NoError, ClearMem";"Zine #5 1990 Brainstorm.";"Zine #5";"1990 Brainstorm";"0";"Z\Zine05_v1.0a_Brainstorm.lha";"Zine05";"Zine05";"0";"whdload";"524288";"431896";"Zine05";"OCS/ECS";"";"";"";"";"";"zine 05 5 brainstorm"
"Zine06\Zine06.slave";"NoError, ClearMem";"Zine #6 1990 Brainstorm.";"Zine #6";"1990 Brainstorm";"0";"Z\Zine06_v1.0a_Brainstorm.lha";"Zine06";"Zine06";"0";"whdload";"524288";"623064";"Zine06";"OCS/ECS";"";"";"";"";"";"zine 06 6 brainstorm"
"Zine07\Zine07.slave";"NoError, ClearMem";"Zine #7 1990 Brainstorm.";"Zine #7";"1990 Brainstorm";"0";"Z\Zine07_v1.0a_Brainstorm.lha";"Zine07";"Zine07";"0";"whdload";"524288";"762061";"Zine07";"OCS/ECS";"";"";"";"";"";"zine 07 7 brainstorm"
"Zine08\Zine08.Slave";"NoError, EmulTrap, ClearMem";"Zine #8 1991 Brainstorm.";"Zine #8";"1991 Brainstorm";"0";"Z\Zine08_v1.0_Brainstorm.lha";"Zine08";"Zine08";"0";"whdload";"524288";"826086";"Zine08";"OCS/ECS";"";"";"";"";"";"zine 08 8 brainstorm"
"Zine09\Zine09.Slave";"NoError, ClearMem";"Zine #9 1991 Brainstorm.";"Zine #9";"1991 Brainstorm";"0";"Z\Zine09_v1.0_Brainstorm.lha";"Zine09";"Zine09";"0";"whdload";"524288";"776279";"Zine09";"OCS/ECS";"";"";"";"";"";"zine 09 9 brainstorm"
"Zine10\Zine10.Slave";"NoError, EmulTrap, ClearMem";"Zine #10 1991 Brainstorm.";"Zine #10";"1991 Brainstorm";"0";"Z\Zine10_v1.0_Brainstorm.lha";"Zine10";"Zine10";"0";"whdload";"524288";"712645";"Zine10";"OCS/ECS";"";"";"";"";"";"zine 10 brainstorm"
