"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"DISC8\DISC8.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #8 ? 1991 Level 4.";"D.I.S.C #8";"Level 4";"262144";"D\DISC8_v1.0_Level4.lha";"DISC8";"DISC8";"0";"whdload";"524288";"262124";"DISC8";"OCS/ECS";"";"";"";"";"";"disc 8 1 level 4"
"Exit1\Exit1.Slave";"NoError, EmulTrap";"Exit 1 (c) 1993 Vectors - 1 disk.";"Exit 1 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit1_v1.0_Vectors.lha";"Exit1";"Exit1";"0";"whdload";"524288";"858406";"Exit1";"OCS/ECS";"";"";"";"";"";"exit 1 vectors"
"Exit2\Exit2.Slave";"NoError, EmulTrap";"Exit 2 (c) 1993 Vectors - 1 disk.";"Exit 2 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit2_v1.0_Vectors.lha";"Exit2";"Exit2";"0";"whdload";"524288";"920055";"Exit2";"OCS/ECS";"";"";"";"";"";"exit 2 vectors"
"Exit3\Exit3.Slave";"NoError, EmulTrap";"Exit 3 (c) 1993 Vectors - 1 disk.";"Exit 3 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit3_v1.0_Vectors.lha";"Exit3";"Exit3";"0";"whdload";"524288";"923521";"Exit3";"OCS/ECS";"";"";"";"";"";"exit 3 czech disk mag vectors"
"Exit4\Exit4.Slave";"NoError, EmulTrap";"Exit 4 (c) 1994 Vectors - 1 disk.";"Exit 4 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit4_v1.0_Vectors.lha";"Exit4";"Exit4";"0";"whdload";"524288";"924150";"Exit4";"OCS/ECS";"";"";"";"";"";"exit 4 czech disk mag vectors"
"FourthDimension1\FourthDimension1.Slave";"NoError, EmulPriv, Examine";"4th Dimension #1 ? 1990 Crptoburners.";"4th Dimension #1";"Cryptoburners";"262144";"F\FourthDimension1_v1.0_Cryptoburners.lha";"FourthDimension1";"FourthDimension1";"0";"whdload";"524288";"813985";"FourthDimension1";"OCS/ECS";"";"";"";"";"";"4th dimension 1 cryptoburners"
"FourthDimension2\FourthDimension2.Slave";"NoError, EmulPriv, Examine";"4th Dimesnion #2 ? 1990 Cryptoburners.";"4th Dimension #2";"1990 Cryptoburners";"262144";"F\FourthDimension2_v1.0_Cryptoburners.lha";"FourthDimension2";"FourthDimension2";"0";"whdload";"524288";"757424";"FourthDimension2";"OCS/ECS";"";"";"";"";"";"4th dimension 2 cryptoburners"
"FourthDimension3\FourthDimension3.Slave";"NoError, ClearMem";"4th Dimension #3 1990 Cryptoburners.";"4th Dimension #3";"1990 Cryptoburners";"0";"F\FourthDimension3_v1.0_Cryptoburners.lha";"FourthDimension3";"FourthDimension3";"0";"whdload";"524288";"557438";"FourthDimension3";"OCS/ECS";"";"";"";"";"";"fourth dimension 3 4 th cryptoburners"
"Grapevine05\Grapevine05.Slave";"NoError, EmulTrap, ClearMem";"Grapevine #5 1991 LSD.";"Grapevine #5";"1991 LSD";"524288";"G\Grapevine05_v1.0_LSD.lha";"Grapevine05";"Grapevine05";"0";"whdload";"524288";"648478";"Grapevine05";"OCS/ECS";"";"";"";"";"";"grapevine 05 5 lsd"
"Grapevine06\Grapevine06.Slave";"NoError, EmulTrap, ClearMem";"Grapevine #6 1991 LSD.";"Grapevine #6";"1991 LSD";"524288";"G\Grapevine06_v1.0_LSD.lha";"Grapevine06";"Grapevine06";"0";"whdload";"524288";"508120";"Grapevine06";"OCS/ECS";"";"";"";"";"";"grapevine 06 6 lsd"
"Grapevine07\Grapevine07.Slave";"NoError, EmulTrap, ClearMem";"Grapevine #7 1991 LSD.";"Grapevine #7";"1991 LSD";"524288";"G\Grapevine07_v1.0_LSD.lha";"Grapevine07";"Grapevine07";"0";"whdload";"524288";"900740";"Grapevine07";"OCS/ECS";"";"";"";"";"";"grapevine 07 7 lsd"
"Grapevine08\Grapevine08.Slave";"NoError, EmulPriv, Examine";"Grapevine #8 1992 LSD.";"Grapevine #8";"1992 LSD";"786432";"G\Grapevine08_v1.0_LSD.lha";"Grapevine08";"Grapevine08";"0";"whdload";"524288";"1033060";"Grapevine08";"OCS/ECS";"";"";"";"";"";"grapevine 08 8 lsd"
"Grapevine09\Grapevine09.Slave";"NoError, EmulPriv, Examine";"Grapevine #9 1992 LSD.";"Grapevine #9";"1992 LSD";"786432";"G\Grapevine09_v1.0_LSD.lha";"Grapevine09";"Grapevine09";"0";"whdload";"524288";"1990173";"Grapevine09";"OCS/ECS";"";"";"";"";"";"grapevine 09 9 lsd"
"Grapevine10\Grapevine10.Slave";"NoError, EmulPriv, Examine";"Grapevine #10 1992 LSD.";"Grapevine #10";"1992 LSD";"786432";"G\Grapevine10_v1.0_LSD.lha";"Grapevine10";"Grapevine10";"0";"whdload";"524288";"3126106";"Grapevine10";"OCS/ECS";"";"";"";"";"";"grapevine 10 lsd"
"Grapevine11\Grapevine11.Slave";"NoError, EmulPriv, Examine";"Grapevine #11 1992 LSD.";"Grapevine #11";"1992 LSD";"786432";"G\Grapevine11_v1.0_LSD.lha";"Grapevine11";"Grapevine11";"0";"whdload";"524288";"1952802";"Grapevine11";"OCS/ECS";"";"";"";"";"";"grapevine 11 lsd"
"Grapevine12\Grapevine12.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #12 1992 LSD.";"Grapevine #12";"1992 LSD";"786432";"G\Grapevine12_v1.0_LSD.lha";"Grapevine12";"Grapevine12";"0";"whdload";"524288";"2826710";"Grapevine12";"OCS/ECS";"";"";"";"";"";"grapevine 12 lsd"
"Grapevine13\Grapevine13.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #13 1992 LSD.";"Grapevine #13";"1992 LSD";"786432";"G\Grapevine13_v1.0_LSD.lha";"Grapevine13";"Grapevine13";"0";"whdload";"524288";"2726788";"Grapevine13";"OCS/ECS";"";"";"";"";"";"grapevine 13 lsd"
"Grapevine14\Grapevine14.slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #14 1993 LSD.";"Grapevine #14";"1993 LSD";"1310720";"G\Grapevine14_v1.01_LSD.lha";"Grapevine14";"Grapevine14";"0";"whdload";"524288";"2736617";"Grapevine14";"OCS/ECS";"";"";"";"";"";"grapevine 14 lsd"
"Grapevine15\Grapevine15.slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #15 1993 LSD.";"Grapevine #15";"1993 LSD";"1310720";"G\Grapevine15_v1.01_LSD.lha";"Grapevine15";"Grapevine15";"0";"whdload";"524288";"2696862";"Grapevine15";"OCS/ECS";"";"";"";"";"";"grapevine 15 lsd"
"Grapevine16\Grapevine16.slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #16 1993 LSD.";"Grapevine #16";"1993 LSD";"1310720";"G\Grapevine16_v1.02_LSD.lha";"Grapevine16";"Grapevine16";"0";"whdload";"524288";"2760038";"Grapevine16";"OCS/ECS";"";"";"";"";"";"grapevine 16 lsd"
"Grapevine17\Grapevine17.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #17 1993 LSD.";"Grapevine #17";"1993 LSD";"786432";"G\Grapevine17_v1.0_LSD.lha";"Grapevine17";"Grapevine17";"0";"whdload";"524288";"2762029";"Grapevine17";"OCS/ECS";"";"";"";"";"";"grapevine 17 lsd"
"Grapevine18\Grapevine18.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #18 1993 LSD.";"Grapevine #18";"1993 LSD";"786432";"G\Grapevine18_v1.0_LSD.lha";"Grapevine18";"Grapevine18";"0";"whdload";"524288";"2742494";"Grapevine18";"OCS/ECS";"";"";"";"";"";"grapevine 18 lsd"
"Grapevine19\Grapevine19.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #19 1994 LSD.";"Grapevine #19";"1994 LSD";"786432";"G\Grapevine19_v1.0_LSD.lha";"Grapevine19";"Grapevine19";"0";"whdload";"524288";"2781269";"Grapevine19";"OCS/ECS";"";"";"";"";"";"grapevine 19 lsd"
"Grapevine20\Grapevine20.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #20 1994 LSD.";"Grapevine #20";"1994 LSD";"786432";"G\Grapevine20_v1.0_LSD.lha";"Grapevine20";"Grapevine20";"0";"whdload";"524288";"1928559";"Grapevine20";"OCS/ECS";"";"";"";"";"";"grapevine 20 lsd"
"Grapevine21\Grapevine21.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #21 1995 LSD.";"Grapevine #21";"1995 LSD";"786432";"G\Grapevine21_v1.0_LSD.lha";"Grapevine21";"Grapevine21";"0";"whdload";"524288";"1683165";"Grapevine21";"OCS/ECS";"";"";"";"";"";"grapevine 21 lsd"
"Ice01\Ice01.Slave";"NoError, EmulPriv, Examine";"ICE #1 ? 1990 Cytax.";"ICE #1";"1990 Cytax";"786432";"I\Ice1_v1.0_Cytax.lha";"Ice01";"Ice01";"0";"whdload";"524288";"389471";"Ice01";"OCS/ECS";"";"";"";"";"";"ice 1 intro cytax"
"Ice02\Ice02.slave";"NoError, EmulPriv, Examine";"ICE #2 ? 1991 Cytax.";"ICE #2";"1991 Cytax";"262144";"I\Ice2_v1.02_Cytax.lha";"Ice02";"Ice02";"0";"whdload";"524288";"468532";"Ice02";"OCS/ECS";"";"";"";"";"";"ice 2 intro cytax"
"Ice3\Ice3.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #3 ? 1991 Cytax.";"I.C.E. #3";"Cytax";"262144";"I\Ice3_v1.0_Cytax.lha";"Ice3";"Ice3";"0";"whdload";"524288";"635381";"Ice3";"OCS/ECS";"";"";"";"";"";"ice 3 1 cytax"
"Ice4\Ice4.Slave";"NoError, EmulPriv, Examine";"I.C.E. #4 ? 1991 Cytax.";"I.C.E. Issue #4";"1991 Cytax";"262144";"I\Ice4_v1.0_Cytax.lha";"Ice4";"Ice4";"0";"whdload";"524288";"543715";"Ice4";"OCS/ECS";"";"";"";"";"";"ice 4 1 issue cytax"
"Ice5\Ice5.Slave";"NoError, EmulPriv, Examine";"I.C.E. #5 ? 1991 Cytax.";"I.C.E. Issue #5";"1991 Cytax";"786432";"I\Ice5_v1.0_Cytax.lha";"Ice5";"Ice5";"0";"whdload";"524288";"649308";"Ice5";"OCS/ECS";"";"";"";"";"";"ice 5 1 issue cytax"
"Ice6\Ice6.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #6 ? 1991 Cytax.";"I.C.E. #6";"Cytax";"786432";"I\Ice6_v1.0_Cytax.lha";"Ice6";"Ice6";"0";"whdload";"524288";"888757";"Ice6";"OCS/ECS";"";"";"";"";"";"ice 6 1 cytax"
"Ice7\Ice7.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #7 ? 1992 Cytax.";"I.C.E. #7";"1992 Cytax";"262144";"I\Ice7_v1.0_Cytax.lha";"Ice7";"Ice7";"0";"whdload";"524288";"1189502";"Ice7";"OCS/ECS";"";"";"";"";"";"ice 7 1 cytax"
"Ice8\Ice8.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #8 ? 1992 Cytax.";"I.C.E. #8";"1992 Cytax";"786432";"I\Ice8_v1.0_Cytax.lha";"Ice8";"Ice8";"0";"whdload";"524288";"745287";"Ice8";"OCS/ECS";"";"";"";"";"";"ice 8 1 cytax"
"McDisk1\McDisk1.Slave";"NoError, EmulTrap, ClearMem";"McDisk #1 ? 1991 Coma.";"McDisk #1";"1991 Coma";"524288";"M\McDisk1_v1.0_Coma.lha";"McDisk1";"McDisk1";"0";"whdload";"524288";"975023";"McDisk1";"OCS/ECS";"";"";"";"";"";"mc disk 1 coma"
"McDisk2\McDisk2.Slave";"NoError, EmulTrap, ClearMem";"McDisk #2 ? 1991 Coma.";"McDisk #2";"1991 Coma";"0";"M\McDisk2_v1.0_Coma.lha";"McDisk2";"McDisk2";"0";"whdload";"524288";"965734";"McDisk2";"OCS/ECS";"";"";"";"";"";"mc disk 2 coma"
"McDisk3\McDisk3.Slave";"NoError, EmulTrap, ClearMem";"McDisk #3 ? 1992 Coma.";"McDisk #3";"1992 Coma";"524288";"M\McDisk3_v1.0_Coma.lha";"McDisk3";"McDisk3";"0";"whdload";"524288";"1085117";"McDisk3";"OCS/ECS";"";"";"";"";"";"mc disk 3 coma"
"PENIS1\PENIS1.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #1 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #1";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS1_v1.0_DMOC.lha";"PENIS1";"PENIS1";"0";"whdload";"524288";"570236";"PENIS1";"OCS/ECS";"";"";"";"";"";"penis 1 doctor mabuse orgasm crackings"
"PENIS2\PENIS2.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #2 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #2";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS2_v1.0_DMOC.lha";"PENIS2";"PENIS2";"0";"whdload";"524288";"639457";"PENIS2";"OCS/ECS";"";"";"";"";"";"penis 2 doctor mabuse orgasm crackings"
