"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1989";"http://www.lemonamiga.com/games/details.php?id=965";"965";"Commercial";"English";"1";"1 Only";"Sim City";"Infogrames";"s\sim-city";"OCS";"Strategy - Miscellaneous"
"1991";"http://www.lemonamiga.com/games/details.php?id=3241";"3241";"Commercial";"English";;"1 Only";"Sim City";"Infogrames";"s\sim-city_#2";"CDTV";"Strategy - Miscellaneous"
"1994";"http://www.lemonamiga.com/games/details.php?id=1188";"1188";"Commercial";"English";"3";"1 Only";"Sim City 2000";"Maxis";"s\sim-city-2000-aga";"AGA";"Strategy - Miscellaneous"
"1992";"http://www.lemonamiga.com/games/details.php?id=1207";"1207";"Commercial";"English";"3";"1 Only";"SimAnt";"Ocean";"s\simant";"OCS,ECS";"Simulation - Miscellaneous"
"1992";"http://www.lemonamiga.com/games/details.php?id=1815";"1815";"Commercial";"English";"2";"1 Only";"SimEarth";"Ocean";"s\simearth";"OCS,ECS";"Simulation - Miscellaneous"
"1993";"http://www.lemonamiga.com/games/details.php?id=1817";"1817";"Commercial";"English";"4";"1 Only";"SimLife";"Mindscape";"s\simlife-aga";"AGA";"Simulation - Miscellaneous"
"1993";"http://www.lemonamiga.com/games/details.php?id=1786";"1786";"Commercial";"English";"9";"1 Only";"Simon the Sorcerer";"Blittersoft";"s\simon-the-sorcerer-aga";"AGA";"Adventure - Point and Click"
"1994";"http://www.lemonamiga.com/games/details.php?id=575";"575";"Commercial";"English";;"1 Only";"Simon the Sorcerer";"Blittersoft";"s\simon-the-sorcerer-cd32";"CD32";"Adventure - Point and Click"
"2000";"http://www.lemonamiga.com/games/details.php?id=2348";"2348";"Commercial";"English,German,French,Italian";;"1 Only";"Simon the Sorcerer II: the Lion, the Wizard and the Wardrobe";"Epic Interactive";"s\simon-the-sorcerer-ii-the-lion-the-wizard-and-the-wardrobe-aga";"AGA,RTG,PPC,Pegasos,CD-ROM";"Adventure - Point and Click"
"1991";"http://www.lemonamiga.com/games/details.php?id=124";"124";"Commercial";"English";"2";"1 Only";"Simpsons, The: Bart vs. the Space Mutants";"Ocean";"s\simpsons-the-bart-vs-the-space-mutants";"OCS,ECS";"Arcade - Miscellaneous"
"1993";"http://www.lemonamiga.com/games/details.php?id=125";"125";"Commercial";"English";"1";"1 Only";"Simpsons, The: Bart vs. the World";"Virgin Games";"s\simpsons-the-bart-vs-the-world";"OCS,ECS";"Arcade - Miscellaneous"
"1990";"http://www.lemonamiga.com/games/details.php?id=966";"966";"Commercial";"English";"1";"1 Only";"Simulcra";"MicroStyle";"s\simulcra";"OCS";
"1987";"http://www.lemonamiga.com/games/details.php?id=967";"967";"Commercial";"English";"2";"1 Only";"Sinbad and the Throne of the Falcon";"Cinemaware";"s\sinbad-and-the-throne-of-the-falcon";"OCS";"Adventure - Miscellaneous"
"1993";"http://www.lemonamiga.com/games/details.php?id=968";"968";"Commercial";"English";"2";"1 Only";"Sink or Swim";"Zeppelin Games";"s\sink-or-swim";"OCS,ECS";"Platformer - Scrolling Screen"
