Name;Patterns
Generic Savegame for multiple games;/savegame
Academy Shipdata;/shipdata
Bubble Bobble HighScore;/BubbleBobble.highs
Dune 2 Savegames;/data/_save
Rick Dangerous Highscore;/RickDangerous.hi
