Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1987;http://www.lemonamiga.com/games/details.php?id=3460;s\space-baller;Commercial;1;1 Only;Space Baller;International Software K?ln;English;OCS;Arcade - Miscellaneous;Space Baller International Software K?ln
1986;http://www.lemonamiga.com/games/details.php?id=2548;s\space-battle;Commercial;1;1 or 2, Simultaneous;Space Battle;Diamond Software;English;OCS;;Space Battle Diamond Software
1992;http://www.lemonamiga.com/games/details.php?id=980;s\space-crusade;Commercial;2;1 Only;Space Crusade;Gremlin Graphics;English,German,French,Italian;OCS,ECS;Adventure - Miscellaneous;Space Crusade Gremlin Graphics
1987;http://www.lemonamiga.com/games/details.php?id=2457;s\space-fight;Commercial;1;1 or 2, Simultaneous;Space Fight;Softgang;English;OCS;;Space Fight Softgang
1992;http://www.lemonamiga.com/games/details.php?id=1333;s\space-gun;Commercial;2;1 or 2, Simultaneous;Space Gun;Ocean;English;OCS,ECS;;Space Gun Ocean
1989;http://www.lemonamiga.com/games/details.php?id=1468;s\space-harrier;Commercial;1;1 Only;Space Harrier;Elite;English;OCS;;Space Harrier Elite
1989;http://www.lemonamiga.com/games/details.php?id=925;s\space-harrier-ii;Commercial;1;1 Only;Space Harrier II;Grandslam;English;OCS;;Space Harrier II Grandslam
1989;http://www.lemonamiga.com/games/details.php?id=2965;s\space-harrier-return-to-the-fantasy-zone;Commercial;1;1 Only;Space Harrier: Return to the Fantasy Zone;Elite;English;OCS;;Space Harrier: Return to the Fantasy Zone Elite
1993;http://www.lemonamiga.com/games/details.php?id=1334;s\space-hulk;Commercial;3;1 Only;Space Hulk;Electronic Arts;English;OCS,ECS;Strategy - Miscellaneous;Space Hulk Electronic Arts
1992;http://www.lemonamiga.com/games/details.php?id=2540;s\space-invaders-ii-the-attack-of-the-green-smelly-aliens-from-planet-27b-6;Coverdisk;1;1 Only;Space Invaders II: The Attack of the Green Smelly Aliens from Planet 27b/6;Amiga Power;English;OCS,ECS;;Space Invaders II: The Attack of the Green Smelly Aliens from Planet 27b/6 Amiga Power
1992;http://www.lemonamiga.com/games/details.php?id=3477;s\space-max;Commercial;3;1 Only;Space MAX;Starbyte Software;German;OCS,ECS;Simulation - Space;Space MAX Starbyte Software
1988;http://www.lemonamiga.com/games/details.php?id=1335;s\space-quest-ii-vohauls-revenge;Commercial;1;1 Only;Space Quest II: Vohaul's Revenge;Sierra On-Line;English;OCS;Adventure - Animated Graphics/Text;Space Quest II: Vohaul's Revenge Sierra On-Line
1989;http://www.lemonamiga.com/games/details.php?id=1336;s\space-quest-iii-the-pirates-of-pestulon;Commercial;4;1 Only;Space Quest III: The Pirates of Pestulon;Sierra On-Line;English;OCS;Adventure - Animated Graphics/Text;Space Quest III: The Pirates of Pestulon Sierra On-Line
1991;http://www.lemonamiga.com/games/details.php?id=2038;s\space-quest-iv-roger-wilco-and-the-time-rippers;Commercial;7;1 Only;Space Quest IV: Roger Wilco and the Time Rippers;Sierra On-Line;English;OCS,ECS;Adventure - Point and Click;Space Quest IV: Roger Wilco and the Time Rippers Sierra On-Line
1991;http://www.lemonamiga.com/games/details.php?id=2037;s\space-quest-the-sarien-encounter;Commercial;6;1 Only;Space Quest: The Sarien Encounter;Sierra On-Line;English;OCS,ECS;Adventure - Point and Click;Space Quest: The Sarien Encounter Sierra On-Line
1987;http://www.lemonamiga.com/games/details.php?id=981;s\space-quest-the-sarien-encounter_#2;Commercial;6;1 Only;Space Quest: The Sarien Encounter;Sierra On-Line;English;OCS;Adventure - Animated Graphics/Text;Space Quest: The Sarien Encounter Sierra On-Line
1988;http://www.lemonamiga.com/games/details.php?id=2782;s\space-racer;Commercial;1;1 Only;Space Racer;Loriciel;English;OCS;Racing - Miscellaneous;Space Racer Loriciel
1987;http://www.lemonamiga.com/games/details.php?id=1337;s\space-ranger;Commercial;1;1 or 2;Space Ranger;Mastertronic;English;OCS;;Space Ranger Mastertronic
1989;http://www.lemonamiga.com/games/details.php?id=1469;s\space-rogue;Commercial;1;1 Only;Space Rogue;Origin Systems;English;OCS;Simulation - Space;Space Rogue Origin Systems
1994;http://www.lemonamiga.com/games/details.php?id=2039;s\space-taxi-3;Public Domain/Freeware;1;1 to 4, Simultaneous;Space Taxi 3;(unknown);English;OCS,ECS;Arcade - Miscellaneous;Space Taxi 3 (unknown)
