Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1990;http://www.lemonamiga.com/games/details.php?id=2801;0\1-across-2-down;Licenceware;2;1 Only;1 Across 2 Down;Amiganuts United;English;OCS;Brain - Crossword;1 Across 2 Down Amiganuts United
1993;http://www.lemonamiga.com/games/details.php?id=3579;0\10-out-of-10-dinosaurs;Commercial;2;1 to 4;10 out of 10: Dinosaurs;10 out of 10;English;OCS,ECS;Educational - Miscellaneous;10 out of 10: Dinosaurs 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3580;0\10-out-of-10-english;Commercial;1;1 to 4;10 out of 10: English;10 out of 10;English;OCS,ECS;Educational - Language;10 out of 10: English 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3581;0\10-out-of-10-junior-essentials;Commercial;2;1 to 4;10 out of 10: Junior Essentials;10 out of 10;English;OCS,ECS;Educational - Children;10 out of 10: Junior Essentials 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3582;0\10-out-of-10-maths-algebra;Commercial;2;1 to 4;10 out of 10: Maths Algebra;10 out of 10;English;OCS,ECS;Educational - Math;10 out of 10: Maths Algebra 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3583;0\10-out-of-10-maths-number;Commercial;1;1 to 4;10 out of 10: Maths Number;10 out of 10;English;OCS,ECS;Educational - Math;10 out of 10: Maths Number 10 out of 10
1991;http://www.lemonamiga.com/games/details.php?id=18;0\1000-miglia-1927-1933-volume-1;Commercial;1;1 Only;1000 Miglia: 1927-1933 Volume 1;Simulmondo;English,Italian;OCS;Racing - Cars;1000 Miglia: 1927-1933 Volume 1 Simulmondo
1990;http://www.lemonamiga.com/games/details.php?id=1501;0\1000cc-turbo;Commercial;1;1 Only;1000cc Turbo;Impressions;English;OCS,ECS;Racing - Motorcycle;1000cc Turbo Impressions
1996;http://www.lemonamiga.com/games/details.php?id=3649;0\1497-five-years-after;;1;1 to 4;1497: five years after;(unknown);English;OCS,ECS;Strategy - Trading;1497: five years after (unknown)
1992;http://www.lemonamiga.com/games/details.php?id=2878;0\1869-erlebte-geschichte-teil-i-aga;Commercial;4;1 to 4;1869: Erlebte Geschichte Teil I;Flair Software;German;AGA;Strategy - Trading;1869: Erlebte Geschichte Teil I Flair Software
1992;http://www.lemonamiga.com/games/details.php?id=219;0\1869-history-experience-part-i-aga;Commercial;4;1 to 4;1869: History Experience Part I;Flair Software;English;AGA;Strategy - Trading;1869: History Experience Part I Flair Software
1993;http://www.lemonamiga.com/games/details.php?id=3697;0\18th-hole;Public Domain/Freeware;;2;18th hole;(unknown);English;OCS,ECS;Sports - Golf;18th hole (unknown)
1989;http://www.lemonamiga.com/games/details.php?id=19;0\1943-the-battle-of-midway;Commercial;1;1 or 2, Simultaneous;1943: The Battle of Midway;Go!;English;OCS;;1943: The Battle of Midway Go!
1997;http://www.lemonamiga.com/games/details.php?id=3698;0\1945-remix-97;Public Domain/Freeware;;2;1945 Remix' 97;(unknown);English;OCS,ECS;;1945 Remix' 97 (unknown)
1993;http://www.lemonamiga.com/games/details.php?id=1502;0\1990-die-1993er-edition;Commercial;;;1990: Die 1993'er Edition;APC&TCP;German;OCS,ECS;Strategy - Miscellaneous;1990: Die 1993'er Edition APC&TCP
1991;http://www.lemonamiga.com/games/details.php?id=2;0\1st-division-manager;Commercial;1;1 Only;1st Division Manager;Codemasters;English;OCS,ECS;Sports - Football/Soccer;1st Division Manager Codemasters
1989;http://www.lemonamiga.com/games/details.php?id=2867;0\20000-leagues-under-the-sea;Commercial;1;1 Only;20000 Leagues under the Sea;Coktel Vision;English;OCS;Adventure - Point and Click;20000 Leagues under the Sea Coktel Vision
1988;http://www.lemonamiga.com/games/details.php?id=3313;0\20000-meilen-unter-dem-meer;Commercial;1;1 Only;20000 Meilen unter dem Meer;Coktel Vision;German;OCS;Adventure - Point and Click;20000 Meilen unter dem Meer Coktel Vision
1990;http://www.lemonamiga.com/games/details.php?id=20;0\3001-oconnors-fight;Commercial;1;1 Only;3001: O'Connors Fight;Rainbow Arts;English;OCS;Strategy - Miscellaneous;3001: O'Connors Fight Rainbow Arts
1991;http://www.lemonamiga.com/games/details.php?id=1497;0\3d-construction-kit;Commercial;1;1 Only;3D Construction Kit;Domark;English,German,French,Italian;OCS,ECS;Adventure - Construction Kit;3D Construction Kit Domark
1992;http://www.lemonamiga.com/games/details.php?id=1715;0\3d-construction-kit-ii;Commercial;2;1 Only;3D Construction Kit II;Domark;English;OCS,ECS;Adventure - Construction Kit;3D Construction Kit II Domark
1988;http://www.lemonamiga.com/games/details.php?id=1498;0\3d-galax;Commercial;1;1 Only;3D Galax;Gremlin Graphics;English;OCS;;3D Galax Gremlin Graphics
1989;http://www.lemonamiga.com/games/details.php?id=1287;0\3d-pool;Commercial;1;1 or 2;3D Pool;Firebird;English;OCS;Sports - Snooker/Pool;3D Pool Firebird
1992;http://www.lemonamiga.com/games/details.php?id=8;0\3d-world-boxing;Commercial;1;1 or 2, Simultaneous;3D World Boxing;Simulmondo;English,German,French,Italian;OCS,ECS;Sports - Boxing;3D World Boxing Simulmondo
1992;http://www.lemonamiga.com/games/details.php?id=1496;0\3d-world-soccer;Commercial;2;;3D World Soccer;Simulmondo;English,German,French,Italian;OCS,ECS;Sports - Football/Soccer;3D World Soccer Simulmondo
1992;http://www.lemonamiga.com/games/details.php?id=2130;0\3d-world-tennis;Commercial;1;1 or 2, Simultaneous;3D World Tennis;Simulmondo;English,German,French,Italian;OCS,ECS;Sports - Tennis;3D World Tennis Simulmondo
1992;http://www.lemonamiga.com/games/details.php?id=3293;0\3d-motorrad;Coverdisk;1;1 Only;3D-Motorrad;Amiga Mania;German;OCS,ECS;Racing - Miscellaneous;3D-Motorrad Amiga Mania
1992;http://www.lemonamiga.com/games/details.php?id=1499;0\4-get-it;Commercial;1;1 Only;4-Get-It;T.T.R. Development;English;OCS,ECS;Brain - Puzzle;4-Get-It T.T.R. Development
1990;http://www.lemonamiga.com/games/details.php?id=3696;0\4-way-lynx;Licenceware;;1 Only;4-Way Lynx;Deja Vu Software;English;OCS,ECS;Brain - Puzzle;4-Way Lynx Deja Vu Software
1991;http://www.lemonamiga.com/games/details.php?id=10;0\4d-sports-boxing;Commercial;2;1 or 2, Simultaneous;4D Sports Boxing;Mindscape;English;OCS,ECS;Sports - Boxing;4D Sports Boxing Mindscape
1990;http://www.lemonamiga.com/games/details.php?id=11;0\4d-sports-driving;Commercial;2;1 Only;4D Sports Driving;Mindscape;English;OCS,ECS;Racing - Cars;4D Sports Driving Mindscape
1988;http://www.lemonamiga.com/games/details.php?id=12;0\4th-inches;Commercial;1;1 or 2, Simultaneous;4th & Inches;Accolade;English;OCS;Sports - American Football;4th & Inches Accolade
1988;http://www.lemonamiga.com/games/details.php?id=13;0\4x4-off-road-racing;Commercial;1;1 Only;4x4 Off-Road Racing;Epyx;English;OCS;Racing - Cars;4x4 Off-Road Racing Epyx
1991;http://www.lemonamiga.com/games/details.php?id=3338;0\500-cc-motomanager;Commercial;1;1 or 2;500 c.c MotoManager;Simulmondo;English,Italian;OCS,ECS;Racing - Motorcycle;500 c.c MotoManager Simulmondo
1990;http://www.lemonamiga.com/games/details.php?id=14;0\5th-gear;Commercial;1;1 Only;5th Gear;Hewson;English;OCS;Racing - Miscellaneous;5th Gear Hewson
1990;http://www.lemonamiga.com/games/details.php?id=17;0\688-attack-sub;Commercial;1;1 Only;688 Attack Sub;Electronic Arts;English;OCS;Simulation - Marine;688 Attack Sub Electronic Arts
1991;http://www.lemonamiga.com/games/details.php?id=1500;0\7-colors;Commercial;1;1 or 2;7 Colors;Infogrames;English,German,French,Italian,Spanish;OCS,ECS;Brain - Puzzle;7 Colors Infogrames
1990;http://www.lemonamiga.com/games/details.php?id=16;0\9-lives;Commercial;1;1 Only;9 Lives;Arc Developments;English;OCS;Platformer - Scrolling Screen;9 Lives Arc Developments
1991;http://www.lemonamiga.com/games/details.php?id=21;a\a-10-tank-killer;Commercial;2;1 Only;A-10 Tank Killer;Dynamix;English;OCS,ECS;Simulation - Flight;A-10 Tank Killer Dynamix
1990;http://www.lemonamiga.com/games/details.php?id=2777;a\a-mopoly;Commercial;1;1 Only;A-Mopoly;R-H-S;German;OCS;Board - Monopoly;A-Mopoly R-H-S
1992;http://www.lemonamiga.com/games/details.php?id=101;a\a-train;Commercial;2;1 Only;A-Train;Ocean;English;OCS,ECS;Strategy - Miscellaneous;A-Train Ocean
1991;http://www.lemonamiga.com/games/details.php?id=22;a\a320-airbus;Commercial;1;1 Only;A320 Airbus;Thalion;English;OCS,ECS;Simulation - Flight;A320 Airbus Thalion
1988;http://www.lemonamiga.com/games/details.php?id=24;a\aaargh;Commercial;1;1 or 2, Simultaneous;Aaargh!;Melbourne House;English;OCS;Arcade - Miscellaneous;Aaargh! Melbourne House
1994;http://www.lemonamiga.com/games/details.php?id=3642;a\aardvarks;Public Domain/Freeware;1;1 Only;Aardvarks;Berlin;English;OCS,ECS;Brain - Miscellaneous;Aardvarks Berlin
1993;http://www.lemonamiga.com/games/details.php?id=26;a\abandoned-places-2;Commercial;5;1 Only;Abandoned Places 2;ICE;English,German;OCS;Adventure - RPG 3D;Abandoned Places 2 ICE
1992;http://www.lemonamiga.com/games/details.php?id=25;a\abandoned-places-a-time-for-heroes;Commercial;5;1 Only;Abandoned Places: A Time for Heroes;Electronic Zoo;English;OCS;Adventure - RPG 3D;Abandoned Places: A Time for Heroes Electronic Zoo
1991;http://www.lemonamiga.com/games/details.php?id=2142;a\abc-monday-night-football;Commercial;3;1 or 2, Simultaneous;ABC Monday Night Football;MVP Sports;English;OCS,ECS;Sports - American Football;ABC Monday Night Football MVP Sports
1991;http://www.lemonamiga.com/games/details.php?id=27;a\abc-wide-world-of-sports-boxing;Commercial;2;1 or 2, Simultaneous;ABC Wide World of Sports Boxing;Data East;English;OCS,ECS;Sports - Boxing;ABC Wide World of Sports Boxing Data East
1998;http://www.lemonamiga.com/games/details.php?id=3618;a\abduction;Commercial;3;1 Only;Abduction;Islona Entertainment;English;OCS,ECS;Adventure - Point and Click;Abduction Islona Entertainment
1991;http://www.lemonamiga.com/games/details.php?id=1505;a\abracadabra;Commercial;2;1 Only;Abracadabra;Coktel Vision;English,German,French,Italian,Spanish;OCS,ECS;Adventure - Miscellaneous;Abracadabra Coktel Vision
1998;http://www.lemonamiga.com/games/details.php?id=3400;a\abuse-aga;Open Source Conversion;;1 to 8, Simultaneous;Abuse;(unknown);English;ECS,AGA,RTG;;Abuse (unknown)
1991;http://www.lemonamiga.com/games/details.php?id=1506;a\abyss;Commercial;1;1 Only;Abyss;Free Spirit Software;English;OCS,ECS;Arcade - Labyrinth/Maze;Abyss Free Spirit Software
1989;http://www.lemonamiga.com/games/details.php?id=3486;a\abzoo;Commercial;1;1 Only;ABZoo;Indi Software;English;OCS;Educational - Children;ABZoo Indi Software
1988;http://www.lemonamiga.com/games/details.php?id=1507;a\academy-tau-ceti-2;Commercial;1;1 Only;Academy: Tau Ceti 2;CRL;English;OCS;;Academy: Tau Ceti 2 CRL
1990;http://www.lemonamiga.com/games/details.php?id=1508;a\accordion;Commercial;1;1 Only;Accordion;UnSane Creations;English;OCS,ECS;Cards - Solitaire;Accordion UnSane Creations
1994;http://www.lemonamiga.com/games/details.php?id=3501;a\ace-the-space-case;Shareware;1;1 Only;Ace the Space-Case;Amiga Action;English;OCS,ECS;Platformer - Scrolling Screen;Ace the Space-Case Amiga Action
;http://www.lemonamiga.com/games/details.php?id=3717;a\achtung-die-kurve;Public Domain/Freeware;1;6 Only, Simultaneous;Achtung! Die Kurve...;(unknown);Czech;OCS,ECS;Racing - Overhead;Achtung! Die Kurve... (unknown)
;http://www.lemonamiga.com/games/details.php?id=3171;a\acsys-autonomous-cybernetic-system-aga;Commercial;1;1 Only;ACSYS: Autonomous Cybernetic System;(unknown);English;AGA;;ACSYS: Autonomous Cybernetic System (unknown)
1987;http://www.lemonamiga.com/games/details.php?id=1509;a\act-out;Commercial;1;1 or 2;Act Out;Digital Image;English;OCS;Arcade - Breakout/Pong;Act Out Digital Image
1995;http://www.lemonamiga.com/games/details.php?id=1510;a\action-cat-aga;Commercial;2;1 Only;Action Cat;1001 Software Developments;English;AGA;Platformer - Scrolling Screen;Action Cat 1001 Software Developments
1988;http://www.lemonamiga.com/games/details.php?id=28;a\action-fighter;Commercial;1;1 Only;Action Fighter;Firebird;English;OCS;;Action Fighter Firebird
1989;http://www.lemonamiga.com/games/details.php?id=1511;a\action-service;Commercial;1;1 to 12;Action Service;Infogrames;English;OCS;Arcade - Miscellaneous;Action Service Infogrames
1991;http://www.lemonamiga.com/games/details.php?id=3643;a\action-stations;Commercial;2;1 or 2;Action Stations!;Internecine;English;OCS,ECS;Strategy - War;Action Stations! Internecine
1992;http://www.lemonamiga.com/games/details.php?id=29;a\addams-family-the;Commercial;1;1 Only;Addams Family, The;Ocean;English,German,French;OCS,ECS;Platformer - Multi Screen;Addams Family, The Ocean
1988;http://www.lemonamiga.com/games/details.php?id=1512;a\addicta-ball;Commercial;1;1 or 2;Addicta Ball;Alligata Software;English;OCS;Arcade - Breakout/Pong;Addicta Ball Alligata Software
1994;http://www.lemonamiga.com/games/details.php?id=2790;a\adi-junior;Commercial;3;1 Only;ADI Junior;Europress Software;English;OCS,ECS;Educational - Children;ADI Junior Europress Software
1990;http://www.lemonamiga.com/games/details.php?id=3116;a\adidas-championship-tie-break;Commercial;1;1 to 4, Simultaneous;adidas Championship Tie-Break;Ocean;English;OCS;Sports - Tennis;adidas Championship Tie-Break Ocean
1991;http://www.lemonamiga.com/games/details.php?id=1513;a\adrenalynn;Commercial;1;1 to 4;Adrenalynn;Loriciel;English;OCS,ECS;Sports - Miscellaneous;Adrenalynn Loriciel
1991;http://www.lemonamiga.com/games/details.php?id=1514;a\advanced-destroyer-simulator;Commercial;1;1 Only;Advanced Destroyer Simulator;US Gold;English;OCS,ECS;Simulation - Marine;Advanced Destroyer Simulator US Gold
1991;http://www.lemonamiga.com/games/details.php?id=1374;a\advanced-fruit-machine-simulator;Commercial;1;1 to 4;Advanced Fruit Machine Simulator;Codemasters;English;OCS,ECS;Gambling - Slot Machine;Advanced Fruit Machine Simulator Codemasters
1991;http://www.lemonamiga.com/games/details.php?id=1373;a\advanced-galactic-empire;Commercial;2;1 Only;Advanced Galactic Empire;Coktel Vision;English,German,French,Italian,Spanish;OCS,ECS;Adventure - Miscellaneous;Advanced Galactic Empire Coktel Vision
1994;http://www.lemonamiga.com/games/details.php?id=3250;a\advanced-lawnmower-simulator;Public Domain/Freeware;1;1 Only;Advanced Lawnmower Simulator;Amiga Power;English;OCS,ECS;Simulation - Miscellaneous;Advanced Lawnmower Simulator Amiga Power
1990;http://www.lemonamiga.com/games/details.php?id=31;a\advanced-ski-simulator;Commercial;1;1 or 2, Simultaneous;Advanced Ski Simulator;Codemasters;English;OCS;Sports - Skiing;Advanced Ski Simulator Codemasters
1990;http://www.lemonamiga.com/games/details.php?id=97;a\advanced-tactical-fighter-ii;Commercial;1;1 Only;Advanced Tactical Fighter II;Digital Integration;English;OCS;Simulation - Flight;Advanced Tactical Fighter II Digital Integration
1991;http://www.lemonamiga.com/games/details.php?id=32;a\advantage-tennis;Commercial;1;;Advantage Tennis;Infogrames;English,German,French;OCS,ECS;Sports - Tennis;Advantage Tennis Infogrames
1986;http://www.lemonamiga.com/games/details.php?id=2134;a\adventure-construction-set;Commercial;1;1 Only;Adventure Construction Set;Electronic Arts;English;OCS;Adventure - Construction Kit;Adventure Construction Set Electronic Arts
1991;http://www.lemonamiga.com/games/details.php?id=2156;a\adventures-in-math;Commercial;2;1 Only;Adventures in Math;Free Spirit Software;English;OCS,ECS;Educational - Math;Adventures in Math Free Spirit Software
1991;http://www.lemonamiga.com/games/details.php?id=1515;a\adventures-of-maddog-williams-the;Commercial;5;1 Only;Adventures of Maddog Williams, The;Game Crafters;English;OCS,ECS;Adventure - Animated Graphics/Text;Adventures of Maddog Williams, The Game Crafters
1991;http://www.lemonamiga.com/games/details.php?id=33;a\adventures-of-quik-silva-the;Commercial;1;1 or 2;Adventures of Quik & Silva, The;New Bits on the RAM;English;OCS,ECS;Platformer - Scrolling Screen;Adventures of Quik & Silva, The New Bits on the RAM
1991;http://www.lemonamiga.com/games/details.php?id=35;a\adventures-of-robin-hood-the;Commercial;1;1 Only;Adventures of Robin Hood, The;Millennium;English,German,French,Italian;OCS,ECS;Adventure - Isometric 3D;Adventures of Robin Hood, The Millennium
1992;http://www.lemonamiga.com/games/details.php?id=36;a\adventures-of-willy-beamish-the;Commercial;12;1 Only;Adventures of Willy Beamish, The;Dynamix;English;OCS,ECS;Adventure - Point and Click;Adventures of Willy Beamish, The Dynamix
1989;http://www.lemonamiga.com/games/details.php?id=1516;a\adventures-through-time;Commercial;1;1 Only;Adventures Through Time;Aurum Software;English;OCS;Adventure - Animated Graphics/Text;Adventures Through Time Aurum Software
1997;http://www.lemonamiga.com/games/details.php?id=2916;a\aerial-racers;Public Domain/Freeware;3;1 to 3, Simultaneous;Aerial Racers;(unknown);English;OCS,ECS;Racing - Cars;Aerial Racers (unknown)
1989;http://www.lemonamiga.com/games/details.php?id=1517;a\african-raiders-01;Commercial;1;1 Only;African Raiders-01;Coktel Vision;English;OCS;Racing - Cars;African Raiders-01 Coktel Vision
1989;http://www.lemonamiga.com/games/details.php?id=1481;a\after-the-war;Commercial;1;1 Only;After the War;Dinamic Software;English;OCS;;After the War Dinamic Software
1988;http://www.lemonamiga.com/games/details.php?id=37;a\afterburner;Commercial;1;1 Only;Afterburner;Activision;English;OCS;;Afterburner Activision
1989;http://www.lemonamiga.com/games/details.php?id=38;a\afterburner_#2;Commercial;1;1 Only;Afterburner;Sega;English;OCS;;Afterburner Sega
1987;http://www.lemonamiga.com/games/details.php?id=3644;a\age-of-sail;Commercial;1;1 Only;Age of Sail;Conflict Recreations;English;OCS,ECS;Strategy - Trading;Age of Sail Conflict Recreations
1992;http://www.lemonamiga.com/games/details.php?id=40;a\agony;Commercial;3;1 Only;Agony;Psygnosis;English;OCS,ECS;;Agony Psygnosis
1989;http://www.lemonamiga.com/games/details.php?id=3480;a\air-ace-ii;Public Domain/Freeware;1;1 or 2, Simultaneous;Air Ace II;(unknown);English;OCS;;Air Ace II (unknown)
1992;http://www.lemonamiga.com/games/details.php?id=50;a\air-bucks;Commercial;2;1 Only;Air Bucks;Impressions;English;OCS,ECS;Strategy - Miscellaneous;Air Bucks Impressions
1993;http://www.lemonamiga.com/games/details.php?id=221;a\air-bucks-v12-aga;Commercial;2;1 Only;Air Bucks v1.2;Impressions;English;AGA;Strategy - Company;Air Bucks v1.2 Impressions
1990;http://www.lemonamiga.com/games/details.php?id=1518;a\air-strike-usa;Commercial;1;1 Only;Air Strike USA;Spotlight Software;English;OCS,ECS;Simulation - Flight;Air Strike USA Spotlight Software
1990;http://www.lemonamiga.com/games/details.php?id=1519;a\air-supply;Commercial;1;1 or 2, Simultaneous;Air Supply;Magic Bytes;English;OCS,ECS;;Air Supply Magic Bytes
1992;http://www.lemonamiga.com/games/details.php?id=41;a\air-support;Commercial;2;1 Only;Air Support;Psygnosis;English;OCS,ECS;Simulation - Space;Air Support Psygnosis
1990;http://www.lemonamiga.com/games/details.php?id=1520;a\air-warrior;Commercial;;;Air Warrior;On-line Entertainments;English;OCS,ECS;Simulation - Flight;Air Warrior On-line Entertainments
1989;http://www.lemonamiga.com/games/details.php?id=1482;a\airball;Commercial;1;1 Only;Airball;Microdeal;English;OCS;Adventure - Miscellaneous;Airball Microdeal
1989;http://www.lemonamiga.com/games/details.php?id=42;a\airborne-ranger;Commercial;1;1 Only;Airborne Ranger;MicroProse Software;English;OCS;;Airborne Ranger MicroProse Software
1992;http://www.lemonamiga.com/games/details.php?id=51;a\airforce-commander;Commercial;2;1 Only;AirForce Commander;Impressions;English;OCS,ECS;Strategy - Miscellaneous;AirForce Commander Impressions
1990;http://www.lemonamiga.com/games/details.php?id=1521;a\airport;Commercial;1;1 Only;Airport;Wolf Software & Design;English;OCS,ECS;Simulation - Flight;Airport Wolf Software & Design
1994;http://www.lemonamiga.com/games/details.php?id=52;a\akira;Commercial;3;1 Only;Akira;ICE;English;OCS,ECS;Platformer - Scrolling Screen;Akira ICE
1994;http://www.lemonamiga.com/games/details.php?id=580;a\akira-cd32;Commercial;;1 Only;Akira;ICE;English;CD32;Platformer - Scrolling Screen;Akira ICE
1994;http://www.lemonamiga.com/games/details.php?id=222;a\aladdin-aga;Commercial;3;1 Only;Aladdin;Virgin Interactive;English;AGA;Platformer - Scrolling Screen;Aladdin Virgin Interactive
1989;http://www.lemonamiga.com/games/details.php?id=1522;a\aladdins-magic-lamp;Commercial;1;1 Only;Aladdin's Magic Lamp;New Line Software;English;OCS;;Aladdin's Magic Lamp New Line Software
1988;http://www.lemonamiga.com/games/details.php?id=1523;a\albedo;Commercial;1;1 or 2, Simultaneous;Albedo;Loriciel;French;OCS;;Albedo Loriciel
1992;http://www.lemonamiga.com/games/details.php?id=53;a\alcatraz;Commercial;2;1 or 2, Simultaneous;Alcatraz;Infogrames;English;OCS;;Alcatraz Infogrames
1988;http://www.lemonamiga.com/games/details.php?id=2157;a\alert;Commercial;1;1 Only;Alert;ECP;English;OCS;;Alert ECP
1994;http://www.lemonamiga.com/games/details.php?id=1524;a\alert-x;Commercial;1;1 Only;Alert X;Techland Soft;English;OCS,ECS;;Alert X Techland Soft
1996;http://www.lemonamiga.com/games/details.php?id=3211;a\alfabet-smierci-aga;Commercial;4;1 Only;Alfabet ?mierci;Arte;Polish;AGA;Adventure - Graphics/Text;Alfabet ?mierci Arte
1993;http://www.lemonamiga.com/games/details.php?id=223;a\alfred-chicken-aga;Commercial;2;1 Only;Alfred Chicken;Mindscape;English;AGA;Platformer - Scrolling Screen;Alfred Chicken Mindscape
1993;http://www.lemonamiga.com/games/details.php?id=2503;a\alfred-chicken;Commercial;1;1 Only;Alfred Chicken;Mindscape;English;OCS,ECS;Platformer - Scrolling Screen;Alfred Chicken Mindscape
1993;http://www.lemonamiga.com/games/details.php?id=568;a\alfred-chicken-cd32;Commercial;;1 Only;Alfred Chicken;Mindscape;English;CD32;Platformer - Scrolling Screen;Alfred Chicken Mindscape
1991;http://www.lemonamiga.com/games/details.php?id=1609;a\alianator;Coverdisk;1;1 Only;Alianator;Amiga Fun;English;OCS,ECS;;Alianator Amiga Fun
1993;http://www.lemonamiga.com/games/details.php?id=3172;a\alien-bash;Coverdisk;1;1 Only;Alien Bash;The One Amiga;English;OCS,ECS;;Alien Bash The One Amiga
1996;http://www.lemonamiga.com/games/details.php?id=2499;a\alien-bash-2;Coverdisk;1;1 Only;Alien Bash 2;Amiga Format;English;OCS,ECS;;Alien Bash 2 Amiga Format
1991;http://www.lemonamiga.com/games/details.php?id=55;a\alien-breed;Commercial;3;1 or 2, Simultaneous;Alien Breed;Team 17;English;OCS,ECS;;Alien Breed Team 17
1995;http://www.lemonamiga.com/games/details.php?id=1525;a\alien-breed-3d-aga;Commercial;2;1 or 2, Simultaneous;Alien Breed 3D;Ocean;English;AGA;;Alien Breed 3D Ocean
1995;http://www.lemonamiga.com/games/details.php?id=519;a\alien-breed-3d-cd32;Commercial;;1 or 2, Simultaneous;Alien Breed 3D;Ocean;English;CD32;;Alien Breed 3D Ocean
1996;http://www.lemonamiga.com/games/details.php?id=1251;a\alien-breed-3d-2-the-killing-grounds-aga;Commercial;5;1 or 2, Simultaneous;Alien Breed 3D 2: The Killing Grounds;Team 17;English;AGA;;Alien Breed 3D 2: The Killing Grounds Team 17
1993;http://www.lemonamiga.com/games/details.php?id=56;a\alien-breed-ii-the-horror-continues;Commercial;3;1 or 2, Simultaneous;Alien Breed II: The Horror Continues;Team 17;English;OCS,ECS;;Alien Breed II: The Horror Continues Team 17
1993;http://www.lemonamiga.com/games/details.php?id=2158;a\alien-breed-ii-the-horror-continues-aga;Commercial;3;1 or 2, Simultaneous;Alien Breed II: The Horror Continues;Team 17;English;AGA;;Alien Breed II: The Horror Continues Team 17
1992;http://www.lemonamiga.com/games/details.php?id=57;a\alien-breed-special-edition-1992;Commercial;2;1 or 2, Simultaneous;Alien Breed: Special Edition 1992;Team 17;English;OCS,ECS;;Alien Breed: Special Edition 1992 Team 17
1994;http://www.lemonamiga.com/games/details.php?id=569;a\alien-breed-tower-assault-cd32;Commercial;;1 or 2, Simultaneous;Alien Breed: Tower Assault;Team 17;English;CD32;;Alien Breed: Tower Assault Team 17
1994;http://www.lemonamiga.com/games/details.php?id=58;a\alien-breed-tower-assault-aga;Commercial;3;1 or 2, Simultaneous;Alien Breed: Tower Assault;Team 17;English;ECS,AGA;;Alien Breed: Tower Assault Team 17
1991;http://www.lemonamiga.com/games/details.php?id=1526;a\alien-drug-lords-the-chyropian-connection;Commercial;4;1 Only;Alien Drug Lords: The Chyropian Connection;Panther Games;English;OCS,ECS;Adventure - Point and Click;Alien Drug Lords: The Chyropian Connection Panther Games
1999;http://www.lemonamiga.com/games/details.php?id=3676;a\alien-escape-1;Public Domain/Freeware;1;1 Only;Alien Escape 1;(unknown);German;OCS,ECS;;Alien Escape 1 (unknown)
2000;http://www.lemonamiga.com/games/details.php?id=3675;a\alien-escape-2;Public Domain/Freeware;1;1 Only;Alien Escape 2;(unknown);German;OCS,ECS;;Alien Escape 2 (unknown)
1988;http://www.lemonamiga.com/games/details.php?id=1527;a\alien-fires-2199-ad;Commercial;2;1 Only;Alien Fires 2199 A.D.;Paragon Software;English;OCS;Adventure - RPG 3D;Alien Fires 2199 A.D. Paragon Software
1995;http://www.lemonamiga.com/games/details.php?id=2358;a\alien-fish-finger;Shareware;1;1 Only;Alien Fish Finger;(unknown);English;OCS,ECS;;Alien Fish Finger (unknown)
;http://www.lemonamiga.com/games/details.php?id=3683;a\alien-frenzy;Shareware;1;2 Only, Simultaneous;Alien Frenzy;(unknown);English;OCS,ECS;;Alien Frenzy (unknown)
1993;http://www.lemonamiga.com/games/details.php?id=3403;a\alien-hunter;Commercial;1;1 Only;Alien Hunter;Intersoft;German;OCS,ECS;Arcade - Miscellaneous;Alien Hunter Intersoft
1989;http://www.lemonamiga.com/games/details.php?id=59;a\alien-legion;Commercial;1;1 Only;Alien Legion;Gainstar;English;OCS;;Alien Legion Gainstar
1995;http://www.lemonamiga.com/games/details.php?id=3699;a\alien-network-vs-olympus;Public Domain/Freeware;1;2;Alien Network vs Olympus;Software 2000;English;OCS,ECS;;Alien Network vs Olympus Software 2000
1991;http://www.lemonamiga.com/games/details.php?id=60;a\alien-storm;Commercial;1;1 or 2, Simultaneous;Alien Storm;US Gold;English;OCS,ECS;;Alien Storm US Gold
1987;http://www.lemonamiga.com/games/details.php?id=3404;a\alien-strike;Commercial;1;1 or 2, Simultaneous;Alien Strike;Diamond Games;English;OCS;;Alien Strike Diamond Games
1988;http://www.lemonamiga.com/games/details.php?id=61;a\alien-syndrome;Commercial;1;1 or 2, Simultaneous;Alien Syndrome;ACE;English;OCS;;Alien Syndrome ACE
1995;http://www.lemonamiga.com/games/details.php?id=3230;a\alien-target;Commercial;3;1 Only;Alien Target;L.K. Avalon;Polish;OCS,ECS;;Alien Target L.K. Avalon
1992;http://www.lemonamiga.com/games/details.php?id=1254;a\alien-world;Commercial;1;1 Only;Alien World;Hi-Tec Software;English;OCS,ECS;;Alien World Hi-Tec Software
1992;http://www.lemonamiga.com/games/details.php?id=54;a\alien3;Commercial;2;1 Only;Alien?;Virgin Interactive;English;OCS,ECS;;Alien? Virgin Interactive
1990;http://www.lemonamiga.com/games/details.php?id=1483;a\aliex;Commercial;1;1 Only;Aliex;Trojan Software;English;OCS,ECS;;Aliex Trojan Software
