"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords"
"NoError, ReqAGA, EmulPriv, ClearMem";"Arcade Pool ? 1994 Team 17.";"1994 Team 17";"whdload";"0";"Arcade Pool AGA";"ArcadePoolAGA";"1004565";"A\ArcadePoolAGA\ArcadePoolAGA.Slave";"1310720";"A\ArcadePoolAGA";"2097152";"ArcadePool";"AGA";"";"";"";"";"";"arcade pool";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=520";"520";"Commercial";"English";"";"1 to 8";"Arcade Pool";"Team 17";"a\arcade-pool-cd32";"CD32";"Sports - Snooker/Pool";"arcade pool arcadepool 520 team 17 arcadepool english"
"NoError, Req68020, EmulPriv, ClearMem, Examine";"Arcade Pool ? 1994 Team 17.";"1994 Team 17";"whdload";"0";"Arcade Pool CD³²";"ArcadePoolCD32";"1194432";"A\ArcadePoolCD32\ArcadePoolCD32.slave";"786432";"A\ArcadePoolCD32";"2093056";"ArcadePool";"CD32";"";"";"";"";"";"arcade pool";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=520";"520";"Commercial";"English";"";"1 to 8";"Arcade Pool";"Team 17";"a\arcade-pool-cd32";"CD32";"Sports - Snooker/Pool";"arcade pool arcadepool 520 team 17 arcadepool english"
"NoError, ReqAGA, ClearMem";"Arcade Snooker ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Arcade Snooker";"ArcadeSnookerAGA";"504837";"A\ArcadeSnookerAGA\ArcadeSnookerAGA.Slave";"327680";"A\ArcadeSnookerAGA";"737280";"ArcadeSnooker";"AGA";"";"";"";"";"";"arcade snooker";"Exact";"100";"Lemon Amiga";"1995";"http://www.lemonamiga.com/games/details.php?id=3177";"3177";"Coverdisk";"English";"1";"1 or 2";"Arcade Snooker";"CU Amiga";"a\arcade-snooker-aga";"AGA";"Sports - Snooker/Pool";"arcade snooker arcadesnooker 3177 cu amiga arcadesnooker english"
"NoError, EmulTrap";"Arcade Trivia Quiz by Zeppelin Games (c) 1991 - 1 disk.";"1991 Zeppelin";"whdload";"0";"Arcade Trivia Quiz";"ArcadeTriviaQuiz";"503566";"A\ArcadeTriviaQuiz\ArcadeTriviaQuiz.slave";"0";"A\ArcadeTriviaQuiz";"524288";"ArcadeTriviaQuiz";"OCS/ECS";"";"";"";"";"";"arcade trivia quiz";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=2133";"2133";"Commercial";"English";"1";"1 to 3";"Arcade Trivia Quiz";"Zeppelin Games";"a\arcade-trivia-quiz";"OCS,ECS";"Educational - Quiz";"arcade trivia quiz arcadetriviaquiz 2133 zeppelin games arcadetriviaquiz english"
"NoError, EmulTrap, NoKbd";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"1992 Archer Maclean/Virgin";"whdload";"0";"Archer Maclean Pool";"ArcherMacleansBillardAmcn";"323733";"A\ArcherMacleansBillardAmcn\ArcherMacleansBillardAmcn.Slave";"0";"A\ArcherMacleansBillardAmcn";"524288";"ArcherMacleansBillardAmcn";"OCS/ECS";"";"";"";"";"";"archer maclean presents billard americain";"Exact";"N/A";"Open Amiga Game Database";"1992";"https://oagd.net/game/41317757-69ee-5067-8cc7-45458e7d18a7";;;"French";;"1 - 2 (1 simultaneous)";"Archer MacLean Presents: Billard Americain";"Virgin";"a\archer-maclean-presents-billard-americain";;;"archer mac lean presents billard americain archermacleanpresentsbillardamericain virgin archermacleanpresentsbillardamericain french"
"NoError, EmulTrap, NoKbd";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"1992 Archer Maclean/Virgin";"whdload";"0";"Archer Maclean Pool";"ArcherMacleansPool";"328294";"A\ArcherMacleansPool\ArcherMacleansPool.Slave";"0";"A\ArcherMacleansPool";"524288";"ArcherMacleansPool";"OCS/ECS";"";"";"";"";"";"archer macleans pool maclean";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=82";"82";"Commercial";"English";"1";"1 or 2";"Archer Maclean's Pool";"Virgin Games";"a\archer-macleans-pool";"OCS,ECS";"Sports - Snooker/Pool";"archer macleans pool archermacleanspool 82 virgin games archermacleanspool english"
"NoError, EmulTrap, ClearMem";"Archipelagos ? 1989 Astral Software.";"1989 Astral Software";"whdload";"0";"Archipelagos";"Archipelagos";"305583";"A\Archipelagos\Archipelagos.Slave";"0";"A\Archipelagos";"524288";"Archipelagos";"OCS/ECS";"";"";"";"";"";"archipelagos";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=83";"83";"Commercial";"English";"1";"1 Only";"Archipelagos";"Logotron";"a\archipelagos";"OCS";"Miscellaneous - (unknown)";"archipelagos archipelagos 83 logotron archipelagos english"
"NoError, EmulTrap, ClearMem";"Archipelagos ? 1989 Astral Software.";"1989 Astral Software";"whdload";"0";"Archipelagos";"ArchipelagosNTSC";"322096";"A\ArchipelagosNTSC\ArchipelagosNTSC.Slave";"0";"A\ArchipelagosNTSC";"524288";"Archipelagos";"OCS/ECS";"";"";"";"NTSC";"";"archipelagos";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=83";"83";"Commercial";"English";"1";"1 Only";"Archipelagos";"Logotron";"a\archipelagos";"OCS";"Miscellaneous - (unknown)";"archipelagos archipelagos 83 logotron archipelagos english"
"NoError, EmulPriv, Examine";"";"1985 Electronic Arts";"whdload";"0";"Archon";"Archon";"951254";"A\Archon\Archon.slave";"262144";"A\Archon";"524288";"Archon";"OCS/ECS";"";"";"";"";"";"archon the light and the dark";"Exact";"100";"Lemon Amiga";"1985";"http://www.lemonamiga.com/games/details.php?id=1539";"1539";"Commercial";"English";"1";"1 or 2, Simultaneous";"Archon: The Light and the Dark";"Electronic Arts";"a\archon-the-light-and-the-dark";"OCS";"Board - Miscellaneous";"archon the light and the dark archonthelightandthedark 1539 electronic arts archonthelightandthedark english"
"NoError, EmulPriv, Examine";"Archon 2: Adept ? 1986 Electronic Arts.";"1986 Electronic Arts";"whdload";"0";"Archon II: Adept";"Archon2";"937027";"A\Archon2\Archon2.slave";"262144";"A\Archon2";"524288";"Archon2";"OCS/ECS";"";"";"";"";"";"archon 2 adept";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=84";"84";"Commercial";"English";"1";"1 or 2, Simultaneous";"Archon II: Adept";"Electronic Arts";"a\archon-ii-adept";"OCS";"Board - Miscellaneous";"archon 2 adept archon2adept 84 electronic arts archoniiadept english"
"NoError, EmulPriv, Examine";"Arctic Fox ? 1985 Electronic Arts";"1985 Electronic Arts / Dynamic";"whdload";"0";"Arctic Fox";"Arcticfox";"934025";"A\Arcticfox\ArcticFox.Slave";"262144";"A\Arcticfox";"524288";"Arcticfox";"OCS/ECS";"";"";"";"";"";"arcticfox arctic fox";"Exact";"100";"Lemon Amiga";"1986";"http://www.lemonamiga.com/games/details.php?id=1489";"1489";"Commercial";"English";"1";"1 Only";"Arcticfox";"Electronic Arts";"a\arcticfox";"OCS";"Simulation - Tank";"arcticfox arcticfox 1489 electronic arts arcticfox english"
"NoError, EmulTrap";"Arena by Psygnosis (c) 1986 - 1 disk.";"1986 Psygnosis";"whdload";"0";"Arena";"Arena";"910196";"A\Arena\Arena.slave";"0";"A\Arena";"528384";"Arena";"OCS/ECS";"";"";"";"";"";"arena";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1541";"1541";"Commercial";"English";"1";"1 or 2";"Arena";"Defcom";"a\arena";"OCS,ECS";"";"arena arena 1541 defcom arena english"
"NoError, EmulTrap";"Arkanoid ? 1987 Discovery Software Int..";"1987 Discovery Software International";"whdload";"0";"Arkanoid";"Arkanoid";"352867";"A\Arkanoid\Arkanoid.Slave";"0";"A\Arkanoid";"524288";"Arkanoid";"OCS/ECS";"";"";"";"";"";"arkanoid";"Exact";"100";"Lemon Amiga";"1987";"http://www.lemonamiga.com/games/details.php?id=85";"85";"Commercial";"English";"1";"1 or 2";"Arkanoid";"Discovery Software";"a\arkanoid";"OCS";"Arcade - Breakout/Pong";"arkanoid arkanoid 85 discovery software arkanoid english"
"NoError, EmulTrap";"Arkanoid ? 1987 Discovery Software Int..";"1987 Discovery Software International";"whdload";"0";"Arkanoid";"ArkanoidNTSC";"352643";"A\ArkanoidNTSC\ArkanoidNTSC.Slave";"0";"A\ArkanoidNTSC";"524288";"Arkanoid";"OCS/ECS";"";"";"";"NTSC";"";"arkanoid";"Exact";"100";"Lemon Amiga";"1987";"http://www.lemonamiga.com/games/details.php?id=85";"85";"Commercial";"English";"1";"1 or 2";"Arkanoid";"Discovery Software";"a\arkanoid";"OCS";"Arcade - Breakout/Pong";"arkanoid arkanoid 85 discovery software arkanoid english"
"Disk, NoError";"Arkanoid - Revenge of Doh ? 1988 Imagine.";"";"whdload";"0";"";"ArkanoidRevengeOfDoh";"415400";"A\ArkanoidRevengeOfDoh\ArkanoidRevengeOfDoh.slave";"";"A\ArkanoidRevengeOfDoh";"524288";"ArkanoidRevengeOfDoh";"OCS/ECS";"";"";"";"";"";"arkanoid revenge of doh";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=86";"86";"Commercial";"English";"1";"1 or 2";"Arkanoid: Revenge of Doh";"Imagine";"a\arkanoid-revenge-of-doh";"OCS";"Arcade - Breakout/Pong";"arkanoid revenge of doh arkanoidrevengeofdoh 86 imagine arkanoidrevengeofdoh english"
"NoError, EmulTrap";"Armageddon Man (c) 1988 Electronic Pencil Co. Ltd/";"1988 Electronic Pencil Co. Ltd/Martech";"whdload";"0";"Armageddon Man";"ArmageddonMan";"370960";"A\ArmageddonMan\ArmageddonMan.Slave";"0";"A\ArmageddonMan";"524288";"ArmageddonMan";"OCS/ECS";"";"";"";"";"";"armageddon man";"Best";"2.275012";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=87";"87";"Commercial";"English";"1";"1 Only";"Armageddon Man, The";"Martech";"a\armageddon-man-the";"OCS";"Strategy - War";"armageddon man the armageddonmanthe 87 martech armageddonmanthe english"
"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"1991 Thalamus";"whdload";"0";"Armalyte";"Armalyte";"1348808";"A\Armalyte\Armalyte.Slave";"0";"A\Armalyte";"524288";"Armalyte";"OCS/ECS";"";"";"";"";"";"armalyte";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=88";"88";"Commercial";"English";"2";"1 Only";"Armalyte";"Thalamus";"a\armalyte";"OCS,ECS";"";"armalyte armalyte 88 thalamus armalyte english"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"ArmourGeddon";"2527116";"A\ArmourGeddon\ArmourGeddon.Slave";"0";"A\ArmourGeddon";"589824";"ArmourGeddon";"OCS/ECS";"";"";"";"";"";"armour geddon";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=89";"89";"Commercial";"English";"3";"1 Only";"Armour-Geddon";"Psygnosis";"a\armour-geddon";"OCS,ECS";"Strategy - War";"armour geddon armourgeddon 89 psygnosis armourgeddon english"
"NoError, EmulPriv";"Armour Geddon 2 ? 1994 Psygnosis";"1994 Psygnosis";"whdload";"0";"ArmourGeddon 2 Codename Hellfire";"ArmourGeddon2";"3668225";"A\ArmourGeddon2\ArmourGeddon2.Slave";"2359296";"A\ArmourGeddon2";"1048576";"ArmourGeddon2";"OCS/ECS";"";"";"";"";"";"armour geddon 2 codename hellfire";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=90";"90";"Commercial";"English";"3";"1 or 2";"Armour-Geddon II: Codename Hellfire";"Psygnosis";"a\armour-geddon-ii-codename-hellfire";"OCS,ECS";"Strategy - War";"armour geddon 2 codename hellfire armourgeddon2codenamehellfire 90 psygnosis armourgeddoniicodenamehellfire english"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"ArmourGeddonNTSC";"2513923";"A\ArmourGeddonNTSC\ArmourGeddonNTSC.Slave";"0";"A\ArmourGeddonNTSC";"589824";"ArmourGeddon";"OCS/ECS";"";"";"";"NTSC";"";"armour geddon";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=89";"89";"Commercial";"English";"3";"1 Only";"Armour-Geddon";"Psygnosis";"a\armour-geddon";"OCS,ECS";"Strategy - War";"armour geddon armourgeddon 89 psygnosis armourgeddon english"
"NoError";"Army Moves by Imagine (c) 1987 - 1 disk.";"1987 Imagine/Dinamic";"whdload";"0";"Army Moves";"ArmyMoves";"130838";"A\ArmyMoves\ArmyMoves.Slave";"0";"A\ArmyMoves";"524288";"ArmyMoves";"OCS/ECS";"";"";"";"";"";"army moves";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=91";"91";"Commercial";"English";"1";"1 Only";"Army Moves";"Imagine";"a\army-moves";"OCS";"";"army moves armymoves 91 imagine armymoves english"
"NoError, EmulTrap";"Arnie by Zeppelin Games/Realms of Fantasy (c) 1992.";"1992 Zeppelin Games";"whdload";"0";"Arnie";"Arnie";"954327";"A\Arnie\Arnie.slave";"0";"A\Arnie";"524288";"Arnie";"OCS/ECS";"";"";"";"";"";"arnie";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=92";"92";"Commercial";"English";"1";"1 Only";"Arnie";"Zeppelin Games";"a\arnie";"OCS,ECS";"";"arnie arnie 92 zeppelin games arnie english"
"NoError, EmulTrap, ClearMem";"Arnie 2 (c) 1993 Zeppelin - 1 disk.";"1993 Zeppelin";"whdload";"0";"Arnie 2";"Arnie2";"923929";"A\Arnie2\Arnie2.Slave";"0";"A\Arnie2";"1048576";"Arnie2";"OCS/ECS";"";"";"";"";"";"arnie 2";"Exact";"100";"Lemon Amiga";"1993";"http://www.lemonamiga.com/games/details.php?id=1544";"1544";"Commercial";"English";"1";"1 Only";"Arnie 2";"Zeppelin Games";"a\arnie-2";"OCS,ECS";"";"arnie 2 arnie2 1544 zeppelin games arnie2 english"
"NoError, EmulPriv, ClearMem, Examine";"The Art Of Chess ? 1987 SPA";"1987 SPA";"whdload";"0";"The Art Of Chess";"ArtOfChess";"566429";"A\ArtOfChess\ArtOfChess.Slave";"327680";"A\ArtOfChess";"524288";"ArtOfChess";"OCS/ECS";"";"";"";"";"";"art of chess the";"Exact";"100";"Lemon Amiga";"1987";"http://www.lemonamiga.com/games/details.php?id=93";"93";"Commercial";"English";"1";"1 or 2";"Art of Chess, The";"SPA";"a\art-of-chess-the";"OCS";"Board - Chess";"art of chess the artofchessthe 93 spa artofchessthe english"
"NoError, EmulTrap";"Artura (c) 1988 Gremlin/Arcadia - 1 disk.";"1988 Gremlin";"whdload";"0";"Artura";"Artura";"747343";"A\Artura\Artura.Slave";"0";"A\Artura";"524288";"Artura";"OCS/ECS";"";"";"";"";"";"artura";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1490";"1490";"Commercial";"English";"1";"1 Only";"Artura";"Gremlin Graphics";"a\artura";"OCS,ECS";"Platformer - Scrolling Screen";"artura artura 1490 gremlin graphics artura english"
"NoError, NoDivZero, EmulPriv";"Ashes Of Empire ? 1992 Midnight";"1992 Midnight";"whdload";"0";"Ashes Of Empire";"AshesOfEmpire";"3617981";"A\AshesOfEmpire\AshesOfEmpire.Slave";"262144";"A\AshesOfEmpire";"1048576";"AshesOfEmpire";"OCS/ECS";"";"";"";"";"";"ashes of empire";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1376";"1376";"Commercial";"English";"3";"1 Only";"Ashes of Empire";"Mirage";"a\ashes-of-empire";"OCS,ECS";"Strategy - Miscellaneous";"ashes of empire ashesofempire 1376 mirage ashesofempire english"
"NoError, NoDivZero, EmulPriv";"Ashes Of Empire ? 1992 Midnight";"1992 Midnight";"whdload";"0";"Ashes Of Empire";"AshesOfEmpireDe";"3617983";"A\AshesOfEmpireDe\AshesOfEmpireDe.Slave";"262144";"A\AshesOfEmpireDe";"1048576";"AshesOfEmpire";"OCS/ECS";"De";"";"";"";"";"ashes of empire";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1376";"1376";"Commercial";"English";"3";"1 Only";"Ashes of Empire";"Mirage";"a\ashes-of-empire";"OCS,ECS";"Strategy - Miscellaneous";"ashes of empire ashesofempire 1376 mirage ashesofempire english"
"Disk, NoError, EmulTrap, ClearMem";"Assassin ? 1992 Team 17.";"1992 Team 17";"whdload";"0";"Assassin";"Assassin";"1815289";"A\Assassin\Assassin.Slave";"0";"A\Assassin";"1048576";"Assassin";"OCS/ECS";"";"";"";"";"";"assassin";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=95";"95";"Commercial";"English";"2";"1 Only";"Assassin";"Team 17";"a\assassin";"OCS,ECS";"";"assassin assassin 95 team 17 assassin english"
"NoError, EmulTrap, ClearMem";"Assasin: special edition by Team 17 (c) 1993 - 2 disks.";"1993 Team 17";"whdload";"0";"Assasin (Special Edition)";"AssassinSpecialEdition";"1976334";"A\AssassinSpecialEdition\AssassinSpecialEdition.slave";"524288";"A\AssassinSpecialEdition";"524288";"AssassinSpecialEdition";"OCS/ECS";"";"";"";"";"";"assassin special edition assasin";"Exact";"100";"Lemon Amiga";"1994";"http://www.lemonamiga.com/games/details.php?id=1546";"1546";"Commercial";"English";"2";"1 Only";"Assassin: Special Edition";"Team 17";"a\assassin-special-edition";"OCS";"";"assassin special edition assassinspecialedition 1546 team 17 assassinspecialedition english"
"NoError";"Astaroth ? 1989 Hewson.";"1989 Hewson ";"whdload";"0";"Astaroth";"Astaroth";"843504";"A\Astaroth\Astaroth.Slave";"0";"A\Astaroth";"524288";"Astaroth";"OCS/ECS";"";"";"";"";"";"astaroth";"Exact";"6.9";"Open Amiga Game Database";"1989";"https://oagd.net/amiga/astaroth";;;"English";;"1";"Astaroth";"Hewson";"a\astaroth";;;"astaroth astaroth hewson astaroth english"
"NoError, EmulPriv";"Astatin ? 1992 Tale software/Alive Designs.";"1992 Tale Software";"whdload";"0";"Astatin";"Astatin";"908160";"A\Astatin\Astatin.Slave";"262144";"A\Astatin";"524288";"Astatin";"OCS/ECS";"";"";"";"";"";"astatin";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1547";"1547";"Commercial";"English";"1";"1 Only";"Astatin";"Tale Software";"a\astatin";"OCS,ECS";"Brain - Logical";"astatin astatin 1547 tale software astatin english"
"NoError, EmulPriv, Examine";"Asterix - Operation Getafix ? 1989 Cockel Vision.";"1989 Cockel Vision";"whdload";"0";"Asterix - Operation Getafix";"AsterixOpGetafix";"737577";"A\AsterixOpGetafix\AsterixOpGetafix.slave";"262144";"A\AsterixOpGetafix";"524288";"AsterixOpGetafix";"OCS/ECS";"";"";"";"";"";"asterix op getafix operation";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1377";"1377";"Commercial";"English";"1";"1 Only";"Astérix: Operation Getafix";"Coktel Vision";"a\asterix-operation-getafix";"OCS";"Adventure - Arcade 2D";"asterix operation getafix asterixoperationgetafix 1377 coktel vision asterixoperationgetafix english"
"NoError, EmulPriv, Examine";"Asterix - Operation Getafix ? 1989 Cockel Vision.";"1989 Cockel Vision";"whdload";"0";"Asterix - Operation Getafix";"AsterixOpHinkelsteinDe";"735317";"A\AsterixOpHinkelsteinDe\AsterixOpHinkelsteinDe.slave";"262144";"A\AsterixOpHinkelsteinDe";"524288";"AsterixOpHinkelstein";"OCS/ECS";"De";"";"";"";"";"asterix op hinkelstein operation getafix";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1377";"1377";"Commercial";"English";"1";"1 Only";"Astérix: Operation Getafix";"Coktel Vision";"a\asterix-operation-getafix";"OCS";"Adventure - Arcade 2D";"asterix operation getafix asterixoperationgetafix 1377 coktel vision asterixoperationgetafix english"
"NoError, NoKbd";"Astro Marine Corps by Dinamic (c) 1990 - 2 disks.";"1990 Dinamic";"whdload";"0";"Astro Marine Corps";"AstroMarineCorps";"1463004";"A\AstroMarineCorps\AstroMarineCorps.Slave";"0";"A\AstroMarineCorps";"524288";"AstroMarineCorps";"OCS/ECS";"";"";"";"";"";"astro marine corps";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=1504";"1504";"Commercial";"English";"2";"1 Only";"Astro Marine Corps";"Dinamic Software";"a\astro-marine-corps";"OCS,ECS";"";"astro marine corps astromarinecorps 1504 dinamic software astromarinecorps english"
"NoError, EmulPriv, Examine";"Atax ? 1988 Axxiom.";"1988 Axxiom";"whdload";"0";"Atax";"Atax";"608498";"A\Atax\Atax.Slave";"1310720";"A\Atax";"1048576";"Atax";"OCS/ECS";"";"";"";"";"";"atax";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=2161";"2161";"Commercial";"English";"1";"1 Only";"Atax";"Eclipse Software Design";"a\atax";"OCS";"";"atax atax 2161 eclipse software design atax english"
"NoError, EmulTrap, NoDivZero, ClearMem";"Advanced Tactical Fighter II/ATF II ? 1990 Digital Integration.";"1990 Digital Integration";"whdload";"0";"Advanted Tactical Fighter II/Atf 2";"ATF2";"1012228";"A\ATF2\ATF2.Slave";"0";"A\ATF2";"524288";"ATF2";"OCS/ECS";"";"";"";"";"";"atf 2 advanted tactical fighter";"Best";"6.9";"Open Amiga Game Database";"1990";"https://oagd.net/amiga/atf-ii-advanced-tactical-fighter-ii";;;"English";;"1";"ATF II - Advanced Tactical Fighter II";"Digital Intergration";"a\atf-ii-advanced-tactical-fighter-ii";;;"atf 2 advanced tactical fighter 2 atf2advancedtacticalfighter2 digital intergration atfiiadvancedtacticalfighterii english"
"NoError, EmulTrap, NoKbd";"Atomic RoboKid by Activision (c) 1990 - 2 disks.";"1990 Activision";"whdload";"0";"Atomic RoboKid";"AtomicRoboKid";"1824176";"A\AtomicRoboKid\AtomicRobokid.slave";"0";"A\AtomicRoboKid";"524288";"AtomicRoboKid";"OCS/ECS";"";"";"";"";"";"atomic robo kid";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=99";"99";"Commercial";"English";"2";"1 Only";"Atomic Robo-Kid";"Activision";"a\atomic-robo-kid";"OCS";"";"atomic robo kid atomicrobokid 99 activision atomicrobokid english"
"NoError, EmulTrap";"Atomino (c) 1991 Play Byte/Psygnosis. German version,";"1991 Play Byte";"whdload";"0";"Atomino";"Atomino";"732190";"A\Atomino\Atomino.slave";"0";"A\Atomino";"524288";"Atomino";"OCS/ECS";"";"";"";"";"";"atomino";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=100";"100";"Commercial";"English,German,French";"1";"1 Only";"Atomino";"Psygnosis";"a\atomino";"OCS,ECS";"Brain - Puzzle";"atomino atomino 100 psygnosis atomino english,german,french"
"NoError, EmulTrap";"Atomino (c) 1991 Play Byte/Psygnosis. German version,";"1991 Play Byte";"whdload";"0";"Atomino";"AtominoDe";"732105";"A\AtominoDe\AtominoDe.slave";"0";"A\AtominoDe";"524288";"Atomino";"OCS/ECS";"De";"";"";"";"";"atomino";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=100";"100";"Commercial";"English,German,French";"1";"1 Only";"Atomino";"Psygnosis";"a\atomino";"OCS,ECS";"Brain - Puzzle";"atomino atomino 100 psygnosis atomino english,german,french"
"Disk, NoError, EmulTrap";"Atomix (c) 1990 Thalion.";"1990 Tale/Thalion";"whdload";"0";"Atomix";"Atomix";"788208";"A\Atomix\atomix.slave";"0";"A\Atomix";"524288";"Atomix";"OCS/ECS";"";"";"";"";"";"atomix";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=98";"98";"Commercial";"English";"1";"1 or 2";"Atomix";"Thalion";"a\atomix";"OCS,ECS";"Brain - Puzzle";"atomix atomix 98 thalion atomix english"
"NoError, ClearMem";"Atom Smasher ? 1992 David Papworth";"1992 David Papworth";"whdload";"0";"Atom Smasher";"AtomSmasher";"302123";"A\AtomSmasher\AtomSmasher.Slave";"4096";"A\AtomSmasher";"401408";"AtomSmasher";"OCS/ECS";"";"";"";"";"";"atom smasher";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=3641";"3641";"Licenceware";"English";"1";"1 or 2, Simultaneous";"Atom Smasher";"CLR Licenseware";"a\atom-smasher";"OCS,ECS";"Arcade - Labyrinth/Maze";"atom smasher atomsmasher 3641 clr licenseware atomsmasher english"
"NoError, EmulPriv, ClearMem, Examine";"A-Train ? 1992 Maxis";"1992 Maxis";"whdload";"0";"A-Train";"ATrain";"1442970";"A\ATrain\ATrain.slave";"786432";"A\ATrain";"720896";"ATrain";"OCS/ECS";"";"";"";"";"";"atrain train";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=101";"101";"Commercial";"English";"2";"1 Only";"A-Train";"Ocean";"a\a-train";"OCS,ECS";"Strategy - Miscellaneous";"a train atrain 101 ocean atrain english"
"NoError, EmulPriv, ClearMem, Examine";"A-Train ? 1992 Maxis";"1992 Maxis";"whdload";"0";"A-Train (512K ChipRAM)";"ATrain&ConstrSet512k";"1959278";"A\ATrain&ConstrSet512k\ATrain512K.slave";"786432";"A\ATrain&ConstrSet512k";"458752";"ATrain";"OCS/ECS";"";"512k";"";"";"ConstrSet";"atrain train 512 chip ram";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=101";"101";"Commercial";"English";"2";"1 Only";"A-Train";"Ocean";"a\a-train";"OCS,ECS";"Strategy - Miscellaneous";"a train atrain 101 ocean atrain english"
"NoError, EmulPriv, ClearMem, Examine";"A-Train ? 1992 Maxis";"1992 Maxis";"whdload";"0";"A-Train";"ATrain&ConstructionSet";"1959432";"A\ATrain&ConstructionSet\ATrain.slave";"786432";"A\ATrain&ConstructionSet";"720896";"ATrain";"OCS/ECS";"";"";"";"";"ConstructionSet";"atrain train";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=101";"101";"Commercial";"English";"2";"1 Only";"A-Train";"Ocean";"a\a-train";"OCS,ECS";"Strategy - Miscellaneous";"a train atrain 101 ocean atrain english"
"NoError, EmulPriv, ClearMem, Examine";"A-Train ? 1992 Maxis";"1992 Maxis";"whdload";"0";"A-Train (512K ChipRAM)";"ATrain512k";"1442934";"A\ATrain512k\ATrain512K.slave";"786432";"A\ATrain512k";"458752";"ATrain";"OCS/ECS";"";"512k";"";"";"";"atrain train 512 chip ram";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=101";"101";"Commercial";"English";"2";"1 Only";"A-Train";"Ocean";"a\a-train";"OCS,ECS";"Strategy - Miscellaneous";"a train atrain 101 ocean atrain english"
