SourceName;DetailsFile
Custom Demos;demos_whdload_data\custom_demos.csv
Pouet;demos_whdload_data\pouet_amiga_demos.csv
Janeway Amiga Scene Demo Database;demos_whdload_data\janeway_amiga_scene_demo_database_demos.csv
