"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, ClearMem";"922192";"A\Acme1991Slideshow\Acme1991Slideshow.Slave";"Acme 1991 Slideshow ? 1991 Acme.";"0";"Acme1991Slideshow";"Acme 1991 Slideshow";"1991 Acme";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";"";"acme 1991 slideshow"
"NoError, EmulTrap, ClearMem";"920410";"A\AFewTunes\AFewTunes.Slave";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"0";"AFewTunes";"A few Tunes by Dr. Awesome & Fleshbrain";"1990 Crusaders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AFewTunes";"OCS/ECS";"";"";"";"";"";"afew tunes few by dr awesome fleshbrain crusaders"
"NoError, EmulTrap, ClearMem";"1822528";"A\Alchemy\Alchemy.Slave";"Alchemy 1993 Rage.";"0";"Alchemy";"Alchemy";"1993 Rage";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Alchemy";"OCS/ECS";"";"";"";"";"";"alchemy rage"
"NoError, EmulTrap, ClearMem";"925593";"A\AlfredTheMusicDisk\AlfredTheMusicDisk.Slave";"Alfred - The Music Disk ? 1991 Relay.";"0";"AlfredTheMusicDisk";"Alfred";"1991 Relay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AlfredTheMusicDisk";"OCS/ECS";"";"";"";"";"";"alfred the music disk relay"
"NoError, EmulTrap, ClearMem";"90505";"A\Aloha\Aloha.Slave";"Aloha ? 1989 Rebels.";"0";"Aloha";"Aloha";"1989 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Aloha";"OCS/ECS";"";"";"";"";"";"aloha rebels"
"Disk, NoError";"907924";"A\Alpha&Omega\Alpha&Omega.Slave";"Alpha and Omega ? 1991 Pure Metal Coders.";"0";"Alpha&Omega";"Alpha and Omega";"1991 Pure Metal Coders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Alpha&Omega";"OCS/ECS";"";"";"";"";"";"alpha omega and pure metal coders"
"NoError, EmulTrap, ClearMem";"921744";"A\AlternativeReality\AlternativeReality.Slave";"Alternative Reality 1992 Suspect.";"0";"AlternativeReality";"Alternative Reality";"1992 Suspect";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AlternativeReality";"OCS/ECS";"";"";"";"";"";"alternative reality suspect"
"NoError, EmulTrap, ClearMem";"741947";"A\AmazingTunes\AmazingTunes.Slave";"Amazing Tunes ? 1988 Share and Enjoy.";"0";"AmazingTunes";"Amazing Tunes";"1988 Share and Enjoy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AmazingTunes";"OCS/ECS";"";"";"";"";"";"amazing tunes share and enjoy megaforce"
"NoError, EmulTrap, ClearMem";"2726771";"A\AmazingTunes2\AmazingTunes2.Slave";"Amazing Tunes 2 ? 1990 Share and Enjoy.";"0";"AmazingTunes2";"Amazing Tunes 2";"1990 Share and Enjoy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AmazingTunes2";"OCS/ECS";"";"";"";"";"";"amazing tunes 2 share and enjoy"
"NoError, EmulTrap, ClearMem";"691999";"A\Amplifier1\Amplifier1.Slave";"Amplifier I ? 1991 Dimension 4.";"0";"Amplifier1";"Amplifier I";"1991 Dimension 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Amplifier1";"OCS/ECS";"";"";"";"";"";"amplifier 1 dimension 4"
