"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"Disk, NoError, EmulTrap";"911720";"E\EnjoyTheSilents\EnjoyTheSilents.Slave";"Enjoy The Silents ? 1992 TSL - 1 disk";"0";"EnjoyTheSilents";"Enjoy the Silents";"1992 The Silents";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EnjoyTheSilents";"OCS/ECS";"";"";"";"";"enjoy the silents";"Exact";"100";"Pouet";"amiga demo";"2nd";"The Silents";"e\enjoy-the-silents-the-silents";"demo";"Digital Symposium 1992";"http://content.pouet.net/files/screenshots/00008/00008080.gif";"october 1992";"Enjoy the Silents";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8080";"enjoy the silents enjoythesilents the silents enjoythesilentsthesilents"
"NoError, EmulTrap, ClearMem";"920325";"E\Epilepsia\Epilepsia.Slave";"Epilepsia 1992 Amnesia.";"0";"Epilepsia";"Epilepsia";"1992 Amnesia";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Epilepsia";"OCS/ECS";"";"";"";"";"epilepsia amnesia";"Exact";"100";"Pouet";"";"";"Amnesia";"e\epilepsia-amnesia";"musicdisk";"";"http://content.pouet.net/files/screenshots/00033/00033687.gif";"1992";"Epilepsia";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33687";"epilepsia epilepsia amnesia epilepsiaamnesia"
"NoError, EmulTrap, ClearMem";"918413";"E\Epilepsia2\Epilepsia2.Slave";"Epilepsia 2 1992 Amnesia.";"0";"Epilepsia2";"Epilepsia 2";"1992 Amnesia";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Epilepsia2";"OCS/ECS";"";"";"";"";"epilepsia 2 amnesia";"Exact";"100";"Pouet";"n/a";"n/a";"Amnesia";"e\epilepsia-2-amnesia";"musicdisk";"The Party 1992";"http://content.pouet.net/files/screenshots/00033/00033688.gif";"december 1992";"Epilepsia 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33688";"epilepsia 2 epilepsia2 amnesia epilepsia2amnesia"
"NoError, EmulTrap, ClearMem";"157685";"E\Erazorhead\Erazorhead.Slave";"Erazorhead ? 1991 Razor 1911.";"0";"Erazorhead";"Erazorhead";"1991 Razor 1911";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Erazorhead";"OCS/ECS";"";"";"";"";"erazorhead razor";"Best";"4,210428";"Pouet";"";"";"Razor 1911";"e\erazorhead-razor-1911";"dentro";"";"http://content.pouet.net/files/screenshots/00056/00056051.gif";"october 1991";"Erazorhead";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=56051";"erazorhead erazorhead razor 1911 erazorheadrazor1911"
"NoError, EmulTrap, ClearMem";"923550";"E\Eroticon6\Eroticon6.Slave";"The Triple Breasted Whore of Eroticon6 ? 1991 LSD.";"0";"Eroticon6";"Triple Breasted Whore of Eroticon 6";"1991 LSD";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Eroticon6";"OCS/ECS";"";"";"";"";"eroticon 6 triple breasted whore of lsd";"Best";"3,891532";"Pouet";"none";"n/a";"Leeds Spreading Division";"t\the-triple-breasted-whore-of-eroticon-6-leeds-spreading-division";"musicdisk";"The Main Event 1991";"http://content.pouet.net/files/screenshots/00009/00009416.png";"october 1991";"the triple breasted whore of eroticon 6";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9416";"the triple breasted whore of eroticon 6 thetriplebreastedwhoreoferoticon6 leeds spreading division thetriplebreastedwhoreoferoticon6leedsspreadingdivision"
"NoError, EmulTrap, ClearMem";"897643";"E\EssentialBeats3\EssentialBeats3.Slave";"Essential Beats Volume 3 ? 1994 Quote.";"0";"EssentialBeats3";"Essential Beats 3";"1994 Quote";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EssentialBeats3";"OCS/ECS";"";"";"";"";"essential beats 3 quote";"Best";"5,062611";"Pouet";"";"";"Quote";"e\essential-beats-volume-3-quote";"musicdisk";"";"http://content.pouet.net/files/screenshots/00021/00021431.png";"1994";"Essential Beats Volume 3";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21431";"essential beats volume 3 essentialbeatsvolume3 quote essentialbeatsvolume3quote"
"NoError, EmulTrap, ClearMem";"920126";"E\EssentialClassics\EssentialClassics.Slave";"Essential Classics ? 1993 Nova.";"0";"EssentialClassics";"Essential Classics";"1993 Nova";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EssentialClassics";"OCS/ECS";"";"";"";"";"essential classics nova";"Exact";"100";"Pouet";"";"";"Nova";"e\essential-classics-nova";"musicdisk";"";"http://content.pouet.net/files/screenshots/00059/00059855.png";"june 1993";"Essential Classics";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=59855";"essential classics essentialclassics nova essentialclassicsnova"
"NoError, EmulTrap, ClearMem";"950574";"E\EstprobalMastic\EstprobalMastic.Slave";"Estprobal Mastic ? 1992 Imagine.";"0";"EstprobalMastic";"Estprobal Mastic";"1992 Imagine";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"EstprobalMastic";"OCS/ECS";"";"";"";"";"estprobal mastic imagine";"Exact";"100";"Pouet";"";"";"Imagine";"e\estprobal-mastic-imagine";"musicdisk";"";"http://content.pouet.net/files/screenshots/00021/00021432.png";"december 1992";"Estprobal Mastic";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21432";"estprobal mastic estprobalmastic imagine estprobalmasticimagine"
"NoError, EmulTrap";"921183";"E\Exage\Exage.Slave";"Exage ? 1990 Burning Independence.";"0";"Exage";"Exage";"1990 Burning Independence";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Exage";"OCS/ECS";"";"";"";"";"exage 1 burning independence";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Burning Independence";;"Musicdisk";"";;"";"Exage 1";;;"exage 1 exage1 burning independence exage1burningindependence"
"NoError, EmulTrap, ClearMem";"111554";"E\Experiment\Experiment.Slave";"Experiment ? 1991 Ram Jam.";"0";"Experiment";"Experiment";"1991 Ram Jam";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Experiment";"OCS/ECS";"";"";"";"";"experiment ram jam";"Exact";"100";"Pouet";"";"";"Ram Jam";"e\experiment-ram-jam";"intro";"";"http://content.pouet.net/files/screenshots/00061/00061936.png";"1991";"Experiment";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=61936";"experiment experiment ram jam experimentramjam"
