EntryName;QueryPatch
CC2AGA;center court 2
GianaSistersSE;the great giana sisters special edition
Sqrxz2;sqrxz 2 two seconds until death
OnEscapeeAGA;on escapee
HeartOfTheAlienReduxAGA;heart of the alien
SWOS1617;sensible world of soccer 2016 2017
