WhdloadName;QueryPatch
AigleDOrFr;laigle dor le retour
AlienBreed3DDemoLatestAGA;alien breed 3d
AlienBreed3DDemoPlayAGA;alien breed 3d
AlienBreed3DDemoRollAGA;alien breed 3d
BiingAGADe;biing sex intrigen und skalpelle
BombPacCD32AGA;bomb pac
DefenderOfTheCrown2CD32;defender of the crown ii
DefenseurCouronne2CD32Fr;defender of the crown ii
DifensoreCorona2CD32It;defender of the crown ii
DefensorDeLaCorona2CD32Es;defender of the crown ii
FastBrainPl;fast brain
FighterBomberAM;fighter bomber
FunturatumPl;funturatum
Humans;humans the
Mickey123Fr;mickeys 123s the big surprise party
MickeyABCFr;mickeys abcs a day at the fair
QuestForGlory;heros quest so you want to be a hero
Renegade3;renegade iii the final chapter
RipDisk2;burning rubber
R³sselsheim;russelsheim
R³sselsheimAGA;russelsheim
RuesselsheimDe;russelsheim
WalkerCrunched;walker
WalkerDecrunched;walker
WinterChallenge;winter challenge world class competition
WorldClassSoccer;italy 90 soccer
