"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"542846";"0-9\3DConstructionKit\3DConstructionKit.Slave";"3D Construction Kit ? 1991 Domark";"0";"3DConstructionKit";"3D Construction Kit";"1991 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DConstructionKit";"OCS/ECS";"";"";"";"";"";"3d construction kit"
"NoError, EmulTrap";"460385";"0-9\3DGalax\3DGalax.Slave";"3D Galax (c) 1989 Gremlin - 1 disk.";"0";"3DGalax";"3D Galax";"1989 Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DGalax";"OCS/ECS";"";"";"";"";"";"3d galax"
"NoError";"481908";"0-9\3DPool\3DPool.Slave";"3D Pool (c) 1989 Aardvark Software/Firebird.";"0";"3DPool";"3D Pool";"1989 Aardvark Software/Firebird";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool"
"NoError, ClearMem";"481908";"0-9\3DPool\3DPictures.Slave";"3D Pool (c) 1989 Aardvark Software/Firebird.";"0";"3DPool";"3D Pool (Pictures)";"1989 Aardvark Software/Firebird";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool pictures"
"NoError, EmulTrap, EmulPriv, Examine";"1565979";"0-9\3DWorldSoccer\3DWorldSoccer.Slave";"3D World Soccer ? 1992 Simulmondo.";"0";"3DWorldSoccer";"3D World Soccer";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DWorldSoccer";"OCS/ECS";"";"";"";"";"";"3d world soccer"
"NoError, EmulPriv, Examine";"730208";"0-9\3DWorldTennis\3DWorldTennis.Slave";"3D World Tennis ? 1992 Simulmondo.";"0";"3DWorldTennis";"3D World Tennis";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DWorldTennis";"OCS/ECS";"";"";"";"";"";"3d world tennis"
"NoError, EmulPriv, Examine";"1126562";"0-9\4DSportsBoxing\4DSportsBoxing.Slave";"4D Sports Boxing ? 1991 Mindscape";"0";"4DSportsBoxing";"4D Sports Boxing";"1991 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsBoxing";"OCS/ECS";"";"";"";"";"";"4d sports boxing"
"NoError, EmulPriv, Examine";"1280583";"0-9\4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"4D Sports Driving ? 1992 Mindscape";"0";"4DSportsDriving&MstrTrcks";"4D Sports Driving";"1992 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsDriving";"OCS/ECS";"";"";"";"";"MstrTrcks";"4d sports driving"
"NoError, EmulPriv, Examine";"1258913";"0-9\4DSportsDriving\4DSportsDriving.Slave";"4D Sports Driving ? 1992 Mindscape";"0";"4DSportsDriving";"4D Sports Driving";"1992 Distinctive/Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4DSportsDriving";"OCS/ECS";"";"";"";"";"";"4d sports driving"
"NoError, EmulPriv, Examine";"251010";"0-9\4th&Inches\4th&Inches.Slave";"4th & Inches ? 1988 Accolade.";"0";"4th&Inches";"4th & Inches";"1988 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4th&Inches";"OCS/ECS";"";"";"";"";"";"4 th inches"
"EmulPriv, ClearMem, Examine";"734821";"0-9\4x4OffRoadRacing\4x4OffRoadRacing.Slave";"";"0";"4x4OffRoadRacing";"4x4 Off Road Racing";"1989 Epyx / U.S. Gold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"4x4OffRoadRacing";"OCS/ECS";"";"";"";"";"";"4 off road racing"
"NoError, EmulTrap";"925429";"0-9\5thGear\5thGear.Slave";"5th Gear (c) 1988 Hewson - 1 disk.";"0";"5thGear";"5th Gear";"1988 Hewson";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"5thGear";"OCS/ECS";"";"";"";"";"";"5 th gear"
"NoError, EmulPriv, Examine";"820377";"0-9\688AttackSub\688AttackSub.slave";"688 Attack Sub ? 1990 Electronic Arts";"0";"688AttackSub";"688 Attack Sub";"1990 Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"688AttackSub";"OCS/ECS";"";"";"";"";"";"688 attack sub"
