"Priority";"Name";"File";"Keywords"
"2";"AlienWorld";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienWorld\igame.iff";"alien world"
"2";"Apidya";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\Apidya\igame.iff";"apidya"
"2";"ApidyaAudios";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ApidyaAudios\igame.iff";"apidya audios"
"2";"ApidyaKaiko";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ApidyaKaiko\igame.iff";"apidya kaiko"
"2";"AquanautF1Licenceware";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AquanautF1Licenceware\igame.iff";"aquanaut f 1 licenceware"
"2";"Arkanoid";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\Arkanoid\igame.iff";"arkanoid"
"2";"ArmourGeddon2";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ArmourGeddon2\igame.iff";"armour geddon 2"
"2";"AztecChallenge";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AztecChallenge\igame.iff";"aztec challenge"
"2";"B17FlyingFortress";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\B17FlyingFortress\igame.iff";"b 17 flying fortress"
"2";"BabylonianTwinsDemo";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BabylonianTwinsDemo\igame.iff";"babylonian twins demo"
"2";"BadCompany";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BadCompany\igame.iff";"bad company"
"2";"Barbarian2Psygnosis";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Barbarian2Psygnosis\igame.iff";"barbarian 2 psygnosis"
"2";"BatmanTheMovie";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BatmanTheMovie\igame.iff";"batman the movie"
"2";"BattleIsle";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BattleIsle\igame.iff";"battle isle"
"2";"Battlestorm";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Battlestorm\igame.iff";"battlestorm"
"2";"BestOfTheBest";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BestOfTheBest\igame.iff";"best of the"
"2";"BillsTomatoGame";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BillsTomatoGame\igame.iff";"bills tomato game"
"2";"BiplaneDuel";"D:\Work2\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BiplaneDuel\igame.iff";"biplane duel"
