"Priority";"Name";"File";"Keywords"
"1";"Academy";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Academy.png";"academy"
"1";"AceBallAGAPl";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AceBallAGAPl.png";"ace ball agapl"
"1";"AceBallPl";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AceBallPl.png";"ace ball pl"
"1";"ACSYSDemoAGA";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\ACSYSDemoAGA.png";"acsysdemo aga"
"1";"ActionFighter";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\ActionFighter.png";"action fighter"
"1";"AddamsFamily";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AddamsFamily.png";"addams family"
"1";"Adrenalynn";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\Adrenalynn.png";"adrenalynn"
"1";"AdvancedDestroyerSim";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdvancedDestroyerSim.png";"advanced destroyer sim"
"1";"AdvancedSkiSimulator";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdvancedSkiSimulator.png";"advanced ski simulator"
"1";"AdvantageTennis";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdvantageTennis.png";"advantage tennis"
"1";"AdvConstructionSetNTSC";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdvConstructionSetNTSC.png";"adv construction set ntsc"
"1";"AdventuresOfGenlockHolmes";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdventuresOfGenlockHolmes.png";"adventures of genlock holmes"
"1";"AdventuresOfQuik&Silva";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdventuresOfQuik&Silva.png";"adventures of quik silva"
"1";"AdventuresOfRobinHood";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdventuresOfRobinHood.png";"adventures of robin hood"
"1";"AdventuresOfWillyBeamish";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AdventuresOfWillyBeamish.png";"adventures of willy beamish"
"1";"AfricanRaiders01";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AfricanRaiders01.png";"african raiders 01"
"1";"AfterBurner";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AfterBurner.png";"after burner"
"1";"AfterBurnerNTSC";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\AfterBurnerNTSC.png";"after burner ntsc"
