"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ReqAGA, ClearMem";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"1001 Stolen Ideas ? 1991 Airwalk.";"0";"1001StolenIdeas";"1001 Stolen Ideas";"1991 Airwalk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"1001StolenIdeas";"AGA";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"1001-stolen-ideas-airwalk";"C:\Work\First Realize\amiga-demo-database\jasdd\0\1001-stolen-ideas-airwalk\screen_001.png";"1001-stolen-ideas-airwalk"
"NoError, EmulTrap, ClearMem";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"The 100 Most Remembered C64 Game-Tunes";"0";"100MostRememberedC64Tunes";"The 100 Most Remembered C64 Game-Tunes";"1990 Per H?kan Sundell & Ron Birk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"100 most remembered 64 tunes the game per kan sundell ron birk";"Best";"4,276082";"the-100-most-remembered-c64-game-tunes-sundell-birk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-100-most-remembered-c64-game-tunes-sundell-birk\screen.jpg";"the-100-most-remembered-c64-game-tunes-sundell-birk"
"NoError";"911067";"0-9\242\242.Slave";"242 ? 1993 Virtual Dreams - 1 disk";"0";"242";"242";"1993 Virtual Dreams";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"242";"OCS/ECS";"";"";"";"";"242 virtual dreams";"Exact";"100";"242-virtual-dreams";"C:\Work\First Realize\amiga-demo-database\jasdd\0\242-virtual-dreams\screen_001.png";"242-virtual-dreams"
"NoError, EmulTrap, ClearMem";"792619";"0-9\24HourEFix\24HourEFix.Slave";"24 Hour E Fix ? 1992 Quartz.";"0";"24HourEFix";"24 Hour E Fix";"1992 Quartz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"24HourE";"OCS/ECS";"";"";"";"Fix";"24 hour efix fix quartz";"Best";"3,497869";"24-hour-e-fix-quartz";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\24-hour-e-fix-quartz\screen.jpg";"24-hour-e-fix-quartz"
"NoError";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"2 Unlimited ? 1993 Scoopex - 2 disks";"0";"2Unlimited";"2 Unlimited";"1993 Scoopex";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2Unlimited";"OCS/ECS";"";"";"";"";"2 unlimited scoopex";"Best";"3,392901";"scoopex-plays-2-unlimited-scoopex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\scoopex-plays-2-unlimited-scoopex\screen_001.png";"scoopex-plays-2-unlimited-scoopex"
"Disk, NoError, EmulTrap, ClearMem";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"2 Unlimited - No Limit ? 1993 Project A";"0";"2UnlimitedNoLimit";"2 Unlimited - No Limit";"1993 Project A";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"2 unlimited no limit project";"Best";"5,688675";"2-unlimited-no-limit-project-a";"C:\Work\First Realize\amiga-demo-database\jasdd\0\2-unlimited-no-limit-project-a\screen_001.png";"2-unlimited-no-limit-project-a"
"NoError, EmulTrap";"1820203";"0-9\3DDemo\3DDemo.Slave";"3D Demo ? 1991 Anarchy - 2 disks";"0";"3DDemo";"3D Demo";"1991 Anarchy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3D";"OCS/ECS";"";"";"Demo";"";"3d demo anarchy";"Exact";"100";"3d-demo-anarchy";"C:\Work\First Realize\amiga-demo-database\jasdd\0\3d-demo-anarchy\screen_001.png";"3d-demo-anarchy"
"NoError";"100693";"0-9\3DBalls\3DBalls.Slave";"3D Balls ? 1989 Avenger";"0";"3DBalls";"3D Balls";"1989 Avenger";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3DBalls";"OCS/ECS";"";"";"";"";"3d balls avenger";"Exact";"100";"3d-balls-avenger";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-balls-avenger\screen.png";"3d-balls-avenger"
"NoError, EmulTrap, ClearMem";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"0";"3DNetAnalyzer";"3D-Net Analyzer";"1989 Doctor Mabuse Orgasm Crackings";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"3d-net-analyzer-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\jasdd\0\3d-net-analyzer-doctor-mabuse-orgasm-crackings\screen_001.PNG";"3d-net-analyzer-doctor-mabuse-orgasm-crackings"
"NoError, EmulTrap, ClearMem";"92702";"0-9\5Yards\5Yards.Slave";"5 Yards 1991 Vision.";"0";"5Yards";"5 Yards";"1991 Vision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"5Yards";"OCS/ECS";"";"";"";"";"5 yards vision";"Exact";"100";"5-yards-vision";"C:\Work\First Realize\amiga-demo-database\jasdd\0\5-yards-vision\screen_001.PNG";"5-yards-vision"
"NoError, EmulTrap";"2594214";"0-9\8BitJungle\8BitJungle.Slave";"8-Bit Jungle ? 2011 Unstable Label.";"0";"8BitJungle";"8-Bit Jungle";"2011 Unstable Label";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"8BitJungle";"OCS/ECS";"";"";"";"";"8 bit jungle unstable label";"Exact";"100";"8-bit-jungle-unstable-label";"C:\Work\First Realize\amiga-demo-database\jasdd\0\8-bit-jungle-unstable-label\screen_001.png";"8-bit-jungle-unstable-label"
"Disk, NoError";"1814297";"0-9\9Fingers\9Fingers.Slave";"9 fingers ? 1990 Spaceballs.";"1024";"9Fingers";"9 fingers";"1990 Spaceballs";"1028096";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"9Fingers";"OCS/ECS";"";"";"";"";"9 fingers spaceballs";"Exact";"100";"9-fingers-spaceballs";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\9-fingers-spaceballs\screen.gif";"9-fingers-spaceballs"
"Disk, NoError, EmulTrap";"914711";"A\A.S.S\A.S.S.slave";":";"0";"A.S.S";"Antediluvian Sloppy Spectacle";"1993 Essence";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"A.S.S";"OCS/ECS";"";"";"";"";"antediluvian sloppy spectacle essence";"Exact";"100";"antediluvian-sloppy-spectacle-essence";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\antediluvian-sloppy-spectacle-essence\screen.gif";"antediluvian-sloppy-spectacle-essence"
"Disk, NoError, Req68020, ReqAGA";"911841";"A\A1200Demo\A1200Demo.slave";"A1200 Demo ? 1993 Complex (1 disk)";"0";"A1200Demo";"A1200 Demo";"1993 Complex";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"A1200";"AGA";"";"";"Demo";"";"official commodore france a1200 demo digital";"Exact";"100";"official-commodore-france-a1200-demo-digital";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\o\official-commodore-france-a1200-demo-digital\screen.jpg";"official-commodore-france-a1200-demo-digital"
"NoError, EmulTrap, ClearMem";"456895";"A\AbsenceOfLight\AbsenceOfLight.Slave";"Absence of Light ? 1991 Animators.";"0";"AbsenceOfLight";"Absence of Light";"1991 Animators";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AbsenceOfLight";"OCS/ECS";"";"";"";"";"absence of light animators";"Exact";"100";"absence-of-light-animators";"C:\Work\First Realize\amiga-demo-database\jasdd\a\absence-of-light-animators\screen_001.png";"absence-of-light-animators"
"NoError, EmulTrap";"1817244";"A\AbsoluteInebriation\AbsoluteInebriation.Slave";"Absolute Inebriation ? 1992 Virtual Dreams.";"0";"AbsoluteInebriation";"Absolute Inebriation";"1992 Fairlight/Virtual Dreams";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AbsoluteInebriation";"OCS/ECS";"";"";"";"";"absolute inebriation fairlight virtual dreams";"Best";"6,041611";"absolute-inebriation-virtual-dreams-fairlight";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\absolute-inebriation-virtual-dreams-fairlight\screen.gif";"absolute-inebriation-virtual-dreams-fairlight"
"NoError, EmulTrap, ClearMem";"924417";"A\AbsoluteSwedish\AbsoluteSwedish.Slave";"Absolute Swedish ? 1993 Phew! Productions.";"0";"AbsoluteSwedish";"Absolute Swedish";"1993 Phew! Productions";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";"absolute swedish phew productions";"Best";"7,766524";"absolute-swedish-1-phew-productions";"C:\Work\First Realize\amiga-demo-database\jasdd\a\absolute-swedish-1-phew-productions\screen_001.png";"absolute-swedish-1-phew-productions"
"NoError, EmulTrap, ClearMem";"922192";"A\Acme1991Slideshow\Acme1991Slideshow.Slave";"Acme 1991 Slideshow ? 1991 Acme.";"0";"Acme1991Slideshow";"Acme 1991 Slideshow";"1991 Acme";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";"acme 1991 slideshow";"Best";"6,580059";"the-acme-1991-slideshow-acme-factories";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-acme-1991-slideshow-acme-factories\screen_001.png";"the-acme-1991-slideshow-acme-factories"
"NoError, EmulTrap, ClearMem";"920410";"A\AFewTunes\AFewTunes.Slave";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"0";"AFewTunes";"A few Tunes by Dr. Awesome & Fleshbrain";"1990 Crusaders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AFewTunes";"OCS/ECS";"";"";"";"";"afew tunes few by dr awesome fleshbrain crusaders";"Best";"5,134777";"a-few-tunes-by-dr-awesome-and-fleshbrain-the-crusaders";"C:\Work\First Realize\amiga-demo-database\jasdd\a\a-few-tunes-by-dr-awesome-and-fleshbrain-the-crusaders\screen_001.PNG";"a-few-tunes-by-dr-awesome-and-fleshbrain-the-crusaders"
"NoError, EmulTrap, ClearMem";"1822528";"A\Alchemy\Alchemy.Slave";"Alchemy 1993 Rage.";"0";"Alchemy";"Alchemy";"1993 Rage";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Alchemy";"OCS/ECS";"";"";"";"";"alchemy rage";"Exact";"100";"alchemy-rage";"C:\Work\First Realize\amiga-demo-database\jasdd\a\alchemy-rage\screen_001.png";"alchemy-rage"
"NoError, EmulTrap, ClearMem";"924545";"A\AlfredTheMusicDisk\AlfredTheMusicDisk.Slave";"Alfred - The Music Disk ? 1991 Relay.";"0";"AlfredTheMusicDisk";"Alfred";"1991 Relay";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AlfredTheMusicDisk";"OCS/ECS";"";"";"";"";"alfred the music disk relay";"Exact";"100";"alfred-the-music-disk-relay";"C:\Work\First Realize\amiga-demo-database\jasdd\a\alfred-the-music-disk-relay\screen_001.PNG";"alfred-the-music-disk-relay"
"NoError, EmulTrap, ClearMem";"90505";"A\Aloha\Aloha.Slave";"Aloha ? 1989 Rebels.";"0";"Aloha";"Aloha";"1989 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Aloha";"OCS/ECS";"";"";"";"";"aloha rebels";"Exact";"100";"aloha-rebels";"C:\Work\First Realize\amiga-demo-database\jasdd\a\aloha-rebels\screen_001.png";"aloha-rebels"
"Disk, NoError";"907924";"A\Alpha&Omega\Alpha&Omega.Slave";"Alpha and Omega ? 1991 Pure Metal Coders.";"0";"Alpha&Omega";"Alpha and Omega";"1991 Pure Metal Coders";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Alpha&Omega";"OCS/ECS";"";"";"";"";"alpha omega and pure metal coders";"Best";"5,547469";"alpha-and-omega-pure-metal-coders";"C:\Work\First Realize\amiga-demo-database\jasdd\a\alpha-and-omega-pure-metal-coders\screen_001.PNG";"alpha-and-omega-pure-metal-coders"
"NoError, EmulTrap, ClearMem";"921744";"A\AlternativeReality\AlternativeReality.Slave";"Alternative Reality 1992 Suspect.";"0";"AlternativeReality";"Alternative Reality";"1992 Suspect";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AlternativeReality";"OCS/ECS";"";"";"";"";"alternative reality suspect";"Exact";"100";"alternative-reality-suspect";"C:\Work\First Realize\amiga-demo-database\jasdd\a\alternative-reality-suspect\screen_001.png";"alternative-reality-suspect"
"NoError, EmulTrap, ClearMem";"741947";"A\AmazingTunes\AmazingTunes.Slave";"Amazing Tunes ? 1988 Share and Enjoy.";"0";"AmazingTunes";"Amazing Tunes";"1988 Share and Enjoy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AmazingTunes";"OCS/ECS";"";"";"";"";"amazing tunes share and enjoy megaforce";"Exact";"100";"amazing-tunes-share-and-enjoy-megaforce";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\amazing-tunes-share-and-enjoy-megaforce\screen.png";"amazing-tunes-share-and-enjoy-megaforce"
"NoError, EmulTrap, ClearMem";"2726771";"A\AmazingTunes2\AmazingTunes2.Slave";"Amazing Tunes 2 ? 1990 Share and Enjoy.";"0";"AmazingTunes2";"Amazing Tunes 2";"1990 Share and Enjoy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AmazingTunes2";"OCS/ECS";"";"";"";"";"amazing tunes 2 share and enjoy";"Best";"5,534526";"amazing-tunes-ii-share-and-enjoy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\amazing-tunes-ii-share-and-enjoy\screen.gif";"amazing-tunes-ii-share-and-enjoy"
"NoError, EmulTrap, ClearMem";"691999";"A\Amplifier1\Amplifier1.Slave";"Amplifier I ? 1991 Dimension 4.";"0";"Amplifier1";"Amplifier I";"1991 Dimension 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Amplifier1";"OCS/ECS";"";"";"";"";"amplifier 1 dimension 4";"Exact";"100";"amplifier-1-dimension-4";"C:\Work\First Realize\amiga-demo-database\jasdd\a\amplifier-1-dimension-4\screen_001.PNG";"amplifier-1-dimension-4"
"NoError, EmulTrap, ClearMem";"1444031";"A\Amplifier2\Amplifier2.Slave";"Amplifier II ? 1991 Dimension 4.";"0";"Amplifier2";"Amplifier II";"1991 Dimension 4";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Amplifier2";"OCS/ECS";"";"";"";"";"the amplifier 2 dimension 4";"Exact";"100";"the-amplifier-2-dimension4";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-amplifier-2-dimension4\screen.png";"the-amplifier-2-dimension4"
"NoError, ClearMem";"929897";"A\Analogia\Analogia.Slave";"Analogia ? 1991 Analog";"0";"Analogia";"Analogia";"1991 Analog";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Analogia";"OCS/ECS";"";"";"";"";"analogia analog";"Exact";"100";"analogia-analog";"C:\Work\First Realize\amiga-demo-database\jasdd\a\analogia-analog\screen_001.png";"analogia-analog"
"NoError";"195247";"A\AnarchyAnnouncetro\AnarchyAnnouncetro.Slave";"Anarchy - Announcetro ? 1991 The Silents & Anarchy";"0";"AnarchyAnnouncetro";"Anarchy - Announcetro";"1991 The Silents & Anarchy";"364544";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AnarchyAnnouncetro";"OCS/ECS";"";"";"";"";"anarchy announcetro the silents";"Best";"3,229063";"anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_#2";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_#2\screen.gif";"anarchy-announcetro-silents-fr-last-demo-the-silents-anarchy_-2"
"NoError, EmulTrap, ClearMem";"924973";"A\AnarchyParty1991Slideshow\AnarchyPartySlide.Slave";"Anarchy Party 1991 Slideshow ? 1991 Razor 1911.";"0";"AnarchyParty1991Slideshow";"Anarchy Party 1991 Slideshow";"1991 Razor 1911";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AnarchyParty1991Slideshow";"OCS/ECS";"";"";"";"";"anarchy party slide razor 1911";"Exact";"100";"anarchy-party-slide-razor-1911";"C:\Work\First Realize\amiga-demo-database\jasdd\a\anarchy-party-slide-razor-1911\screen_001.PNG";"anarchy-party-slide-razor-1911"
"Disk, NoError, Req68020, ReqAGA, ClearMem";"1821106";"A\Animatunes\Animatunes.slave";"Animatunes ? 1994 NGC.";"0";"Animatunes";"Animatunes";"1994 NGC";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Animatunes";"AGA";"";"";"";"";"the animatunes";"Best";"2,511794";"the-animatunes-new-generation-crew";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-animatunes-new-generation-crew\screen.gif";"the-animatunes-new-generation-crew"
"NoError, EmulTrap, ClearMem";"218334";"A\Animotion\Animotion.Slave";"Animotion ? 1990 Phenomena.";"0";"Animotion";"Animotion";"1990 Phenomena";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Animotion";"OCS/ECS";"";"";"";"";"animotion phenomena";"Exact";"100";"animotion-phenomena";"C:\Work\First Realize\amiga-demo-database\jasdd\a\animotion-phenomena\screen_001.png";"animotion-phenomena"
"NoError";"345406";"A\Announce\Announce.Slave";"Announce ? 1993 Lemon.";"0";"Announce";"Announce";"1993 Lemon.";"466944";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Announce";"OCS/ECS";"";"";"";"";"announce lemon";"Exact";"100";"announce-lemon";"C:\Work\First Realize\amiga-demo-database\jasdd\a\announce-lemon\screen_001.png";"announce-lemon"
"NoError, EmulTrap, ClearMem";"394645";"A\Apocalypse\Apocalypse.Slave";"Apocalypse 1992 Gods.";"0";"Apocalypse";"Apocalypse";"1992 Gods";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Apocalypse";"OCS/ECS";"";"";"";"";"apocalypse gods";"Exact";"100";"apocalypse-gods";"C:\Work\First Realize\amiga-demo-database\jasdd\a\apocalypse-gods\screen_001.PNG";"apocalypse-gods"
"NoError, EmulTrap, ClearMem";"727468";"A\Aquarium\Aquarium.Slave";"Aquarium 1993 Carillon & Cyberiad.";"0";"Aquarium";"Aquarium";"1993 Carillon & Cyberiad";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Aquarium";"OCS/ECS";"";"";"";"";"aquarium carillon cyberiad";"Exact";"100";"aquarium-carillon-cyberiad";"C:\Work\First Realize\amiga-demo-database\jasdd\a\aquarium-carillon-cyberiad\screen_001.PNG";"aquarium-carillon-cyberiad"
"Disk, NoError, EmulTrap";"898402";"A\Arte\Arte.Slave";"Arte ? 1993 Sanity.";"0";"Arte";"Arte";"1993 Sanity";"495616";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Arte";"OCS/ECS";"";"";"";"";"arte sanity";"Exact";"100";"arte-sanity";"C:\Work\First Realize\amiga-demo-database\jasdd\a\arte-sanity\screen_001.png";"arte-sanity"
"NoError, Req68020, ReqAGA, ClearMem";"1824535";"A\ArtificialParadise\ArtificialParadise.slave";"Artificial Paradise ? 1994 NGC.";"0";"ArtificialParadise";"Artificial Paradise";"1994 NGC";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ArtificialParadise";"AGA";"";"";"";"";"artificial paradise ngc";"Best";"1,498785";"artificial-paradise-new-generation-crew";"C:\Work\First Realize\amiga-demo-database\jasdd\a\artificial-paradise-new-generation-crew\screen_001.png";"artificial-paradise-new-generation-crew"
"NoError, EmulTrap, ClearMem";"683031";"A\ArtOfNoise3\ArtOfNoise3.Slave";"Art of Noise 3 ? 1991 Northtech.";"0";"ArtOfNoise3";"Art of Noise 3";"1991 Northtech";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ArtOfNoise3";"OCS/ECS";"";"";"";"";"art of noise 3 northtech";"Exact";"100";"art-of-noise-3-northtech";"C:\Work\First Realize\amiga-demo-database\jasdd\a\art-of-noise-3-northtech\screen_001.png";"art-of-noise-3-northtech"
"NoError, EmulTrap, ClearMem";"751379";"A\ArtOfNoise4\ArtOfNoise4.Slave";"Art of Noise 4 ? 1991 Northtech.";"0";"ArtOfNoise4";"Art of Noise 4";"1991 Northtech";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"ArtOfNoise4";"OCS/ECS";"";"";"";"";"art of noise 4 northtech";"Exact";"100";"art-of-noise-4-northtech";"C:\Work\First Realize\amiga-demo-database\jasdd\a\art-of-noise-4-northtech\screen_001.png";"art-of-noise-4-northtech"
"NoError, EmulTrap, ClearMem";"364154";"A\Assemblo\Assemblo.Slave";"Assemblo ? 1992 World Industries.";"0";"Assemblo";"Assembblo";"1992 World Industries";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Assemblo";"OCS/ECS";"";"";"";"";"assemblo assembblo world industries";"Best";"3,17756";"assemblo-world-industries";"C:\Work\First Realize\amiga-demo-database\jasdd\a\assemblo-world-industries\screen_001.PNG";"assemblo-world-industries"
"NoError, EmulTrap, ClearMem";"919999";"A\Assembly92Slideshow\Assembly92Slideshow.Slave";"Assembly '92 Slideshow ? 1992 World Industries.";"0";"Assembly92Slideshow";"Assembly ";"1992 World Industries";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Assembly92Slideshow";"OCS/ECS";"";"";"";"";"assembly 92 slideshow world industries";"Best";"3,49637";"assembly-1992-slideshow-world-industries";"C:\Work\First Realize\amiga-demo-database\jasdd\a\assembly-1992-slideshow-world-industries\screen_001.PNG";"assembly-1992-slideshow-world-industries"
"NoError, EmulTrap, ClearMem";"96978";"A\Astrogate\Astrogate.Slave";"Astrogate ? 1990 Byterapers.";"0";"Astrogate";"Astrogate";"1990 Byterapers";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Astrogate";"OCS/ECS";"";"";"";"";"astrogate byterapers";"Exact";"100";"astrogate-byterapers";"C:\Work\First Realize\amiga-demo-database\jasdd\a\astrogate-byterapers\screen_001.PNG";"astrogate-byterapers"
"NoError, NoDivZero, Req68020, ReqAGA, ClearMem";"1243744";"A\Atome\Atome.Slave";"Atome ? 1996 Skarla";"0";"Atome";"Atome";"1996 Skarla";"946176";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Atome";"AGA";"";"";"";"";"atome skarla";"Exact";"100";"atome-skarla";"C:\Work\First Realize\amiga-demo-database\jasdd\a\atome-skarla\screen_001.png";"atome-skarla"
"NoError, EmulTrap, ClearMem";"336712";"A\AudienceIsListening\AudienceIsListening.Slave";"The Audience is Listening ? 1991 Taipan";"0";"AudienceIsListening";"The Audience is Listening";"1991 Taipan";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudienceIsListening";"OCS/ECS";"";"";"";"";"audience is listening the taipan";"Best";"6,307117";"the-audience-is-listening-taipan";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-audience-is-listening-taipan\screen_001.png";"the-audience-is-listening-taipan"
"NoError, EmulTrap, ClearMem";"919453";"A\AudiOmega\AudiOmega.Slave";"AudiOmega ? 1993 Rebels.";"0";"AudiOmega";"AudiOmega";"1993 Rebels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudiOmega";"OCS/ECS";"";"";"";"";"audiomega rebels";"Exact";"100";"audiomega-rebels";"C:\Work\First Realize\amiga-demo-database\jasdd\a\audiomega-rebels\screen_001.png";"audiomega-rebels"
"NoError, EmulTrap, ClearMem";"958238";"A\AudioRhythm2\AudioRhythm2.Slave";"Audio Rhythm 2 ? 1993 Tronix.";"0";"AudioRhythm2";"Audio Rhythm 2";"1993 Tronix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudioRhythm2";"OCS/ECS";"";"";"";"";"audio rhythm 2 tronix";"Exact";"100";"audio-rhythm-2-tronix";"C:\Work\First Realize\amiga-demo-database\jasdd\a\audio-rhythm-2-tronix\screen_001.png";"audio-rhythm-2-tronix"
"NoError, EmulTrap, ClearMem";"818712";"A\AudioViolation\AudioViolation.Slave";"Audio Violation ? 1993 Defekt.";"0";"AudioViolation";"Audio Violation";"1993 Defekt";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudioViolation";"OCS/ECS";"";"";"";"";"audio violation defekt";"Exact";"100";"audio-violation-defekt";"C:\Work\First Realize\amiga-demo-database\jasdd\a\audio-violation-defekt\screen_001.PNG";"audio-violation-defekt"
"Disk, NoError, EmulTrap";"920604";"A\AudioX\AudioX.slave";"Audio X ? 19?? Crusaders.";"0";"AudioX";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AudioX";"OCS/ECS";"";"";"";"";"audio x the crusaders";"Exact";"100";"audio-x-the-crusaders";"C:\Work\First Realize\amiga-demo-database\jasdd\a\audio-x-the-crusaders\screen_001.PNG";"audio-x-the-crusaders"
