"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ClearMem";"924423";"S\SoundEngine2\SoundEngine2.Slave";"Sound Engine 2 ? 1990 Absence.";"0";"SoundEngine2";"Sound Engine 2";"1990 Absence";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundEngine2";"OCS/ECS";"";"";"";"";"sound engine 2 absence";"Exact";"100";"sound-engine-2-absence";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-engine-2-absence\screen.gif";"sound-engine-2-absence"
"NoError, EmulTrap, ClearMem";"918780";"S\SoundMania2Pussy\SoundMania2Pussy.Slave";"Sound Mania 2 ? 1990 Pussy.";"0";"SoundMania2Pussy";"Sound Mania 2";"1990 Pussy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundMania2Pussy";"OCS/ECS";"";"";"";"";"sound mania 2 pussy";"Exact";"100";"sound-mania-2-pussy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-mania-2-pussy\screen.png";"sound-mania-2-pussy"
"NoError, ClearMem";"923287";"S\SoundOfSilents\SoundOfSilents.Slave";"Sound of Silents ? 1990 The Silents";"0";"SoundOfSilents";"Sound of Silents";"1990 The Silents";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundOfSilents";"OCS/ECS";"";"";"";"";"sound of silents the";"Best";"3,419345";"sound-of-silents-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-of-silents-the-silents\screen.jpg";"sound-of-silents-the-silents"
"NoError, EmulTrap, ClearMem";"582698";"S\SoundQuest1\SoundQuest1.Slave";"Sound Quest 1 ? 1988 Quest.";"0";"SoundQuest1";"Sound Quest 1";"1988 Quest";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundQuest1";"OCS/ECS";"";"";"";"";"sound quest 1";"Best";"5,26479";"sound-quest-1-quest";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sound-quest-1-quest\screen.jpg";"sound-quest-1-quest"
"NoError, EmulTrap, ClearMem";"785572";"S\SoundQuest2\SoundQuest2.Slave";"Sound Quest 2 ? 1988 Quest.";"0";"SoundQuest2";"Sound Quest 2";"1988 Quest";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundQuest2";"OCS/ECS";"";"";"";"";"sound quest 2 quest";"Exact";"100";"soundquest-2-quest";"C:\Work\First Realize\amiga-demo-database\jasdd\s\soundquest-2-quest\screen_001.png";"soundquest-2-quest"
"NoError, EmulTrap, ClearMem";"861851";"S\Soundrevolution6\Soundrevolution6.Slave";"Soundrevolution 6 ? 1990 Celtic.";"0";"Soundrevolution6";"Soundrevolution 6";"1990 Celtic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Soundrevolution6";"OCS/ECS";"";"";"";"";"soundrevolution 6 celtic";"Exact";"100";"sound-revolution-6-celtic";"C:\Work\First Realize\amiga-demo-database\jasdd\s\sound-revolution-6-celtic\screen_001.PNG";"sound-revolution-6-celtic"
"Disk, NoError, EmulTrap";"914724";"S\SoundsOfGnome\SoundsOfGnome.slave";"";"0";"SoundsOfGnome";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundsOfGnome";"OCS/ECS";"";"";"";"";"sounds of gnome";"Best";"3,346184";"sounds-of-gnome-mahoney-kaktus-northstar";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sounds-of-gnome-mahoney-kaktus-northstar\screen.gif";"sounds-of-gnome-mahoney-kaktus-northstar"
"NoError, EmulTrap, ClearMem";"511543";"S\SoundtrackerInjury2\SoundtrackerInjury2.Slave";"Soundtracker Injury 2 ? 1989 Electronic Artists.";"0";"SoundtrackerInjury2";"Soundtracker Injury 2";"1989 Electronic Artists";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundtrackerInjury2";"OCS/ECS";"";"";"";"";"soundtracker injury 2 electronic artists";"Exact";"100";"soundtracker-injury-2-electronic-artists";"C:\Work\First Realize\amiga-demo-database\jasdd\s\soundtracker-injury-2-electronic-artists\screen_001.PNG";"soundtracker-injury-2-electronic-artists"
"NoError, EmulTrap, ClearMem";"540348";"S\SoundtrackerInjury3\SoundtrackerInjury3.Slave";"Soundtracker Injury 3 ? 1989 Electronic Artists.";"0";"SoundtrackerInjury3";"Soundtracker Injury 3";"1989 Electronic Artists";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"SoundtrackerInjury3";"OCS/ECS";"";"";"";"";"soundtracker injury 3 electronic artists";"Exact";"100";"soundtracker-injury-3-electronic-artists";"C:\Work\First Realize\amiga-demo-database\jasdd\s\soundtracker-injury-3-electronic-artists\screen_001.PNG";"soundtracker-injury-3-electronic-artists"
"NoError, EmulTrap, ClearMem";"840447";"S\Soundtrip\Soundtrip.Slave";"Soundtrip ? 1991 Shadows.";"0";"Soundtrip";"Soundtrip";"1991 Shadows";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"Soundtrip";"OCS/ECS";"";"";"";"";"soundtrip shadows";"Exact";"100";"soundtrip-shadows";"C:\Work\First Realize\amiga-demo-database\jasdd\s\soundtrip-shadows\screen_001.png";"soundtrip-shadows"
