"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"BestOfGrubi\BestOfGrubi.Slave";"NoError, EmulTrap";"The Best of Grubi ? 1991 Brainstorm.";"The Best of Grubi";"1991 Brainstorm";"0";"B\BestOfGrubi_v1.0_Brainstorm.lha";"BestOfGrubi";"BestOfGrubi";"0";"whdload";"524288";"924452";"BestOfGrubi";"OCS/ECS";"";"";"";"";"";"best of grubi the brainstorm";"Best";"4.679701";"sounddisk-2-the-best-of-grubi-brainstorm";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\sounddisk-2-the-best-of-grubi-brainstorm\screen.png";"sounddisk-2-the-best-of-grubi-brainstorm"
"BestOfPearl\BestOfPearl.Slave";"NoError, EmulTrap, ClearMem";"The Best of Pearl ? 1991 Byte Busters.";"The Best of Pearl";"1991 Byte Busters";"0";"B\BestOfPearl_v1.0_ByteBusters.lha";"BestOfPearl";"BestOfPearl";"0";"whdload";"524288";"920460";"BestOfPearl";"OCS/ECS";"";"";"";"";"";"best of pearl the byte busters";"Best";"5.950902";"the-best-of-pearl-byte-busters";"C:\Work\First Realize\amiga-demo-database\jasdd\t\the-best-of-pearl-byte-busters\screen_001.png";"the-best-of-pearl-byte-busters"
"BestOfRAFVol1\BestOfRAFVol1.Slave";"NoError, EmulTrap, ClearMem";"Best of RAF Vol.1 1990 Katharsis.";"Best of RAF Vol.1";"1990 Katharsis";"0";"B\BestOfRAFVol1_v1.0_Katharsis.lha";"BestOfRAFVol1";"BestOfRAFVol1";"0";"whdload";"524288";"966794";"BestOfRAFVol1";"OCS/ECS";"";"";"";"";"";"best of rafvol 1 raf vol katharsis";"Best";"5.054102";"best-of-raf-vol-1-katharsis";"C:\Work\First Realize\amiga-demo-database\jasdd\b\best-of-raf-vol-1-katharsis\screen_001.png";"best-of-raf-vol-1-katharsis"
"BeyondJustice\BeyondJustice.Slave";"NoError, EmulTrap, ClearMem";"Beyond Justice ? 1991 Dexion.";"Beyond Justice";"1991 Dexion";"0";"B\BeyondJustice_v1.0_Dexion.lha";"BeyondJustice";"BeyondJustice";"0";"whdload";"524288";"455565";"BeyondJustice";"OCS/ECS";"";"";"";"";"";"beyond justice dexion";"Exact";"100";"beyond-justice-dexion";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\beyond-justice-dexion\screen.gif";"beyond-justice-dexion"
"BeyondTheFutureAGA\BeyondTheFutureAGA.Slave";"NoError, EmulTrap, ReqAGA";"Beyond The Future ? 1994 Union.";"Beyond The Future";"1994 Union";"1966080";"B\BeyondTheFuture_v1.0_Union_AGA.lha";"BeyondTheFutureAGA";"BeyondTheFutureAGA";"0";"whdload";"524288";"1867725";"BeyondTheFuture";"AGA";"";"";"";"";"";"beyond the future aga union";"Best";"3.327935";"beyond-the-future-union";"C:\Work\First Realize\amiga-demo-database\jasdd\b\beyond-the-future-union\screen_001.png";"beyond-the-future-union"
"BigBusiness\BigBusiness.Slave";"NoError, EmulTrap, ClearMem";"Big Business ? 1991 Defjam.";"Big Business";"1991 The Silents";"0";"B\BigBusiness_v1.0_DefJam.lha";"BigBusiness";"BigBusiness";"0";"whdload";"524288";"427646";"BigBusiness";"OCS/ECS";"";"";"";"";"";"big business defjam";"Exact";"100";"big-business-defjam";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\big-business-defjam\screen.jpg";"big-business-defjam"
"BIGDemo\BIGDemo.Slave";"NoError, ClearMem";"B.I.G. Demo ? 1988 The Exceptions/Mr.Styckx";"The B.I.G. Demo";"1988 The Exceptions";"4096";"B\BIGDemo_v1.0_TheExceptions&MrStyckx.lha";"BIGDemo";"BIGDemo";"0";"whdload";"618496";"607468";"BIG";"OCS/ECS";"";"";"Demo";"";"";"the big demo mr styckx";"Exact";"100";"the-big-demo-mr-styckx";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-big-demo-mr-styckx\screen.png";"the-big-demo-mr-styckx"
"BigTimeSensualityAGA\BigTimeSensualityAGA.slave";"Disk, NoError, Req68020, ReqAGA";"Big Time Sensuality ? 1994 Axis.";"Big Time Sensuality";"1994 Axis";"0";"B\BigTimeSensuality_v1.4_Axis_AGA.lha";"BigTimeSensualityAGA";"BigTimeSensualityAGA";"0";"whdload";"2019328";"1814084";"BigTimeSensuality";"AGA";"";"";"";"";"";"big time sensuality aga axis";"Best";"4.797235";"big-time-sensuality-axis";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\big-time-sensuality-axis\screen.jpg";"big-time-sensuality-axis"
"BlackEnergy\BlackEnergy.Slave";"NoError, EmulTrap, ClearMem";"Black Energy ? 1992 Hardline.";"Black Energy";"1992 Hardline";"0";"B\BlackEnergy_v1.0_Hardline.lha";"BlackEnergy";"BlackEnergy";"0";"whdload";"524288";"920585";"BlackEnergy";"OCS/ECS";"";"";"";"";"";"black energy hardline";"Exact";"100";"black-energy-hardline";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\black-energy-hardline\screen.png";"black-energy-hardline"
"BlackNWhite\BlackNWhite.Slave";"Disk, NoError, EmulTrap";"Black and White ? 1991 Pentagon/Drifters - 1 disk";"Black & White";"1991 Pentagon/Drifters";"4096";"B\BlackNWhite_v1.2_Pentagon.lha";"BlackNWhite";"BlackNWhite";"0";"whdload";"524288";"915499";"BlackNWhite";"OCS/ECS";"";"";"";"";"";"black nwhite white pentagon drifters";"Best";"2.065085";"blackn-white-slide-drifters-pentagon-amiga";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\blackn-white-slide-drifters-pentagon-amiga\screen.jpg";"blackn-white-slide-drifters-pentagon-amiga"
"Blasting\Blasting.Slave";"NoError, EmulTrap, ClearMem";"Blasting ? 1989 Gate.";"Blasting";"1989 Gate";"0";"B\Blasting_v1.0_Gate.lha";"Blasting";"Blasting";"0";"whdload";"524288";"249242";"Blasting";"OCS/ECS";"";"";"";"";"";"blasting gate";"Exact";"100";"blasting-gate";"C:\Work\First Realize\amiga-demo-database\jasdd\b\blasting-gate\screen_001.png";"blasting-gate"
"BlueHouse2\BlueHouse2.slave";"NoError, EmulTrap, ClearMem";"Blue House 2 ? 1991 Rebels.";"Blue House 2";"1991 Rebels";"0";"B\BlueHouse2_v1.01_Rebels.lha";"BlueHouse2";"BlueHouse2";"0";"whdload";"524288";"253723";"BlueHouse2";"OCS/ECS";"";"";"";"";"";"blue house 2 rebels";"Exact";"100";"blue-house-2-rebels";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\blue-house-2-rebels\screen.png";"blue-house-2-rebels"
"BluesHouse\BluesHouse.Slave";"NoError, EmulTrap, ClearMem";"Blues House ? 1991 The Silents.";"Blues House";"1991 The Silents";"0";"B\BluesHouse_v1.0_Silents.lha";"BluesHouse";"BluesHouse";"0";"whdload";"524288";"1823511";"BluesHouse";"OCS/ECS";"";"";"";"";"";"blues house the silents";"Exact";"100";"blues-house-the-silents";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\blues-house-the-silents\screen.gif";"blues-house-the-silents"
"BombTheBassTuneshow2\BombTheBassTuneshow2.Slave";"NoError, EmulTrap, ClearMem";"Bomb the Bass - Tuneshow 2 ? 1989 Trash & The Top Boys.";"Bomb the Bass - Tuneshow 2";"1989 Trash & The Top Boys";"0";"B\BombTheBassTuneShow2_v1.0_Trash&TheTopBoys.lha";"BombTheBassTuneshow2";"BombTheBassTuneshow2";"0";"whdload";"524288";"907936";"BombTheBassTuneshow2";"OCS/ECS";"";"";"";"";"";"bomb the bass tuneshow 2 trash top boys";"Best";"4.54078";"bomb-the-bass-tuneshow-2-the-top-boys";"C:\Work\First Realize\amiga-demo-database\jasdd\b\bomb-the-bass-tuneshow-2-the-top-boys\screen_001.png";"bomb-the-bass-tuneshow-2-the-top-boys"
"BookOfSongs\BookOfSongs.Slave";"NoError";"Book of Songs ? 1992 Complex.";"Book of Songs";"1992 Complex";"524288";"B\BookOfSongs_v1.0_Complex.lha";"BookOfSongs";"BookOfSongs";"0";"whdload";"524288";"1679672";"BookOfSongs";"OCS/ECS";"";"";"";"";"";"book of songs complex";"Exact";"100";"book-of-songs-complex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\book-of-songs-complex\screen.jpg";"book-of-songs-complex"
"BorisVallejoSlide\BorisVallejoSlide.Slave";"Disk, NoError, EmulTrap";"Boris Vallejo ? 1996 Apocalypse Bay - 1 disk";"Boris Vallejo slide";"1996 Apocalypse Bay";"434176";"B\BorisVallejoSlide_v1.0_ApocalypseBay.lha";"BorisVallejoSlide";"BorisVallejoSlide";"0";"whdload";"524288";"919074";"BorisVallejoSlide";"OCS/ECS";"";"";"";"";"";"boris vallejo apocalypse bay";"Exact";"100";"boris-vallejo-slide";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Demos Custom\boris-vallejo-slide\screen_001.png";"boris-vallejo-slide"
"BoulderDemo\BoulderDemo.Slave";"NoError, EmulTrap, ClearMem";"Boulder Demo ? 1988 Tristar.";"Boulder Demo";"1988 Tristar";"0";"B\BoulderDemo_v1.0_Tristar.lha";"BoulderDemo";"BoulderDemo";"0";"whdload";"524288";"338243";"Boulder";"OCS/ECS";"";"";"Demo";"";"";"boulder demo tristar";"Exact";"100";"boulder-demo-tristar";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\boulder-demo-tristar\screen.gif";"boulder-demo-tristar"
"BoundlessVoid\BoundlessVoid.slave";"NoError, EmulTrap, ClearMem";"Boundless Void ? 1993 Nemol.";"Boundless Void";"1993 Nemol";"491520";"B\BoundlessVoid_v1.1_Nemol.lha";"BoundlessVoid";"BoundlessVoid";"0";"whdload";"524288";"919117";"BoundlessVoid";"OCS/ECS";"";"";"";"";"";"boundless void nemol";"Exact";"100";"boundless-void-nemol";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\b\boundless-void-nemol\screen.gif";"boundless-void-nemol"
"BreathOfTheMuseAGA\BreathOfTheMuseAGA.Slave";"NoError, EmulTrap, ClearMem";"The Breath of the Muse ? 1994 Chryseis & Poseidon.";"The Breath of the Muse";"1994 Chryseis & Poseidon";"524288";"B\BreathOfTheMuse_v1.0_Chryseis&Poseidon_AGA.lha";"BreathOfTheMuseAGA";"BreathOfTheMuseAGA";"0";"whdload";"2097152";"902319";"BreathOfTheMuse";"AGA";"";"";"";"";"";"breath of the muse aga chryseis poseidon";"Best";"6.042429";"the-breath-of-the-muse-chryseis-poseidon";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-breath-of-the-muse-chryseis-poseidon\screen.jpg";"the-breath-of-the-muse-chryseis-poseidon"
