ArchiveFile;SlaveFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
AesopsFables.lha;AesopsFables.slave;Robot Readers: Aesop;1987 Hilton Android;3976;17;NoError, EmulPriv, Examine;524288;0;5f;262144
AfricanRaiders01.lha;AfricanRaiders01.slave;African Raiders-01;1989 Tomahawk;4996;17;NoError, EmulPriv, Examine;524288;0;59;786432
AfterBurner88.lha;AfterBurner88.Slave;After Burner;1988 Sega Enterprises Ltd.;1156;10;Disk, NoError, EmulTrap, NoDivZero;524288;0;59;0
AfterBurner89.lha;AfterBurner2.slave;After Burner 2;1989 Sega;1392;17;NoError, EmulTrap, ClearMem;524288;0;59;0
AfterTheWar.lha;AfterTheWar.slave;After The War;1989 Dinamic;1376;10;NoError, EmulTrap, NoKbd;524288;0;59;0
Age.lha;Age.Slave;AGE ;1991 Coktel Vision;3568;15;NoError, EmulPriv, Examine;524288;0;59;262144
Agony.lha;Agony.slave;Agony;1992 Psygnosis & Art And Magic;5276;11;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;0
AgonyDemo.lha;AgonyDemo.slave;Agony Demo;1991 Psygnosis;1476;10;Disk, NoError, ClearMem;524288;0;59;4096
Airball.lha;Airball.slave;Airball;1987-89 Microdeal;364;14;Disk, NoError, EmulTrap;524288;0;59;0
AirborneRanger.lha;AirborneRanger.slave;Airborne Ranger;1989 Microprose;3856;17;NoError, EmulTrap, ClearMem;524288;0;59;0
AirSupport.lha;AirSupport.slave;Air Support;1992 Psygnosis;868;14;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;4294443008
Akira.lha;Akira.slave;Akira;1994 Ice;332;10;NoError, EmulTrap;1048576;0;59;0
Aladdin.lha;Aladdin.slave;Aladdin;1994 Virgin;1668;17;NoError, Req68020, ReqAGA, ClearMem;2048000;0;5d;4096
Alcatraz.lha;Alcatraz.slave;Alcatraz;1991 Infogrames;816;10;NoError, EmulTrap;524288;0;59;0
AlchemyDemo.lha;AlchemyDemo.slave;Alchemy demo;1994 Psygnosis;1020;14;NoError, ClearMem;524288;0;59;4096
AlfabetSmierci.lha;AlfabetSmierci.slave;Alfabet Smierci AGA;1996 Arte;1104;15;NoError;2097152;0;59;0
AlfredChicken.lha;AlfredChicken.slave;Alfred Chicken;1993 Twilight/Mindscape;968;10;NoError, EmulTrap;1048576;0;59;0
AlfredChicken.lha;AlfredChickenAGA.slave;Alfred Chicken AGA/CD32;1993 Mindscape;6272;17;NoError, ReqAGA, EmulPriv, Examine;1572864;0;59;524288
Alianator.lha;alianator.slave;Alianator;1991 P.S. ;1468;15;NoError, EmulTrap, NoKbd, ClearMem;524288;59;5d;0
Alien3.lha;AlienIII.slave;Alien III;1992 Virgin;920;15;Disk, NoError;524288;0;5d;524288
AlienBash.lha;AlienBash.slave;Alien Bash;1993 Glen Cumming & Stuart Law;820;13;NoError, EmulTrap, ClearMem;524288;0;59;4096
AlienBash2.lha;AlienBash2.slave;Alien Bash 2;1995 Glen Cumming/Myles Jeffery;548;10;NoError, EmulTrap;720896;0;59;720896
AlienBreed.lha;AlienBreed.slave;Alien Breed;1991 Team 17;1360;10;NoError, EmulTrap, NoKbd;524288;0;5d;524288
AlienBreed2.lha;AlienBreed2AGA.slave;Alien Breed 2 AGA;1993 Team 17;760;10;NoError, EmulTrap, ReqAGA, NoKbd, ClearMem;1048576;0;5d;1048576
AlienBreed2.lha;AlienBreed2ECS.slave;Alien Breed 2 ECS;1993 Team 17;1040;10;Disk, NoError, EmulTrap, NoKbd;524288;0;5d;524288
AlienBreed3D.lha;AlienBreed3D.slave;Alien Breed 3D;1995 Team 17;4448;17;NoError, Req68020, ReqAGA;589824;0;59;1409024
AlienBreed3D.lha;AlienBreed3D_nomusic.slave;Alien Breed 3D (no music);1995 Team 17;4016;17;NoError, Req68020, ReqAGA;438272;0;59;1409024
AlienBreed3D2.lha;AlienBreed3D2.slave;Alien Breed 3D II: The Killing Grounds;1996 Team 17;174132;15;NoError, EmulTrap, Req68020, ReqAGA, ClearMem;905216;0;5d;2490368
AlienBreed3D2.lha;AlienBreed3D2_2MB.slave;Alien Breed 3D II: The Killing Grounds;1996 Team 17;2516;15;NoError, EmulTrap, Req68020, ReqAGA, ClearMem;376832;0;5d;1544192
AlienBreed3Ddemo.lha;AlienBreed3Ddemo.slave;Alien Breed 3D demo/rolling;1995 Team 17;1016;17;NoError, EmulTrap, Req68020, ReqAGA, ClearMem;999424;0;59;1167360
AlienBreed3Ddemo.lha;AlienBreed3DdemoFiles.slave;Alien Breed 3D demo (files);1995 Team 17;2120;17;NoError, Req68020, ReqAGA, ClearMem;438272;0;59;1409024
AlienBreedSE92.lha;AlienBreedSE92.Slave;;;584;8;NoError, NoKbd;1048576;0;59;0
AlienBreedStory.lha;StoryDisk.slave;Alien Breed - intro;1991 Team 17;568;10;NoError, EmulTrap;524288;0;59;524288
AlienBreedTA.lha;AlienBreedTA.slave;Alien Breed Tower Assault;1994 Team 17;1936;17;NoError, ClearMem;1048576;0;59;544768
AlienBreedTA.lha;AlienBreedTA_ECS.slave;Alien Breed Tower Assault;1994 Team 17;1440;17;NoError, ClearMem;524288;0;59;520192
AlienDrugLords.lha;AlienDrugLords.slave;Alien Drug Lords: The Chyropian Connection;1991 Panther Games;4416;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
AlienFishFinger.lha;AlienFishFinger.Slave;Alien Fish Finger;1995 Skull Army/David J. Cruickshank.;5032;16;NoError, EmulPriv, Examine;786432;0;59;262144
