"Priority";"Name";"File";"Keywords"
"2";"BlackCrypt";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BlackCrypt\igame.iff";"black crypt"
"2";"BlackViperAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BlackViperAGA\igame.iff";"black viper aga"
"2";"Blob";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Blob\igame.iff";"blob"
"2";"BomberBob";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BomberBob\igame.iff";"bomber bob"
"2";"BombFusion";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BombFusion\igame.iff";"bomb fusion"
"2";"BrainMan";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BrainMan\igame.iff";"brain man"
"2";"Brataccas";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Brataccas\igame.iff";"brataccas"
"2";"BridesOfDracula";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BridesOfDracula\igame.iff";"brides of dracula"
"2";"Bubble&SqueakAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Bubble&SqueakAGA\igame.iff";"bubble squeak aga"
"2";"Bubble+";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Bubble+\igame.iff";"bubble"
"2";"Caesar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Caesar\igame.iff";"caesar"
"2";"Calephar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Calephar\igame.iff";"calephar"
"2";"CalepharFiles";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CalepharFiles\igame.iff";"calephar files"
"2";"CalepharImage";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CalepharImage\igame.iff";"calephar image"
"2";"CaptainFizz";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CaptainFizz\igame.iff";"captain fizz"
"2";"CastleMaster2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CastleMaster2\igame.iff";"castle master 2"
"2";"CatchEm";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CatchEm\igame.iff";"catch em"
"2";"ChuckRock2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\ChuckRock2\igame.iff";"chuck rock 2"
"2";"CityDefence";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CityDefence\igame.iff";"city defence"
"2";"CJInTheUSA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CJInTheUSA\igame.iff";"cjin the usa"
"2";"Classic&BabyArcadia";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Classic&BabyArcadia\igame.iff";"classic baby arcadia"
"2";"ClassicPucman";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\ClassicPucman\igame.iff";"classic pucman"
"2";"CloudKingdoms";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CloudKingdoms\igame.iff";"cloud kingdoms"
"2";"ClownOMania";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\ClownOMania\igame.iff";"clown omania"
"2";"CosmicBouncer";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CosmicBouncer\igame.iff";"cosmic bouncer"
"2";"CovertAction";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CovertAction\igame.iff";"covert action"
"2";"Crack";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Crack\igame.iff";"crack"
"2";"CrackDown";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrackDown\igame.iff";"crack down"
"2";"CrazyCars3";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CrazyCars3\igame.iff";"crazy cars 3"
